Temperature,Frequency
65.5,4.0,0.0388349514563
69.0,8.0,0.0776699029126
65.0,12.0,0.116504854369
68.5,7.0,0.0679611650485
70.0,3.0,0.0291262135922
57.0,1.0,0.00970873786408
63.0,8.0,0.0776699029126
62.0,5.0,0.0485436893204
67.5,6.0,0.0582524271845
63.5,3.0,0.0291262135922
67.0,4.0,0.0388349514563
66.5,9.0,0.0873786407767
72.0,1.0,0.00970873786408
69.5,2.0,0.0194174757282
66.0,3.0,0.0291262135922
62.5,3.0,0.0291262135922
64.5,6.0,0.0582524271845
60.5,1.0,0.00970873786408
61.0,2.0,0.0194174757282
68.0,3.0,0.0291262135922
61.5,2.0,0.0194174757282
64.0,5.0,0.0485436893204
72.5,1.0,0.00970873786408
60.0,1.0,0.00970873786408
50.0,1.0,0.00970873786408
71.0,1.0,0.00970873786408
71.5,1.0,0.00970873786408


Average_Temp_list
65.5
69.0
65.0
68.5
70.0
57.0
63.0
63.0
62.0
67.5
69.0
63.5
65.0
65.5
67.0
66.5
63.0
72.0
65.0
69.5
66.0
66.5
63.0
67.0
65.5
66.5
62.0
68.5
69.0
62.5
64.5
69.0
66.0
63.0
63.0
69.5
63.5
65.0
66.0
60.5
62.0
67.5
64.5
61.0
64.5
68.5
66.5
66.5
63.5
69.0
68.0
62.5
66.5
61.5
66.5
67.5
64.5
64.0
63.0
64.0
72.5
62.0
61.0
65.0
62.5
67.0
70.0
67.0
65.0
65.0
64.0
64.0
65.5
68.5
64.5
66.5
68.0
60.0
68.5
67.5
64.0
68.0
65.0
69.0
62.0
65.0
50.0
64.5
61.5
70.0
67.5
68.5
65.0
66.5
67.5
68.5
69.0
71.0
65.0
63.0
69.0
71.5
65.0
