Category,Frequency,Percentagex100%,
Heat pump,64,0.581818182,
None,41,0.372727273,
Central forced air,4,0.036363636,
wall or window unit(s),1,0.009090909,
Use,Freqeuncy,,
Occasionally,56,0.811594203,
Never,11,0.15942029,
Routinely,2,0.028985507,
Temp,Freq,Percentagex100%,
70.5,1,0.0204,0.0204
78,5,0.1020,0.102
66.5,3,0.0612,0.0613
79,2,0.0408,0.0408
77.5,1,0.0204,0.0204
68.5,1,0.0204,0.0204
68,3,0.0612,0.0613
74,2,0.0408,0.0408
70,2,0.0408,0.0408
72,1,0.0204,0.0204
67,1,0.0204,0.0204
77,2,0.0408,0.0408
76,1,0.0204,0.0204
73,1,0.0204,0.0204
75,4,0.0816,0.0816
63,2,0.0408,0.0408
72.5,2,0.0408,0.0408
67.5,5,0.1020,0.102
60,2,0.0408,0.0409
65,1,0.0204,0.0204
62,1,0.0204,0.0204
62.5,1,0.0204,0.0204
64,1,0.0204,0.0204,,
71.5,1,0.0204,0.0204,,
80,2,0.0408,0.0409,,
50,1,0.0204,0.0204,,


Average_tem,,,,,
70.5,,,,min,50
78,,,,max,80
66.5,,,,Average,70.64
79,,,,Standard Dev,6.43
77.5,,,,,
68.5,,,,,
68,,,,,
74,,,,,
70,,,,,
72
67
77
76
73
75
63
72.5
67.5
60
79
77
67.5
65
62
68
66.5
78
75
62.5
70
64
71.5
75
66.5
78
67.5
78
68
80
80
67.5
60
72.5
50
78
74
63
75
67.5
