# file...... rtp_balance_new.csv
# date...... Tue Jun 09 20:52:18 2009
# user...... D3X175
# host...... (null)
# group..... class=triplex_meter
# trigger... (none)
# interval.. 86400
# limit..... 365
# property.. timestamp,sum(measured_energy)
2006-08-11 08:00:00,3.92099e+006
2006-08-12 08:00:00,3.93218e+006
2006-08-13 08:00:00,3.94561e+006
2006-08-14 08:00:00,3.9602e+006
2006-08-15 08:00:00,3.97454e+006
2006-08-16 08:00:00,3.99138e+006
2006-08-17 08:00:00,4.00927e+006
2006-08-18 08:00:00,4.0232e+006
2006-08-19 08:00:00,4.03924e+006
2006-08-20 08:00:00,4.05504e+006
2006-08-21 08:00:00,4.07068e+006
2006-08-22 08:00:00,4.0865e+006
2006-08-23 08:00:00,4.10018e+006
2006-08-24 08:00:00,4.11146e+006
2006-08-25 08:00:00,4.12728e+006
2006-08-26 08:00:00,4.14383e+006
2006-08-27 08:00:00,4.16139e+006
2006-08-28 08:00:00,4.1809e+006
2006-08-29 08:00:00,4.20137e+006
2006-08-30 08:00:00,4.22157e+006
2006-08-31 08:00:00,4.23191e+006
2006-09-01 08:00:00,4.24127e+006
2006-09-02 08:00:00,4.25901e+006
2006-09-03 08:00:00,4.28024e+006
2006-09-04 08:00:00,4.31055e+006
2006-09-05 08:00:00,4.41568e+006
2006-09-06 08:00:00,4.44322e+006
2006-09-07 08:00:00,4.46744e+006
2006-09-08 08:00:00,4.49076e+006
2006-09-09 08:00:00,4.51768e+006
2006-09-10 08:00:00,4.54471e+006
2006-09-11 08:00:00,4.57528e+006
2006-09-12 08:00:00,4.60581e+006
2006-09-13 08:00:00,4.64148e+006
2006-09-14 08:00:00,4.6741e+006
2006-09-15 08:00:00,4.70131e+006
2006-09-16 08:00:00,4.73328e+006
2006-09-17 08:00:00,4.77108e+006
2006-09-18 08:00:00,4.79721e+006
2006-09-19 08:00:00,4.8233e+006
2006-09-20 08:00:00,4.84694e+006
2006-09-21 08:00:00,4.87127e+006
2006-09-22 08:00:00,4.89651e+006
2006-09-23 08:00:00,4.9255e+006
2006-09-24 08:00:00,4.95739e+006
2006-09-25 08:00:00,4.98796e+006
2006-09-26 08:00:00,5.01919e+006
2006-09-27 08:00:00,5.04927e+006
2006-09-28 08:00:00,5.0801e+006
2006-09-29 08:00:00,5.11735e+006
2006-09-30 08:00:00,5.1507e+006
2006-10-01 08:00:00,5.18272e+006
2006-10-02 08:00:00,5.21876e+006
2006-10-03 08:00:00,5.31341e+006
2006-10-04 08:00:00,5.47908e+006
2006-10-05 08:00:00,5.61559e+006
2006-10-06 08:00:00,5.65121e+006
2006-10-07 08:00:00,5.68581e+006
2006-10-08 08:00:00,5.72677e+006
2006-10-09 08:00:00,5.76356e+006
2006-10-10 08:00:00,5.89e+006
2006-10-11 08:00:00,5.92727e+006
2006-10-12 08:00:00,5.96969e+006
2006-10-13 08:00:00,6.01266e+006
2006-10-14 08:00:00,6.05855e+006
2006-10-15 08:00:00,6.19066e+006
2006-10-16 08:00:00,6.33155e+006
2006-10-17 08:00:00,6.52418e+006
2006-10-18 08:00:00,6.64693e+006
2006-10-19 08:00:00,6.68933e+006
2006-10-20 08:00:00,6.80117e+006
2006-10-21 08:00:00,6.87367e+006
2006-10-22 08:00:00,6.91754e+006
2006-10-23 08:00:00,6.97435e+006
2006-10-24 08:00:00,7.09159e+006
2006-10-25 08:00:00,7.18995e+006
2006-10-26 08:00:00,7.25035e+006
2006-10-27 08:00:00,7.35905e+006
2006-10-28 08:00:00,7.5033e+006
2006-10-29 08:00:00,7.70546e+006
2006-10-30 08:00:00,7.82752e+006
2006-10-31 08:00:00,7.97657e+006
2006-11-01 08:00:00,8.104e+006
2006-11-02 08:00:00,8.23808e+006
2006-11-03 08:00:00,8.32246e+006
2006-11-04 08:00:00,8.39324e+006
2006-11-05 08:00:00,8.59745e+006
2006-11-06 08:00:00,8.6725e+006
2006-11-07 08:00:00,8.8183e+006
2006-11-08 08:00:00,8.97513e+006
2006-11-09 08:00:00,9.11547e+006
2006-11-10 08:00:00,9.22169e+006
2006-11-11 08:00:00,9.32447e+006
2006-11-12 08:00:00,9.59987e+006
2006-11-13 08:00:00,9.83892e+006
2006-11-14 08:00:00,1.00667e+007
2006-11-15 08:00:00,1.02365e+007
2006-11-16 08:00:00,1.04143e+007
2006-11-17 08:00:00,1.06642e+007
2006-11-18 08:00:00,1.08829e+007
2006-11-19 08:00:00,1.10676e+007
2006-11-20 08:00:00,1.12762e+007
2006-11-21 08:00:00,1.14481e+007
2006-11-22 08:00:00,1.16475e+007
2006-11-23 08:00:00,1.18678e+007
2006-11-24 08:00:00,1.19741e+007
2006-11-25 08:00:00,1.22294e+007
2006-11-26 08:00:00,1.2336e+007
2006-11-27 08:00:00,1.25224e+007
2006-11-28 08:00:00,1.27406e+007
2006-11-29 08:00:00,1.28941e+007
2006-11-30 08:00:00,1.30697e+007
2006-12-01 08:00:00,1.32472e+007
2006-12-02 08:00:00,1.32891e+007
