# file...... rtp_econ_new.csv
# date...... Tue Jun 09 20:53:00 2009
# user...... D3X175
# host...... (null)
# group..... class=triplex_meter
# trigger... (none)
# interval.. 86400
# limit..... 365
# property.. timestamp,sum(measured_energy)
2006-04-01 08:00:00,0
2006-04-02 08:00:00,371.503
2006-04-03 08:00:00,2415.49
2006-04-04 08:00:00,7402.34
2006-04-05 08:00:00,33606.1
2006-04-06 08:00:00,37806.7
2006-04-07 08:00:00,42251.4
2006-04-08 08:00:00,46233.8
2006-04-09 08:00:00,49883.4
2006-04-10 08:00:00,54612.7
2006-04-11 08:00:00,59893.9
2006-04-12 08:00:00,66773.3
2006-04-13 08:00:00,73263.4
2006-04-14 08:00:00,79697.6
2006-04-15 08:00:00,85413.6
2006-04-16 08:00:00,91043.7
2006-04-17 08:00:00,96402.9
2006-04-18 08:00:00,101742
2006-04-19 08:00:00,107098
2006-04-20 08:00:00,111703
2006-04-21 08:00:00,114917
2006-04-22 08:00:00,118028
2006-04-23 08:00:00,122220
2006-04-24 08:00:00,127571
2006-04-25 08:00:00,134480
2006-04-26 08:00:00,141640
2006-04-27 08:00:00,148687
2006-04-28 08:00:00,154467
2006-04-29 08:00:00,161155
2006-04-30 08:00:00,168040
2006-05-01 08:00:00,174463
2006-05-02 08:00:00,178833
2006-05-03 08:00:00,182227
2006-05-04 08:00:00,186325
2006-05-05 08:00:00,192765
2006-05-06 08:00:00,195445
2006-05-07 08:00:00,197146
2006-05-08 08:00:00,198472
2006-05-09 08:00:00,200640
2006-05-10 08:00:00,203624
2006-05-11 08:00:00,207535
2006-05-12 08:00:00,212223
2006-05-13 08:00:00,216776
2006-05-14 08:00:00,220603
2006-05-15 08:00:00,223312
2006-05-16 08:00:00,225989
2006-05-17 08:00:00,228437
2006-05-18 08:00:00,232322
2006-05-19 08:00:00,237234
2006-05-20 08:00:00,241612
2006-05-21 08:00:00,245739
2006-05-22 08:00:00,250075
2006-05-23 08:00:00,253928
2006-05-24 08:00:00,258405
2006-05-25 08:00:00,262973
2006-05-26 08:00:00,267400
2006-05-27 08:00:00,272223
2006-05-28 08:00:00,277152
2006-05-29 08:00:00,282335
2006-05-30 08:00:00,286551
2006-05-31 08:00:00,290144
2006-06-01 08:00:00,292830
2006-06-02 08:00:00,295295
2006-06-03 08:00:00,298082
2006-06-04 08:00:00,301112
2006-06-05 08:00:00,315002
2006-06-06 08:00:00,319105
2006-06-07 08:00:00,322212
2006-06-08 08:00:00,325758
2006-06-09 08:00:00,328475
2006-06-10 08:00:00,331699
2006-06-11 08:00:00,334555
2006-06-12 08:00:00,338580
2006-06-13 08:00:00,341082
2006-06-14 08:00:00,343298
2006-06-15 08:00:00,345640
2006-06-16 08:00:00,348516
2006-06-17 08:00:00,351571
2006-06-18 08:00:00,355231
2006-06-19 08:00:00,358801
2006-06-20 08:00:00,362568
2006-06-21 08:00:00,366325
2006-06-22 08:00:00,369043
2006-06-23 08:00:00,372106
2006-06-24 08:00:00,375716
2006-06-25 08:00:00,380896
2006-06-26 08:00:00,383986
2006-06-27 08:00:00,386198
2006-06-28 08:00:00,388898
2006-06-29 08:00:00,391862
2006-06-30 08:00:00,394893
2006-07-01 08:00:00,397980
2006-07-02 08:00:00,401962
2006-07-03 08:00:00,405379
2006-07-04 08:00:00,408782
2006-07-05 08:00:00,416540
2006-07-06 08:00:00,418551
2006-07-07 08:00:00,420685
2006-07-08 08:00:00,421941
2006-07-09 08:00:00,424458
2006-07-10 08:00:00,426329
2006-07-11 08:00:00,427024
2006-07-12 08:00:00,428613
2006-07-13 08:00:00,430458
2006-07-14 08:00:00,432222
2006-07-15 08:00:00,434693
2006-07-16 08:00:00,438294
2006-07-17 08:00:00,443809
2006-07-18 08:00:00,448418
2006-07-19 08:00:00,451805
2006-07-20 08:00:00,455061
2006-07-21 08:00:00,457356
2006-07-22 08:00:00,458471
2006-07-23 08:00:00,461005
2006-07-24 08:00:00,463197
2006-07-25 08:00:00,465635
2006-07-26 08:00:00,468145
2006-07-27 08:00:00,470323
2006-07-28 08:00:00,472470
2006-07-29 08:00:00,473993
2006-07-30 08:00:00,476649
2006-07-31 08:00:00,479243
2006-08-01 08:00:00,481909
2006-08-02 08:00:00,485806
2006-08-03 08:00:00,489319
2006-08-04 08:00:00,492413
2006-08-05 08:00:00,502324
2006-08-06 08:00:00,504333
2006-08-07 08:00:00,505436
2006-08-08 08:00:00,506811
2006-08-09 08:00:00,508593
2006-08-10 08:00:00,511398
2006-08-11 08:00:00,513127
2006-08-12 08:00:00,513551
2006-08-13 08:00:00,514600
2006-08-14 08:00:00,515483
2006-08-15 08:00:00,516398
2006-08-16 08:00:00,518319
2006-08-17 08:00:00,520691
2006-08-18 08:00:00,521205
2006-08-19 08:00:00,522383
2006-08-20 08:00:00,523340
2006-08-21 08:00:00,524595
2006-08-22 08:00:00,526055
2006-08-23 08:00:00,527047
2006-08-24 08:00:00,527269
2006-08-25 08:00:00,528228
2006-08-26 08:00:00,529943
2006-08-27 08:00:00,531832
2006-08-28 08:00:00,534501
2006-08-29 08:00:00,537062
2006-08-30 08:00:00,539819
2006-08-31 08:00:00,541186
2006-09-01 08:00:00,541247
2006-09-02 08:00:00,542501
2006-09-03 08:00:00,544669
2006-09-04 08:00:00,549549
2006-09-05 08:00:00,571248
2006-09-06 08:00:00,575919
2006-09-07 08:00:00,579887
2006-09-08 08:00:00,583729
2006-09-09 08:00:00,588002
2006-09-10 08:00:00,592475
2006-09-11 08:00:00,597555
2006-09-12 08:00:00,602556
2006-09-13 08:00:00,608564
2006-09-14 08:00:00,614028
2006-09-15 08:00:00,618731
2006-09-16 08:00:00,624112
2006-09-17 08:00:00,629585
2006-09-18 08:00:00,634082
2006-09-19 08:00:00,638246
2006-09-20 08:00:00,642005
2006-09-21 08:00:00,645875
2006-09-22 08:00:00,650220
2006-09-23 08:00:00,654673
2006-09-24 08:00:00,659860
2006-09-25 08:00:00,665189
2006-09-26 08:00:00,670448
2006-09-27 08:00:00,675421
2006-09-28 08:00:00,680679
2006-09-29 08:00:00,686808
2006-09-30 08:00:00,692537
2006-10-01 08:00:00,698039
2006-10-02 08:00:00,704222
2006-10-03 08:00:00,711118
2006-10-04 08:00:00,730853
2006-10-05 08:00:00,756786
2006-10-06 08:00:00,762543
2006-10-07 08:00:00,768179
2006-10-08 08:00:00,774484
2006-10-09 08:00:00,780531
2006-10-10 08:00:00,786828
2006-10-11 08:00:00,793345
2006-10-12 08:00:00,800641
2006-10-13 08:00:00,807915
2006-10-14 08:00:00,814844
2006-10-15 08:00:00,822818
2006-10-16 08:00:00,833998
2006-10-17 08:00:00,845093
2006-10-18 08:00:00,853475
2006-10-19 08:00:00,861319
2006-10-20 08:00:00,869197
2006-10-21 08:00:00,877215
2006-10-22 08:00:00,885096
2006-10-23 08:00:00,893025
2006-10-24 08:00:00,901053
2006-10-25 08:00:00,921449
2006-10-26 08:00:00,929121
2006-10-27 08:00:00,937170
2006-10-28 08:00:00,951118
2006-10-29 08:00:00,972691
2006-10-30 08:00:00,994546
2006-10-31 08:00:00,1.01432e+006
2006-11-01 08:00:00,1.02449e+006
2006-11-02 08:00:00,1.036e+006
2006-11-03 08:00:00,1.04455e+006
2006-11-04 08:00:00,1.05446e+006
2006-11-05 08:00:00,1.10059e+006
2006-11-06 08:00:00,1.10819e+006
2006-11-07 08:00:00,1.12439e+006
2006-11-08 08:00:00,1.13987e+006
2006-11-09 08:00:00,1.15528e+006
2006-11-10 08:00:00,1.17053e+006
2006-11-11 08:00:00,1.18587e+006
2006-11-12 08:00:00,1.21192e+006
2006-11-13 08:00:00,1.23683e+006
2006-11-14 08:00:00,1.25438e+006
2006-11-15 08:00:00,1.27513e+006
2006-11-16 08:00:00,1.29472e+006
2006-11-17 08:00:00,1.31638e+006
2006-11-18 08:00:00,1.33418e+006
2006-11-19 08:00:00,1.34965e+006
2006-11-20 08:00:00,1.36793e+006
2006-11-21 08:00:00,1.38716e+006
2006-11-22 08:00:00,1.41146e+006
2006-11-23 08:00:00,1.4259e+006
2006-11-24 08:00:00,1.44037e+006
2006-11-25 08:00:00,1.45768e+006
2006-11-26 08:00:00,1.47029e+006
2006-11-27 08:00:00,1.50406e+006
2006-11-28 08:00:00,1.52068e+006
2006-11-29 08:00:00,1.54522e+006
2006-11-30 08:00:00,1.55914e+006
2006-12-01 08:00:00,1.58125e+006
2006-12-02 08:00:00,1.58924e+006
2006-12-03 08:00:00,1.59734e+006
2006-12-04 08:00:00,1.60527e+006
2006-12-05 08:00:00,1.6422e+006
2006-12-06 08:00:00,1.65395e+006
2006-12-07 08:00:00,1.67553e+006
2006-12-08 08:00:00,1.69567e+006
2006-12-09 08:00:00,1.70373e+006
2006-12-10 08:00:00,1.71153e+006
2006-12-11 08:00:00,1.72148e+006
2006-12-12 08:00:00,1.74508e+006
2006-12-13 08:00:00,1.7666e+006
2006-12-14 08:00:00,1.78574e+006
2006-12-15 08:00:00,1.80473e+006
2006-12-16 08:00:00,1.81972e+006
2006-12-17 08:00:00,1.8373e+006
2006-12-18 08:00:00,1.86287e+006
2006-12-19 08:00:00,1.87605e+006
2006-12-20 08:00:00,1.8991e+006
2006-12-21 08:00:00,1.92011e+006
2006-12-22 08:00:00,1.93469e+006
2006-12-23 08:00:00,1.9466e+006
2006-12-24 08:00:00,1.96266e+006
2006-12-25 08:00:00,1.97049e+006
