76	65
78	75
78	78
68	65
78	80
off	off
66	60
85	70
60	60
71	66
68	68
off	off
not sure	not sure
off	off
78	70
off	off
off	off
70	70
68	62
72	72
88	88
blank	blank
off	off
70	64
72	off
74	74
55	55
off	off
off	off
80	74
76	76
72	74
75	75
0	0
63	63
63	63
75	70
off	off
75	60
60	60
78	80
78	76
73	62
off	off
60	60
off	off
blank	blank
65	65
off	off
85	85
off	off
62	62
68	68
off	off
off	off
50	50
68	65
78	78
60	60
64	64
off	off
off	off
0	0
70	70
60	60
64	60
78	72
-	-
65	60
70	70
70	70
65	69
70	60
58	58
55	55
68	60
78	65
?	?
65	-
75	75
69	64
68	61
78	78
off	off
70	65
40	40
50	50
78	78
68	68
Blank	blank
80	80
72	Off
50	Blank
63.5	63.5
80	80
72	68
70	65
60	60
72	73
50	50
80	n/a
76	80
blank	blank
74	74
off	off
71	55
0	0
off	off
75	75
65	70
60	55
