# file...... PDEWH_Case_2aiv_Averge_PDE_Water_Heater_Energy_Power_COP.csv
# date...... Fri Mar 21 06:17:47 2014
# user...... afisher
# host...... (null)
# group..... class=waterheater AND groupid=fwh
# trigger... (none)
# interval.. 3600
# limit..... 10000000
# property.. timestamp,avg(energy.real),avg(waterheater_power),avg(COP)
2013-07-17 06:00:00 CDT,+31.2418102102,+0.554115099085,+2.90964290029
2013-07-17 07:00:00 CDT,+32.9927731947,+0.608919578839,+2.90322958699
2013-07-17 08:00:00 CDT,+34.0199786947,+0.119037443731,+2.81245442551
2013-07-17 09:00:00 CDT,+34.377723792,+0.196722286854,+2.85111530973
2013-07-17 10:00:00 CDT,+34.8013280288,+0.0395056981187,+2.81279754967
2013-07-17 11:00:00 CDT,+34.9610065416,+0.0203770115366,+2.80693076728
2013-07-17 12:00:00 CDT,+35.0580612412,+0.0605841964708,+2.8164003378
2013-07-17 13:00:00 CDT,+35.1550358969,+0.0204375020623,+2.81599656495
2013-07-17 14:00:00 CDT,+35.1977098866,+0.0585932794644,+2.83616731013
2013-07-17 15:00:00 CDT,+35.1977098866,+0,+2.83616731013
2013-07-17 16:00:00 CDT,+35.1977098866,+0,+2.83616731013
2013-07-17 17:00:00 CDT,+35.1977098866,+0,+2.83616731013
2013-07-17 18:00:00 CDT,+35.1977098866,+0,+2.83616731013
2013-07-17 19:00:00 CDT,+35.1977098866,+0,+2.83616731013
2013-07-17 20:00:00 CDT,+36.5637887894,+0.561927536075,+3.00007994627
2013-07-17 21:00:00 CDT,+38.6333559173,+0.503635926188,+2.93454106233
2013-07-17 22:00:00 CDT,+39.6966160108,+0.176140743613,+2.81894304003
2013-07-17 23:00:00 CDT,+39.9236525386,+0,+2.79106851412
2013-07-18 00:00:00 CDT,+39.9577204432,+0.0203374582991,+2.79196492725
2013-07-18 01:00:00 CDT,+39.9848870234,+0.0198617121748,+2.79305975479
2013-07-18 02:00:00 CDT,+39.9976705478,+0,+2.79136129827
2013-07-18 03:00:00 CDT,+40.0161987526,+0.0198856615699,+2.79248494849
2013-07-18 04:00:00 CDT,+40.1411327844,+0.117229943242,+2.81406967894
2013-07-18 05:00:00 CDT,+40.6383762754,+0.194867952444,+2.83140718959
2013-07-18 06:00:00 CDT,+41.5114302144,+0.553984562209,+2.91495813633
2013-07-18 07:00:00 CDT,+43.2663562672,+0.608961278403,+2.90624934314
2013-07-18 08:00:00 CDT,+44.3241560084,+0.119172146111,+2.81510813669
2013-07-18 09:00:00 CDT,+44.6514620517,+0.17678853249,+2.8490572323
2013-07-18 10:00:00 CDT,+45.0503285008,+0.0395064284543,+2.8147303161
2013-07-18 11:00:00 CDT,+45.2099920271,+0.0203644733298,+2.80900630573
2013-07-18 12:00:00 CDT,+45.3041862681,+0.0606427958756,+2.81916589223
2013-07-18 13:00:00 CDT,+45.3928810596,+0.0202920774514,+2.81957281027
2013-07-18 14:00:00 CDT,+45.4465456027,+0.0586113956363,+2.83941382435
2013-07-18 15:00:00 CDT,+45.4465456027,+0,+2.83941382435
2013-07-18 16:00:00 CDT,+45.4465456027,+0,+2.83941382435
2013-07-18 17:00:00 CDT,+45.4465456027,+0,+2.83941382435
2013-07-18 18:00:00 CDT,+45.4465456027,+0,+2.83941382435
2013-07-18 19:00:00 CDT,+45.4465456027,+0,+2.83941382435
2013-07-18 20:00:00 CDT,+46.8217474552,+0.627940625018,+3.002849151
2013-07-18 21:00:00 CDT,+48.8317833847,+0.483475427184,+2.9450502615
2013-07-18 22:00:00 CDT,+49.8712102389,+0.176261202014,+2.83510005062
2013-07-18 23:00:00 CDT,+50.0978234873,+0,+2.80810049094
2013-07-19 00:00:00 CDT,+50.1327099735,+0.0202855022013,+2.80885005348
2013-07-19 01:00:00 CDT,+50.1511275232,+0.0198022498804,+2.81113644422
2013-07-19 02:00:00 CDT,+50.1717833996,+0,+2.80851133231
2013-07-19 03:00:00 CDT,+50.1904711504,+0.019843958447,+2.80965946896
2013-07-19 04:00:00 CDT,+50.375936295,+0.13698473124,+2.82191594371
2013-07-19 05:00:00 CDT,+50.9349131561,+0.215324386995,+2.83375182986
2013-07-19 06:00:00 CDT,+51.7963716652,+0.55418053365,+2.91219204594
2013-07-19 07:00:00 CDT,+53.5522334492,+0.608827627442,+2.90241969386
2013-07-19 08:00:00 CDT,+54.578383548,+0.11883129502,+2.80885318875
2013-07-19 09:00:00 CDT,+54.9337068174,+0.196072021456,+2.84504221145
2013-07-19 10:00:00 CDT,+55.3598476224,+0.0391800720529,+2.8047785764
2013-07-19 11:00:00 CDT,+55.5203310636,+0.0203584077309,+2.79931064824
2013-07-19 12:00:00 CDT,+55.6363376872,+0.0805806070917,+2.80752335237
2013-07-19 13:00:00 CDT,+55.7253895834,+0.0203090600674,+2.80057273268
2013-07-19 14:00:00 CDT,+55.7586553275,+0.0586884303436,+2.82281564086
2013-07-19 15:00:00 CDT,+55.7586553275,+0,+2.82281564086
2013-07-19 16:00:00 CDT,+55.7586553275,+0,+2.82281564086
2013-07-19 17:00:00 CDT,+55.7586553275,+0,+2.82281564086
2013-07-19 18:00:00 CDT,+55.7586553275,+0,+2.82281564086
2013-07-19 19:00:00 CDT,+55.7586553275,+0,+2.82281564086
2013-07-19 20:00:00 CDT,+57.1260470552,+0.579057415056,+2.98796648112
2013-07-19 21:00:00 CDT,+59.1917926194,+0.481969438233,+2.91638514737
2013-07-19 22:00:00 CDT,+60.2608930928,+0.195984626507,+2.80330220935
2013-07-19 23:00:00 CDT,+60.4949156037,+0,+2.77291783267
2013-07-20 00:00:00 CDT,+60.5548900758,+0.0398979796141,+2.77334655494
2013-07-20 01:00:00 CDT,+60.5695541183,+0,+2.77124577123
2013-07-20 02:00:00 CDT,+60.5695541183,+0,+2.77124577123
2013-07-20 03:00:00 CDT,+60.5869891569,+0.0197614324099,+2.77197451298
2013-07-20 04:00:00 CDT,+60.7080249532,+0.115536137937,+2.78834982939
2013-07-20 05:00:00 CDT,+61.2057015932,+0.232471874821,+2.79623285142
2013-07-20 06:00:00 CDT,+62.0790074883,+0.52682272642,+2.85529647085
2013-07-20 07:00:00 CDT,+63.8128151811,+0.621973280483,+2.84842900804
2013-07-20 08:00:00 CDT,+64.9066588761,+0.137447172376,+2.75758269023
2013-07-20 09:00:00 CDT,+65.2531579235,+0.173975998038,+2.79247879256
2013-07-20 10:00:00 CDT,+65.6822581247,+0.0790773336525,+2.7607198378
2013-07-20 11:00:00 CDT,+65.8551135168,+0.0396804268418,+2.75680765817
2013-07-20 12:00:00 CDT,+65.9912369899,+0.0397309949721,+2.76022627337
2013-07-20 13:00:00 CDT,+66.0207934153,+0,+2.75651334576
2013-07-20 14:00:00 CDT,+66.0520565597,+0.057742590547,+2.77545955529
2013-07-20 15:00:00 CDT,+66.0520565597,+0,+2.77545955529
2013-07-20 16:00:00 CDT,+66.0520565597,+0,+2.77545955529
2013-07-20 17:00:00 CDT,+66.0520565597,+0,+2.77545955529
2013-07-20 18:00:00 CDT,+66.0520565597,+0,+2.77545955529
2013-07-20 19:00:00 CDT,+66.0520565597,+0,+2.77545955529
2013-07-20 20:00:00 CDT,+67.4393402025,+0.644499416454,+2.97246589009
2013-07-20 21:00:00 CDT,+69.4522564049,+0.462793017767,+2.92543327521
2013-07-20 22:00:00 CDT,+70.4964864062,+0.196452051011,+2.81503869662
2013-07-20 23:00:00 CDT,+70.7353137622,+0.0194186506886,+2.7890079885
