# file...... PDEWH_Case_2ai_Averge_PDE_Water_Heater_Energy_Power_COP.csv
# date...... Fri Mar 21 06:17:47 2014
# user...... afisher
# host...... (null)
# group..... class=waterheater AND groupid=fwh
# trigger... (none)
# interval.. 3600
# limit..... 10000000
# property.. timestamp,avg(energy.real),avg(waterheater_power),avg(COP)
2013-07-17 04:00:00 CDT,+30.1826579393,+0.775510204082,+0
2013-07-17 05:00:00 CDT,+30.7422597089,+0.571428571429,+0
2013-07-17 06:00:00 CDT,+31.3769002673,+0.897959183673,+0
2013-07-17 07:00:00 CDT,+32.5704759573,+1.30612244898,+0
2013-07-17 08:00:00 CDT,+33.5235953375,+0.489795918367,+0
2013-07-17 09:00:00 CDT,+33.9956164576,+0.69387755102,+0
2013-07-17 10:00:00 CDT,+34.5842104524,+0.530612244898,+0
2013-07-17 11:00:00 CDT,+34.8350974958,+0.244897959184,+0
2013-07-17 12:00:00 CDT,+34.9409806384,+0.0408163265306,+0
2013-07-17 13:00:00 CDT,+34.9690431637,+0.0408163265306,+0
2013-07-17 14:00:00 CDT,+35.0368139527,+0.122448979592,+0
2013-07-17 15:00:00 CDT,+35.0368139527,+0,+0
2013-07-17 16:00:00 CDT,+35.0368139527,+0,+0
2013-07-17 17:00:00 CDT,+35.0368139527,+0,+0
2013-07-17 18:00:00 CDT,+35.0368139527,+0,+0
2013-07-17 19:00:00 CDT,+35.0368139527,+0,+0
2013-07-17 20:00:00 CDT,+36.0109622617,+1.34693877551,+0
2013-07-17 21:00:00 CDT,+37.5835734583,+1.26530612245,+0
2013-07-17 22:00:00 CDT,+38.6865255332,+0.938775510204,+0
2013-07-17 23:00:00 CDT,+39.4599202355,+0.612244897959,+0
2013-07-18 00:00:00 CDT,+39.8160408933,+0.204081632653,+0
2013-07-18 01:00:00 CDT,+39.9013497982,+0,+0
2013-07-18 02:00:00 CDT,+39.93129418,+0.0816326530612,+0
2013-07-18 03:00:00 CDT,+40.0454864496,+0.285714285714,+0
2013-07-18 04:00:00 CDT,+40.5904033647,+0.775510204082,+0
2013-07-18 05:00:00 CDT,+41.1496201653,+0.571428571429,+0
2013-07-18 06:00:00 CDT,+41.7840928344,+0.897959183673,+0
2013-07-18 07:00:00 CDT,+42.9773404453,+1.30612244898,+0
2013-07-18 08:00:00 CDT,+43.9302647746,+0.489795918367,+0
2013-07-18 09:00:00 CDT,+44.4022080455,+0.69387755102,+0
2013-07-18 10:00:00 CDT,+44.9906814167,+0.530612244898,+0
2013-07-18 11:00:00 CDT,+45.2414215303,+0.244897959184,+0
2013-07-18 12:00:00 CDT,+45.3473157941,+0.0408163265306,+0
2013-07-18 13:00:00 CDT,+45.3753282735,+0.0408163265306,+0
2013-07-18 14:00:00 CDT,+45.4431221606,+0.122448979592,+0
2013-07-18 15:00:00 CDT,+45.4431221606,+0,+0
2013-07-18 16:00:00 CDT,+45.4431221606,+0,+0
2013-07-18 17:00:00 CDT,+45.4431221606,+0,+0
2013-07-18 18:00:00 CDT,+45.4431221606,+0,+0
2013-07-18 19:00:00 CDT,+45.4431221606,+0,+0
2013-07-18 20:00:00 CDT,+46.4172730361,+1.34693877551,+0
2013-07-18 21:00:00 CDT,+47.9894019522,+1.26530612245,+0
2013-07-18 22:00:00 CDT,+49.091877735,+0.938775510204,+0
2013-07-18 23:00:00 CDT,+49.8651396229,+0.612244897959,+0
2013-07-19 00:00:00 CDT,+50.2209202248,+0.204081632653,+0
2013-07-19 01:00:00 CDT,+50.3062468811,+0,+0
2013-07-19 02:00:00 CDT,+50.3363749786,+0.0816326530612,+0
2013-07-19 03:00:00 CDT,+50.4503818215,+0.285714285714,+0
2013-07-19 04:00:00 CDT,+50.995113096,+0.775510204082,+0
2013-07-19 05:00:00 CDT,+51.5540302624,+0.571428571429,+0
2013-07-19 06:00:00 CDT,+52.1884359898,+0.897959183673,+0
2013-07-19 07:00:00 CDT,+53.3815154976,+1.30612244898,+0
2013-07-19 08:00:00 CDT,+54.3346141323,+0.489795918367,+0
2013-07-19 09:00:00 CDT,+54.8066536453,+0.69387755102,+0
2013-07-19 10:00:00 CDT,+55.3954367027,+0.530612244898,+0
2013-07-19 11:00:00 CDT,+55.6466473339,+0.244897959184,+0
2013-07-19 12:00:00 CDT,+55.7528339603,+0.0408163265306,+0
2013-07-19 13:00:00 CDT,+55.780989092,+0.0408163265306,+0
2013-07-19 14:00:00 CDT,+55.8486118818,+0.122448979592,+0
2013-07-19 15:00:00 CDT,+55.8486118818,+0,+0
2013-07-19 16:00:00 CDT,+55.8486118818,+0,+0
2013-07-19 17:00:00 CDT,+55.8486118818,+0,+0
2013-07-19 18:00:00 CDT,+55.8486118818,+0,+0
2013-07-19 19:00:00 CDT,+55.8486118818,+0,+0
2013-07-19 20:00:00 CDT,+56.8227319597,+1.34693877551,+0
2013-07-19 21:00:00 CDT,+58.3994347347,+1.30612244898,+0
2013-07-19 22:00:00 CDT,+59.5056297453,+0.938775510204,+0
2013-07-19 23:00:00 CDT,+60.2799301939,+0.612244897959,+0
2013-07-20 00:00:00 CDT,+60.6388664718,+0.204081632653,+0
2013-07-20 01:00:00 CDT,+60.723978187,+0,+0
2013-07-20 02:00:00 CDT,+60.7520375043,+0.0816326530612,+0
2013-07-20 03:00:00 CDT,+60.8682241268,+0.285714285714,+0
2013-07-20 04:00:00 CDT,+61.4173585907,+0.775510204082,+0
2013-07-20 05:00:00 CDT,+61.9868356692,+0.612244897959,+0
2013-07-20 06:00:00 CDT,+62.6199280108,+0.897959183673,+0
2013-07-20 07:00:00 CDT,+63.8156315097,+1.30612244898,+0
2013-07-20 08:00:00 CDT,+64.7721426802,+0.489795918367,+0
2013-07-20 09:00:00 CDT,+65.245533862,+0.69387755102,+0
2013-07-20 10:00:00 CDT,+65.8358811765,+0.530612244898,+0
2013-07-20 11:00:00 CDT,+66.0911205078,+0.244897959184,+0
2013-07-20 12:00:00 CDT,+66.1973595327,+0.0408163265306,+0
2013-07-20 13:00:00 CDT,+66.2295455032,+0.0408163265306,+0
2013-07-20 14:00:00 CDT,+66.2962777315,+0.122448979592,+0
2013-07-20 15:00:00 CDT,+66.2962777315,+0,+0
2013-07-20 16:00:00 CDT,+66.2962777315,+0,+0
2013-07-20 17:00:00 CDT,+66.2962777315,+0,+0
2013-07-20 18:00:00 CDT,+66.2962777315,+0,+0
2013-07-20 19:00:00 CDT,+66.2962777315,+0,+0
2013-07-20 20:00:00 CDT,+67.2703920349,+1.34693877551,+0
2013-07-20 21:00:00 CDT,+68.8515647271,+1.30612244898,+0
2013-07-20 22:00:00 CDT,+69.9623742321,+0.938775510204,+0
2013-07-20 23:00:00 CDT,+70.734429884,+0.612244897959,+0
