# file...... PDEWH_Case_2aii_PDE_Outlet_Temperature.csv
# date...... Fri Mar 21 06:17:46 2014
# user...... afisher
# host...... (null)
# group..... class=waterheater AND groupid=fwh
# property.. temperature
# limit..... 10000000
# interval.. 3600
# timestamp,waterheater:55,waterheater:66,waterheater:89,waterheater:101,waterheater:113,waterheater:125,waterheater:154,waterheater:172,waterheater:208,waterheater:232,waterheater:244,waterheater:256,waterheater:262,waterheater:274,waterheater:286,waterheater:321,waterheater:333,waterheater:393,waterheater:411,waterheater:428,waterheater:440,waterheater:452,waterheater:505,waterheater:517,waterheater:588,waterheater:599,waterheater:622,waterheater:634,waterheater:646,waterheater:658,waterheater:676,waterheater:682,waterheater:694,waterheater:705,waterheater:735,waterheater:759,waterheater:783,waterheater:837,waterheater:872,waterheater:878,waterheater:908,waterheater:914,waterheater:926,waterheater:944,waterheater:968,waterheater:1015,waterheater:1039,waterheater:1051,waterheater:1081
2013-07-14 00:00:00 CDT,+129.698806763,+127.447625732,+124.029449463,+130.070336914,+122.895083618,+128.072528076,+123.108905029,+123.166500854,+128.433676147,+128.526867676,+126.491732788,+125.032803345,+127.747717285,+126.559216309,+127.756863403,+129.259545898,+123.089624023,+129.778155518,+130.0480896,+128.339743042,+125.186557007,+126.585913086,+126.419799805,+129.453097534,+124.483047485,+125.578109741,+122.200473022,+129.579660034,+124.454620361,+123.342996216,+127.480255127,+128.086865234,+127.877987671,+128.232461548,+126.656610107,+129.88321228,+129.587075806,+122.146337891,+126.095236206,+123.802279663,+127.800863647,+125.367501831,+125.898223877,+124.34140625,+122.957623291,+122.137191772,+128.424777222,+123.956774902,+126.386181641
2013-07-14 01:00:00 CDT,+129.341732516,+127.098437196,+123.702393166,+129.710877367,+122.583937931,+127.721342029,+122.791595155,+122.851777938,+128.083655879,+128.171023926,+126.155495613,+124.69346143,+127.398522972,+139.734292686,+127.410338697,+128.903391008,+122.770425933,+129.42196428,+129.684785807,+127.988463508,+124.86395731,+126.251229177,+126.075978239,+129.097110104,+124.162207886,+125.241981271,+121.888517187,+129.224833318,+124.130245145,+123.018258921,+127.13552703,+127.726017335,+127.520165782,+127.88113229,+126.322764328,+129.518355659,+129.235383437,+121.830245852,+125.75474317,+123.4767119,+127.4561143,+125.022522634,+125.554417454,+124.003129072,+122.630893306,+121.818966649,+128.080166196,+123.631894481,+126.04331053
2013-07-14 02:00:00 CDT,+128.988088798,+126.751885057,+123.377823933,+129.356631145,+122.276399009,+127.378580611,+122.477689143,+122.539851143,+127.738969817,+127.819612141,+125.823567014,+124.362854946,+127.052108857,+152.569846019,+127.070436838,+128.552257039,+122.455362423,+129.073611406,+129.325693099,+127.641050812,+124.545193152,+125.921331612,+125.734569884,+128.742917658,+123.846368041,+124.909011489,+121.578337534,+128.8718804,+123.809914021,+122.695870712,+126.794165573,+127.370653561,+127.167410388,+127.534533413,+125.992303963,+129.157759848,+128.887222881,+121.518696808,+125.419012126,+123.15301349,+127.115548643,+124.682977922,+125.218139345,+123.6711927,+122.309251488,+121.506268656,+127.739977252,+123.308548627,+125.702969174
2013-07-14 03:00:00 CDT,+128.637644683,+126.40893363,+123.056785619,+129.007085782,+121.972115404,+127.04294842,+122.166958756,+122.230584407,+127.398971438,+127.472277824,+125.495589386,+124.039310281,+126.709410929,+161.896491769,+126.736328553,+128.205518027,+122.144028979,+128.731349744,+128.970511789,+127.297226836,+124.229913816,+125.595622299,+125.396659687,+128.391690409,+123.534911512,+124.579949263,+121.271087905,+128.521919996,+123.493205848,+122.376836248,+126.455946464,+127.020131495,+129.055718692,+127.192163269,+125.664975839,+128.801121317,+128.542230384,+121.211225798,+125.087564792,+122.832283817,+126.778779883,+124.348252004,+124.888083897,+123.344790614,+121.992190839,+121.198451806,+127.403677824,+122.987924634,+125.366152298
2013-07-14 04:00:00 CDT,+128.290171211,+126.069341264,+122.739094716,+128.661790702,+121.670801021,+126.71353353,+121.859175768,+121.923807651,+127.06322629,+127.128764413,+125.171239582,+123.721566725,+126.370180358,+174.113725157,+126.407435991,+127.862685171,+121.836134246,+128.393972815,+128.61902554,+126.956750528,+123.917814923,+125.273660238,+125.06209104,+128.043323826,+123.22741455,+127.771176188,+120.966653294,+128.174773973,+123.179809762,+122.060944599,+126.120629654,+126.673939217,+128.698034689,+126.853621251,+125.340525899,+128.448193511,+128.20009269,+120.907488312,+124.760043946,+122.514360629,+126.445506794,+124.017923553,+124.563243768,+123.023362693,+121.679334161,+120.895050283,+127.070771514,+122.669940105,+125.032674078
2013-07-14 05:00:00 CDT,+127.945598798,+125.732985432,+122.424685294,+128.320658906,+121.372414342,+126.389980789,+121.554338266,+121.619550478,+126.731573698,+126.789011748,+124.850492837,+123.40902015,+126.034300428,+182.624161739,+126.083566856,+127.523591219,+121.53158223,+128.060919365,+128.271207857,+126.619609913,+123.608839312,+124.955322342,+124.730814291,+127.697785068,+122.92371121,+127.344638901,+120.66500548,+127.830381146,+123.678602325,+121.748090789,+125.788211952,+126.331894605,+129.009252292,+126.518796773,+125.01898041,+128.098179585,+127.860775251,+120.607370286,+124.436351894,+122.199178649,+126.115637089,+123.691838874,+124.243119229,+122.706654186,+121.370573012,+120.596169464,+126.741158092,+122.354565924,+124.702441827
2013-07-14 06:00:00 CDT,+127.604928627,+125.401999275,+122.115659206,+127.971931123,+121.078193011,+126.073583225,+121.254046423,+121.319598114,+126.349111913,+126.453911683,+124.534578464,+123.102912032,+125.703930684,+192.236908958,+125.765891471,+127.189485861,+121.257212919,+127.733587343,+127.927588453,+126.286957359,+123.30415536,+124.641814709,+124.404905147,+127.357076655,+123.550437854,+126.930158435,+120.745485078,+127.490959939,+123.370206445,+121.440397382,+125.459946004,+125.995262425,+128.658348681,+126.138819216,+124.701708747,+127.736847543,+127.5255767,+120.311857901,+124.117616795,+121.888924499,+125.790125148,+123.371091759,+123.928941766,+122.395797196,+121.067039761,+122.770989286,+126.416228037,+122.043748969,+124.377416547
2013-07-14 07:00:00 CDT,+126.934027131,+125.077509335,+123.195901172,+127.645984112,+120.790859407,+125.761825513,+122.966903842,+122.875697976,+126.030322743,+126.078800973,+124.226274957,+122.80676414,+125.380327797,+192.891604553,+125.454676566,+126.843831276,+121.847201997,+127.415346265,+126.588069847,+125.956881404,+123.006333079,+124.346386851,+124.086766656,+127.563840132,+123.254416898,+128.93201748,+122.503151323,+127.157652702,+123.046632824,+121.139045201,+125.13837545,+125.666983235,+129.02283678,+125.809219655,+124.492338178,+127.37505285,+127.197427287,+120.548248324,+123.806414975,+121.933844516,+125.470094578,+123.106750583,+123.631417741,+122.577041942,+120.775000059,+122.471757068,+126.04486254,+121.738241501,+124.058332952
2013-07-14 08:00:00 CDT,+126.489227391,+124.759272868,+122.892007347,+127.332332789,+120.507840665,+125.470514961,+122.669935506,+122.638691152,+125.696642192,+125.75830925,+124.167716953,+122.522883542,+125.061104896,+192.17727275,+125.154934166,+126.507432453,+122.443344452,+127.057454778,+126.08431535,+125.581340778,+122.717181933,+124.06917059,+124.006168132,+127.234234567,+122.980976488,+128.859674151,+122.201797287,+126.830115399,+123.508709023,+120.843834626,+124.825076232,+125.34893238,+128.684624945,+125.423718299,+124.188893661,+127.028507853,+126.878322855,+121.903257502,+123.504597349,+122.85480558,+125.111729866,+123.454802057,+123.787984236,+123.058871526,+122.654880064,+122.182051396,+125.549928289,+121.778230269,+124.020367708
2013-07-14 09:00:00 CDT,+126.074533031,+124.449622233,+122.592133153,+127.031458149,+122.659206271,+125.194317119,+122.382218247,+122.349352954,+125.393107358,+125.446319696,+123.878608676,+122.25250288,+124.745507179,+195.736793276,+124.865091463,+126.199839225,+122.15416657,+126.744483453,+108.809798848,+125.273762018,+122.663599133,+123.78483339,+123.699623657,+128.937550428,+123.428804158,+128.527793726,+121.903149704,+126.510660588,+123.137207684,+120.557029803,+124.520994753,+125.042076075,+128.357436241,+125.106074792,+123.88592256,+123.301640261,+126.569412288,+121.618518244,+123.213411279,+122.555335967,+120.734078125,+123.156434329,+123.501878043,+122.762310265,+122.366256644,+122.684153939,+125.179178678,+122.318656219,+123.712043909
