# file...... PDEWH_Case_1biii_PDE_Outlet_Temperature.csv
# date...... Sun Mar 23 13:16:13 2014
# user...... afisher
# host...... (null)
# group..... class=waterheater AND groupid=fwh
# property.. temperature
# limit..... 10000000
# interval.. 3600
# timestamp,waterheater:52,waterheater:63,waterheater:86,waterheater:98,waterheater:110,waterheater:122,waterheater:151,waterheater:169,waterheater:205,waterheater:229,waterheater:241,waterheater:253,waterheater:259,waterheater:271,waterheater:283,waterheater:318,waterheater:330,waterheater:390,waterheater:408,waterheater:425,waterheater:437,waterheater:449,waterheater:502,waterheater:514,waterheater:585,waterheater:596,waterheater:619,waterheater:631,waterheater:643,waterheater:655,waterheater:673,waterheater:679,waterheater:691,waterheater:702,waterheater:732,waterheater:756,waterheater:780,waterheater:834,waterheater:869,waterheater:875,waterheater:905,waterheater:911,waterheater:923,waterheater:941,waterheater:965,waterheater:1012,waterheater:1036,waterheater:1048,waterheater:1078
2013-12-08 00:00:00 CST,+125.320782471,+122.654071045,+122.330001831,+128.220843506,+126.240585327,+124.161203003,+122.396743774,+127.693087769,+125.724694824,+129.980853271,+129.3925354,+122.743060303,+128.681362915,+126.006741333,+128.154101562,+127.098342896,+127.307962036,+125.936538696,+125.588491821,+125.142803955,+127.589266968,+127.459243774,+126.658587646,+122.659262085,+122.446923828,+123.116320801,+129.714379883,+128.334057617,+122.190585327,+122.094180298,+127.845358276,+127.151489258,+129.256826782,+124.061831665,+127.559109497,+123.624301147,+129.062780762,+127.908886719,+122.840701294,+124.7097229,+122.43777771,+129.498828125,+126.90899353,+127.729425049,+126.674902344,+129.211096191,+128.489047241,+128.351608276,+127.05112915
2013-12-08 01:00:00 CST,+124.9846703,+122.322119634,+121.999057003,+127.835220291,+125.886371602,+123.794829012,+122.030176576,+127.346550821,+125.350780242,+129.618694945,+129.030807182,+122.380524301,+128.292445717,+125.64347275,+127.791217613,+126.754431601,+126.935546738,+125.55659245,+125.215395101,+124.792091289,+127.252954427,+127.077777436,+126.277208959,+122.305164697,+122.123800249,+122.77114754,+129.33935009,+127.98367244,+121.868748797,+121.766755572,+127.497917604,+126.777397665,+128.898186712,+123.713634154,+127.177941588,+123.259569439,+128.686797344,+127.53623799,+122.476304752,+124.356459323,+122.08779787,+129.136190284,+126.514825039,+127.329299483,+126.319738387,+128.834390004,+128.102903409,+127.988688615,+126.694645898
2013-12-08 02:00:00 CST,+124.651610383,+121.991627913,+121.67008814,+127.449458054,+125.534427651,+123.425904065,+121.646438158,+127.002268473,+124.975916957,+129.263843508,+128.671581457,+122.017293839,+127.904627961,+125.282282924,+127.421784764,+126.411896819,+126.564837357,+125.159100245,+124.840122097,+124.443656352,+126.918740687,+126.691350993,+125.897739956,+121.949475505,+121.802821009,+122.411059654,+128.966606208,+127.635380867,+121.54915015,+121.441080897,+127.154665959,+126.404781819,+128.549705513,+123.367050183,+126.792950755,+122.891730445,+128.312931067,+127.165942792,+122.094921235,+124.005274365,+121.737733815,+128.785728365,+126.117181061,+126.920898331,+125.967018861,+128.459992231,+127.712199383,+127.628788739,+126.339959174
2013-12-08 03:00:00 CST,+124.319452597,+121.663649053,+121.343219785,+127.066400792,+125.185083191,+123.059689074,+121.265904757,+126.660233894,+124.603792725,+128.915293188,+128.314654252,+121.655974109,+127.519345873,+124.923473686,+127.054728744,+126.071363873,+126.196710462,+124.761007306,+124.467814528,+124.097413214,+126.586389966,+126.307806313,+125.52071068,+121.59673889,+121.483677756,+122.052997948,+128.596064527,+127.288291722,+121.231721223,+121.117006484,+126.815727391,+126.034862001,+128.201937099,+123.022347088,+126.4107215,+122.526637734,+127.941807586,+126.797857921,+121.71697088,+123.65598003,+121.390346846,+128.445214328,+128.970012904,+126.515439674,+125.616154671,+128.087731924,+127.323374072,+127.270590558,+125.986901431
2013-12-08 04:00:00 CST,+123.990326593,+121.337162248,+121.018551626,+126.685833752,+124.837955902,+122.695917368,+120.887648954,+126.320279308,+124.233780852,+128.567606791,+127.959888486,+121.29711866,+127.136200846,+124.566879357,+126.690186222,+125.73331459,+125.830827151,+124.365348977,+124.097637839,+123.753794067,+126.256144025,+125.927015582,+125.146175734,+121.246017546,+121.167125395,+121.697025879,+128.228195359,+126.943909879,+120.916408304,+120.794939202,+126.480695418,+125.666866564,+127.856332341,+122.679586273,+126.030715888,+122.163990265,+127.573295632,+126.432225059,+121.341531024,+123.30915476,+121.045199977,+128.105548667,+128.555104859,+126.112446582,+125.267642061,+127.7177287,+126.936992004,+126.915557467,+128.94540127
2013-12-08 05:00:00 CST,+123.662880379,+121.013230673,+120.695525251,+126.315671355,+124.492767472,+122.334413705,+120.511980218,+125.982104833,+123.866513083,+128.221648037,+127.60711377,+120.940515841,+126.755597037,+124.212516615,+126.327855796,+125.396864057,+125.467448517,+123.971873947,+123.730246352,+123.412284645,+125.927958343,+125.548454309,+124.774110307,+120.89787668,+120.851935379,+121.343255887,+127.862218438,+126.601144621,+122.94301071,+120.475217484,+126.149062933,+125.301493856,+127.512567683,+122.339285149,+125.653171402,+121.809729414,+127.206940496,+126.06864401,+120.968641266,+122.964590369,+120.701895582,+127.767954888,+128.727688715,+125.712255359,+124.921159305,+127.349955451,+126.55267552,+126.562096129,+128.57646404
2013-12-08 06:00:00 CST,+123.336386487,+120.77688822,+120.374552514,+125.895865795,+124.149821012,+121.98767375,+120.13856188,+125.64608223,+123.918334484,+127.877388714,+127.256535744,+120.585863515,+126.377223192,+123.860219374,+125.982459856,+125.062786508,+125.105914988,+123.596523248,+123.365211179,+123.072896506,+125.600930679,+125.181160348,+124.404114208,+120.551909719,+122.56464431,+120.9998464,+127.491675426,+126.259828517,+122.624340211,+120.156741528,+125.821835107,+124.93816422,+127.170903045,+122.214184507,+125.277680259,+122.947369906,+126.842615935,+125.719506737,+120.61113254,+122.621703155,+120.360838812,+127.431351616,+129.048897889,+125.314330601,+124.576829468,+126.984469549,+126.196138893,+126.210769938,+128.123887922
2013-12-08 07:00:00 CST,+122.701113126,+122.704538221,+122.670244238,+125.547801564,+123.808647639,+121.787855947,+121.946261816,+125.270683706,+123.553034552,+127.516100562,+126.908198182,+120.233511768,+126.001106629,+123.512778231,+125.65839125,+124.733509154,+124.757688998,+123.244494139,+122.094011245,+122.749918331,+125.276035629,+124.825877828,+124.037055464,+120.208181701,+122.571867118,+120.687933818,+127.113350093,+125.920841255,+122.293067266,+119.839913555,+125.496518554,+124.576680976,+126.791812077,+122.992213247,+124.906978868,+122.578936481,+126.480044266,+125.377120739,+120.276639485,+129.071278685,+120.036640307,+127.078713669,+128.959400226,+124.918671847,+124.234815657,+126.621294274,+125.799902182,+125.860436167,+129.37673062
2013-12-08 08:00:00 CST,+122.94011577,+122.37232743,+122.385426301,+125.211447168,+123.469589919,+122.415602781,+122.366210587,+124.938838516,+123.246320946,+127.175996948,+126.561572596,+119.883618498,+125.627375258,+123.432685854,+125.338013945,+124.460027655,+124.405003946,+123.667695078,+122.985780357,+123.347531452,+124.952627323,+124.486246439,+123.939050897,+122.148899764,+122.263907931,+122.725878639,+126.754150218,+125.583937354,+123.204631984,+119.52486716,+125.171925798,+124.217665332,+126.454469084,+123.528505449,+124.536268184,+123.080858475,+126.119625821,+125.032855946,+122.53002229,+128.847015215,+122.131692967,+126.73125994,+128.546579476,+124.525479154,+123.894572204,+126.260262375,+125.280502094,+125.494224878,+128.199174991
2013-12-08 09:00:00 CST,+123.064022665,+122.042202067,+122.053774683,+124.878135626,+123.675094706,+122.091869368,+121.981272088,+124.609348249,+123.277237919,+126.837274517,+126.216811045,+119.53577363,+125.255843056,+123.084800439,+125.02183137,+124.131484482,+124.049735692,+123.314563387,+116.144437584,+123.007325294,+124.642734153,+124.153498462,+123.573738927,+122.247134795,+123.124668168,+122.402045348,+126.396780671,+125.248545722,+122.832672639,+119.211580542,+124.848210414,+123.861262626,+126.118678658,+123.182942807,+124.167566676,+122.179306647,+125.761065743,+124.70546181,+122.185146199,+128.468352149,+120.988232651,+126.401097863,+128.136240404,+124.136175791,+123.556496612,+125.900023992,+124.905560499,+125.109489407,+129.087393794
