# file...... feeder_3_power.csv
# date...... Sat Sep 26 23:35:38 2009
# user...... glduser
# host...... (null)
# target.... regulator 4891
# trigger... (none)
# interval.. 300
# limit..... 312
# timestamp,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,tap_A,tap_B,tap_C
2000-07-11 01:20:00 MDT,+3.32761e+006,+1.43488e+006,+3.33543e+006,+1.43164e+006,+3.36669e+006,+1.45992e+006,7,7,7
2000-07-11 01:25:00 MDT,+3.33128e+006,+1.43584e+006,+3.28081e+006,+1.42859e+006,+3.3847e+006,+1.46115e+006,7,7,7
2000-07-11 01:30:00 MDT,+3.34002e+006,+1.43576e+006,+3.30155e+006,+1.42904e+006,+3.41093e+006,+1.4622e+006,7,7,7
2000-07-11 01:35:00 MDT,+3.35819e+006,+1.43234e+006,+3.30009e+006,+1.42482e+006,+3.3974e+006,+1.45703e+006,7,7,7
2000-07-11 01:40:00 MDT,+3.35079e+006,+1.43177e+006,+3.31448e+006,+1.42569e+006,+3.38698e+006,+1.4564e+006,7,7,7
2000-07-11 01:45:00 MDT,+3.321e+006,+1.43077e+006,+3.29685e+006,+1.42528e+006,+3.37312e+006,+1.45627e+006,7,7,7
2000-07-11 01:50:00 MDT,+3.33797e+006,+1.42596e+006,+3.28795e+006,+1.41841e+006,+3.41001e+006,+1.45208e+006,7,7,7
2000-07-11 01:55:00 MDT,+3.327e+006,+1.42548e+006,+3.2799e+006,+1.41846e+006,+3.38212e+006,+1.45098e+006,7,7,7
2000-07-11 02:00:00 MDT,+3.31268e+006,+1.42444e+006,+3.3088e+006,+1.42068e+006,+3.34478e+006,+1.44927e+006,7,7,7
2000-07-11 02:05:00 MDT,+3.32212e+006,+1.42053e+006,+3.27051e+006,+1.41321e+006,+3.3847e+006,+1.44618e+006,7,7,7
2000-07-11 02:10:00 MDT,+3.3217e+006,+1.42056e+006,+3.27479e+006,+1.41369e+006,+3.3675e+006,+1.44528e+006,7,7,7
2000-07-11 02:15:00 MDT,+3.30295e+006,+1.41982e+006,+3.24683e+006,+1.41248e+006,+3.36884e+006,+1.4459e+006,7,7,7
