# file...... feeder_5_power.csv
# date...... Sat Sep 26 23:35:38 2009
# user...... glduser
# host...... (null)
# target.... regulator 12401
# trigger... (none)
# interval.. 300
# limit..... 312
# timestamp,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,tap_A,tap_B,tap_C
2000-07-10 22:05:00 MDT,+3.83384e+006,+2.03801e+006,+3.80073e+006,+2.02812e+006,+3.8327e+006,+2.04705e+006,0,0,0
2000-07-10 22:10:00 MDT,+3.73887e+006,+1.66775e+006,+3.69754e+006,+1.65722e+006,+3.72208e+006,+1.67575e+006,0,0,0
2000-07-10 22:15:00 MDT,+3.7116e+006,+1.65185e+006,+3.63495e+006,+1.63878e+006,+3.7114e+006,+1.66074e+006,1,1,1
2000-07-10 22:20:00 MDT,+3.74984e+006,+1.6254e+006,+3.65498e+006,+1.61169e+006,+3.68905e+006,+1.63e+006,1,1,1
2000-07-10 22:25:00 MDT,+3.67007e+006,+1.60536e+006,+3.65124e+006,+1.59612e+006,+3.71166e+006,+1.6175e+006,2,2,2
2000-07-10 22:30:00 MDT,+3.64512e+006,+1.6058e+006,+3.59402e+006,+1.59522e+006,+3.60837e+006,+1.61256e+006,2,2,2
2000-07-10 22:35:00 MDT,+3.54884e+006,+1.55894e+006,+3.51765e+006,+1.54948e+006,+3.54439e+006,+1.56775e+006,3,3,3
2000-07-10 22:40:00 MDT,+3.65598e+006,+1.56355e+006,+3.55864e+006,+1.55019e+006,+3.58072e+006,+1.56734e+006,3,3,3
2000-07-10 22:45:00 MDT,+3.58634e+006,+1.54485e+006,+3.55502e+006,+1.53487e+006,+3.61211e+006,+1.55517e+006,4,4,4
2000-07-10 22:50:00 MDT,+3.4697e+006,+1.51422e+006,+3.40653e+006,+1.50256e+006,+3.46915e+006,+1.5227e+006,4,4,4
2000-07-10 22:55:00 MDT,+3.4565e+006,+1.4986e+006,+3.39955e+006,+1.48795e+006,+3.43755e+006,+1.50632e+006,5,5,5
2000-07-10 23:00:00 MDT,+3.54885e+006,+1.50184e+006,+3.48358e+006,+1.49098e+006,+3.47435e+006,+1.5059e+006,5,5,5
2000-07-10 23:05:00 MDT,+3.45174e+006,+1.45455e+006,+3.3981e+006,+1.44412e+006,+3.46285e+006,+1.46387e+006,6,6,6
2000-07-10 23:10:00 MDT,+3.38134e+006,+1.45297e+006,+3.33803e+006,+1.44302e+006,+3.36639e+006,+1.46053e+006,6,6,6
2000-07-10 23:15:00 MDT,+3.36502e+006,+1.43792e+006,+3.30382e+006,+1.42693e+006,+3.34896e+006,+1.44528e+006,7,7,7
2000-07-10 23:20:00 MDT,+3.39262e+006,+1.41888e+006,+3.31573e+006,+1.40765e+006,+3.31327e+006,+1.42295e+006,7,7,7
2000-07-10 23:25:00 MDT,+3.33048e+006,+1.41575e+006,+3.30002e+006,+1.40619e+006,+3.38476e+006,+1.42749e+006,7,7,7
2000-07-10 23:30:00 MDT,+3.34167e+006,+1.41625e+006,+3.33244e+006,+1.40887e+006,+3.32002e+006,+1.42357e+006,7,7,7
2000-07-10 23:35:00 MDT,+3.33088e+006,+1.39731e+006,+3.22924e+006,+1.38451e+006,+3.28555e+006,+1.40261e+006,7,7,7
2000-07-10 23:40:00 MDT,+3.33352e+006,+1.39692e+006,+3.29323e+006,+1.38736e+006,+3.28853e+006,+1.40233e+006,7,7,7
2000-07-10 23:45:00 MDT,+3.30394e+006,+1.39515e+006,+3.24009e+006,+1.38462e+006,+3.32632e+006,+1.40495e+006,7,7,7
2000-07-10 23:50:00 MDT,+3.27997e+006,+1.38313e+006,+3.25373e+006,+1.37462e+006,+3.27186e+006,+1.39133e+006,7,7,7
2000-07-10 23:55:00 MDT,+3.29183e+006,+1.3843e+006,+3.23789e+006,+1.37336e+006,+3.25977e+006,+1.39056e+006,7,7,7
2000-07-11 00:00:00 MDT,+3.29858e+006,+1.38457e+006,+3.22324e+006,+1.37313e+006,+3.26568e+006,+1.39079e+006,7,7,7
2000-07-11 00:05:00 MDT,+3.48054e+006,+1.49916e+006,+3.44172e+006,+1.49053e+006,+3.48229e+006,+1.50795e+006,7,7,7
2000-07-11 00:10:00 MDT,+3.49736e+006,+1.50071e+006,+3.44121e+006,+1.49053e+006,+3.46691e+006,+1.50663e+006,7,7,7
2000-07-11 00:15:00 MDT,+3.48498e+006,+1.50013e+006,+3.43205e+006,+1.49046e+006,+3.46123e+006,+1.50681e+006,7,7,7
2000-07-11 00:20:00 MDT,+3.44925e+006,+1.4869e+006,+3.43581e+006,+1.4791e+006,+3.44687e+006,+1.49523e+006,7,7,7
2000-07-11 00:25:00 MDT,+3.42779e+006,+1.48603e+006,+3.40299e+006,+1.47777e+006,+3.44939e+006,+1.49581e+006,7,7,7
2000-07-11 00:30:00 MDT,+3.46391e+006,+1.48825e+006,+3.38406e+006,+1.4764e+006,+3.46642e+006,+1.496e+006,7,7,7
2000-07-11 00:35:00 MDT,+3.46637e+006,+1.47687e+006,+3.40181e+006,+1.46672e+006,+3.42e+006,+1.48219e+006,7,7,7
2000-07-11 00:40:00 MDT,+3.4216e+006,+1.4747e+006,+3.39873e+006,+1.46652e+006,+3.40812e+006,+1.48235e+006,7,7,7
2000-07-11 00:45:00 MDT,+3.41205e+006,+1.47482e+006,+3.3634e+006,+1.46483e+006,+3.41568e+006,+1.48307e+006,7,7,7
2000-07-11 00:50:00 MDT,+3.40727e+006,+1.46346e+006,+3.35136e+006,+1.45321e+006,+3.40815e+006,+1.47099e+006,7,7,7
2000-07-11 00:55:00 MDT,+3.43074e+006,+1.46371e+006,+3.38824e+006,+1.45438e+006,+3.43373e+006,+1.4721e+006,7,7,7
2000-07-11 01:00:00 MDT,+3.38293e+006,+1.46219e+006,+3.35904e+006,+1.454e+006,+3.37596e+006,+1.47009e+006,7,7,7
2000-07-11 01:05:00 MDT,+3.38318e+006,+1.4504e+006,+3.31106e+006,+1.43925e+006,+3.37578e+006,+1.45746e+006,7,7,7
2000-07-11 01:10:00 MDT,+3.38641e+006,+1.45004e+006,+3.3499e+006,+1.44107e+006,+3.38317e+006,+1.45751e+006,7,7,7
2000-07-11 01:15:00 MDT,+3.40951e+006,+1.45113e+006,+3.33099e+006,+1.44005e+006,+3.38213e+006,+1.45726e+006,7,7,7
2000-07-11 01:20:00 MDT,+3.36473e+006,+1.44393e+006,+3.322e+006,+1.43458e+006,+3.33961e+006,+1.45005e+006,7,7,7
2000-07-11 01:25:00 MDT,+3.36494e+006,+1.44415e+006,+3.28882e+006,+1.43305e+006,+3.34595e+006,+1.45082e+006,7,7,7
2000-07-11 01:30:00 MDT,+3.39515e+006,+1.44505e+006,+3.33672e+006,+1.43529e+006,+3.35687e+006,+1.45017e+006,7,7,7
2000-07-11 01:35:00 MDT,+3.3638e+006,+1.43853e+006,+3.33867e+006,+1.43089e+006,+3.36263e+006,+1.44688e+006,7,7,7
2000-07-11 01:40:00 MDT,+3.35267e+006,+1.43948e+006,+3.28853e+006,+1.42835e+006,+3.36166e+006,+1.44729e+006,7,7,7
2000-07-11 01:45:00 MDT,+3.37709e+006,+1.44012e+006,+3.28677e+006,+1.42837e+006,+3.35642e+006,+1.44681e+006,7,7,7
2000-07-11 01:50:00 MDT,+3.35743e+006,+1.43311e+006,+3.31948e+006,+1.42464e+006,+3.34758e+006,+1.44066e+006,7,7,7
2000-07-11 01:55:00 MDT,+3.35566e+006,+1.43365e+006,+3.29663e+006,+1.4237e+006,+3.33481e+006,+1.43993e+006,7,7,7
2000-07-11 02:00:00 MDT,+3.33634e+006,+1.43289e+006,+3.27561e+006,+1.42217e+006,+3.35677e+006,+1.44157e+006,7,7,7
2000-07-11 02:05:00 MDT,+3.33042e+006,+1.42768e+006,+3.27137e+006,+1.41772e+006,+3.34058e+006,+1.43588e+006,7,7,7
2000-07-11 02:10:00 MDT,+3.37741e+006,+1.4295e+006,+3.30757e+006,+1.41908e+006,+3.33732e+006,+1.43484e+006,7,7,7
2000-07-11 02:15:00 MDT,+3.29509e+006,+1.42629e+006,+3.26991e+006,+1.41817e+006,+3.31654e+006,+1.43536e+006,7,7,7
2000-07-11 02:20:00 MDT,+3.3325e+006,+1.42743e+006,+3.27641e+006,+1.41786e+006,+3.33723e+006,+1.43555e+006,7,7,7
2000-07-11 02:25:00 MDT,+3.33503e+006,+1.42826e+006,+3.26717e+006,+1.41752e+006,+3.33023e+006,+1.4353e+006,7,7,7
2000-07-11 02:30:00 MDT,+3.34806e+006,+1.42841e+006,+3.28281e+006,+1.41819e+006,+3.34257e+006,+1.43549e+006,7,7,7
2000-07-11 02:35:00 MDT,+3.32202e+006,+1.42697e+006,+3.30001e+006,+1.41958e+006,+3.31126e+006,+1.43424e+006,7,7,7
2000-07-11 02:40:00 MDT,+3.30037e+006,+1.42644e+006,+3.27594e+006,+1.41802e+006,+3.32936e+006,+1.43582e+006,7,7,7
2000-07-11 02:45:00 MDT,+3.33004e+006,+1.42728e+006,+3.27509e+006,+1.41808e+006,+3.34097e+006,+1.43586e+006,7,7,7
2000-07-11 02:50:00 MDT,+3.36393e+006,+1.42939e+006,+3.27846e+006,+1.41779e+006,+3.33268e+006,+1.43484e+006,7,7,7
2000-07-11 02:55:00 MDT,+3.32633e+006,+1.4272e+006,+3.31116e+006,+1.42043e+006,+3.30015e+006,+1.4335e+006,7,7,7
