# file...... feeder_1_power.csv
# date...... Sat Sep 26 23:35:38 2009
# user...... glduser
# host...... (null)
# target.... regulator 35141
# trigger... (none)
# interval.. 300
# limit..... 312
# timestamp,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,tap_A,tap_B,tap_C
2000-07-10 22:05:00 MDT,+3.82743e+006,+2.03922e+006,+3.72594e+006,+2.03576e+006,+3.73247e+006,+2.0301e+006,0,0,0
2000-07-10 22:10:00 MDT,+3.6892e+006,+1.66251e+006,+3.70612e+006,+1.66586e+006,+3.67714e+006,+1.66031e+006,0,0,0
2000-07-10 22:15:00 MDT,+3.72366e+006,+1.64996e+006,+3.67274e+006,+1.64954e+006,+3.61261e+006,+1.6401e+006,1,1,1
2000-07-10 22:20:00 MDT,+3.66908e+006,+1.61739e+006,+3.71749e+006,+1.6232e+006,+3.64832e+006,+1.61448e+006,1,1,1
2000-07-10 22:25:00 MDT,+3.69496e+006,+1.60505e+006,+3.62358e+006,+1.60166e+006,+3.69285e+006,+1.60194e+006,2,2,2
2000-07-10 22:30:00 MDT,+3.5947e+006,+1.60069e+006,+3.59463e+006,+1.60293e+006,+3.58237e+006,+1.59769e+006,2,2,2
2000-07-10 22:35:00 MDT,+3.54867e+006,+1.55651e+006,+3.54794e+006,+1.55868e+006,+3.48847e+006,+1.55073e+006,3,3,3
2000-07-10 22:40:00 MDT,+3.59836e+006,+1.55771e+006,+3.61758e+006,+1.5612e+006,+3.55865e+006,+1.55282e+006,3,3,3
2000-07-10 22:45:00 MDT,+3.65919e+006,+1.5463e+006,+3.56121e+006,+1.54246e+006,+3.55521e+006,+1.53713e+006,4,4,4
2000-07-10 22:50:00 MDT,+3.4517e+006,+1.51064e+006,+3.44129e+006,+1.51242e+006,+3.38881e+006,+1.50498e+006,4,4,4
2000-07-10 22:55:00 MDT,+3.41712e+006,+1.49375e+006,+3.44884e+006,+1.49704e+006,+3.4569e+006,+1.49496e+006,5,5,5
2000-07-10 23:00:00 MDT,+3.50769e+006,+1.49731e+006,+3.48872e+006,+1.49852e+006,+3.4705e+006,+1.49342e+006,5,5,5
2000-07-10 23:05:00 MDT,+3.41858e+006,+1.45052e+006,+3.4469e+006,+1.45399e+006,+3.38264e+006,+1.44752e+006,6,6,6
2000-07-10 23:10:00 MDT,+3.38404e+006,+1.45169e+006,+3.31719e+006,+1.4487e+006,+3.33667e+006,+1.44599e+006,6,6,6
2000-07-10 23:15:00 MDT,+3.4261e+006,+1.45378e+006,+3.32907e+006,+1.44963e+006,+3.29443e+006,+1.4429e+006,6,6,6
2000-07-10 23:20:00 MDT,+3.34941e+006,+1.42846e+006,+3.34701e+006,+1.42965e+006,+3.36336e+006,+1.4284e+006,6,6,6
2000-07-10 23:25:00 MDT,+3.40284e+006,+1.43133e+006,+3.37072e+006,+1.43056e+006,+3.35483e+006,+1.42592e+006,6,6,6
2000-07-10 23:30:00 MDT,+3.37249e+006,+1.43134e+006,+3.33407e+006,+1.43074e+006,+3.28432e+006,+1.42295e+006,6,6,6
2000-07-10 23:35:00 MDT,+3.28873e+006,+1.40707e+006,+3.25934e+006,+1.40667e+006,+3.29027e+006,+1.40547e+006,6,6,6
2000-07-10 23:40:00 MDT,+3.37278e+006,+1.41028e+006,+3.34346e+006,+1.4106e+006,+3.28974e+006,+1.40329e+006,6,6,6
2000-07-10 23:45:00 MDT,+3.38406e+006,+1.41118e+006,+3.31804e+006,+1.40776e+006,+3.34986e+006,+1.40603e+006,6,6,6
2000-07-10 23:50:00 MDT,+3.28748e+006,+1.39542e+006,+3.28697e+006,+1.39689e+006,+3.25898e+006,+1.39189e+006,6,6,6
2000-07-10 23:55:00 MDT,+3.29724e+006,+1.39669e+006,+3.24915e+006,+1.39564e+006,+3.21505e+006,+1.39029e+006,6,6,6
2000-07-11 00:00:00 MDT,+3.28811e+006,+1.3954e+006,+3.27291e+006,+1.39545e+006,+3.31205e+006,+1.39469e+006,6,6,6
2000-07-11 00:05:00 MDT,+3.47083e+006,+1.51108e+006,+3.49146e+006,+1.51534e+006,+3.47447e+006,+1.50843e+006,6,6,6
2000-07-11 00:10:00 MDT,+3.57052e+006,+1.51699e+006,+3.45827e+006,+1.51328e+006,+3.44948e+006,+1.50538e+006,6,6,6
2000-07-11 00:15:00 MDT,+3.51325e+006,+1.51369e+006,+3.4677e+006,+1.51377e+006,+3.47184e+006,+1.5075e+006,6,6,6
2000-07-11 00:20:00 MDT,+3.46052e+006,+1.50004e+006,+3.44322e+006,+1.50164e+006,+3.44461e+006,+1.49595e+006,6,6,6
2000-07-11 00:25:00 MDT,+3.46865e+006,+1.49962e+006,+3.45401e+006,+1.50107e+006,+3.52816e+006,+1.50023e+006,6,6,6
2000-07-11 00:30:00 MDT,+3.53271e+006,+1.50464e+006,+3.46556e+006,+1.50306e+006,+3.40188e+006,+1.49181e+006,6,6,6
2000-07-11 00:35:00 MDT,+3.4706e+006,+1.48917e+006,+3.45068e+006,+1.49091e+006,+3.4131e+006,+1.48221e+006,6,6,6
2000-07-11 00:40:00 MDT,+3.46808e+006,+1.48913e+006,+3.44124e+006,+1.49094e+006,+3.40228e+006,+1.48202e+006,6,6,6
2000-07-11 00:45:00 MDT,+3.45619e+006,+1.48826e+006,+3.44781e+006,+1.49077e+006,+3.43051e+006,+1.48325e+006,6,6,6
2000-07-11 00:50:00 MDT,+3.46439e+006,+1.47832e+006,+3.39525e+006,+1.47755e+006,+3.36254e+006,+1.46849e+006,6,6,6
2000-07-11 00:55:00 MDT,+3.43661e+006,+1.47615e+006,+3.4112e+006,+1.47729e+006,+3.44248e+006,+1.47287e+006,6,6,6
2000-07-11 01:00:00 MDT,+3.43389e+006,+1.47612e+006,+3.41865e+006,+1.47765e+006,+3.42229e+006,+1.47269e+006,6,6,6
2000-07-11 01:05:00 MDT,+3.379e+006,+1.46115e+006,+3.39547e+006,+1.4648e+006,+3.40436e+006,+1.46004e+006,6,6,6
2000-07-11 01:10:00 MDT,+3.43266e+006,+1.46466e+006,+3.38143e+006,+1.46543e+006,+3.32647e+006,+1.45431e+006,6,6,6
2000-07-11 01:15:00 MDT,+3.38477e+006,+1.46178e+006,+3.36654e+006,+1.46376e+006,+3.40487e+006,+1.45924e+006,6,6,6
2000-07-11 01:20:00 MDT,+3.39862e+006,+1.45725e+006,+3.36266e+006,+1.45754e+006,+3.36988e+006,+1.4517e+006,6,6,6
2000-07-11 01:25:00 MDT,+3.38119e+006,+1.45631e+006,+3.374e+006,+1.45947e+006,+3.32521e+006,+1.44937e+006,6,6,6
2000-07-11 01:30:00 MDT,+3.3661e+006,+1.45584e+006,+3.36641e+006,+1.45909e+006,+3.31604e+006,+1.44918e+006,6,6,6
2000-07-11 01:35:00 MDT,+3.3916e+006,+1.45336e+006,+3.34241e+006,+1.45386e+006,+3.29107e+006,+1.44346e+006,6,6,6
2000-07-11 01:40:00 MDT,+3.42823e+006,+1.45361e+006,+3.39684e+006,+1.45477e+006,+3.39802e+006,+1.44894e+006,6,6,6
2000-07-11 01:45:00 MDT,+3.35477e+006,+1.45055e+006,+3.3718e+006,+1.45483e+006,+3.33816e+006,+1.44635e+006,6,6,6
2000-07-11 01:50:00 MDT,+3.42112e+006,+1.44929e+006,+3.32885e+006,+1.44696e+006,+3.30785e+006,+1.43818e+006,6,6,6
2000-07-11 01:55:00 MDT,+3.35929e+006,+1.44607e+006,+3.33107e+006,+1.44752e+006,+3.30845e+006,+1.43912e+006,6,6,6
2000-07-11 02:00:00 MDT,+3.36575e+006,+1.44545e+006,+3.36579e+006,+1.44838e+006,+3.34319e+006,+1.44084e+006,6,6,6
2000-07-11 02:05:00 MDT,+3.33482e+006,+1.43866e+006,+3.37977e+006,+1.44473e+006,+3.32994e+006,+1.43554e+006,6,6,6
2000-07-11 02:10:00 MDT,+3.36963e+006,+1.44129e+006,+3.3299e+006,+1.44242e+006,+3.31058e+006,+1.43398e+006,6,6,6
2000-07-11 02:15:00 MDT,+3.3401e+006,+1.44033e+006,+3.29857e+006,+1.44099e+006,+3.31811e+006,+1.43482e+006,6,6,6
2000-07-11 02:20:00 MDT,+3.38162e+006,+1.44215e+006,+3.3165e+006,+1.44124e+006,+3.33419e+006,+1.43498e+006,6,6,6
