# file...... line_trans_node_3_to_trans_node_4_at_to_power.csv
# date...... Sat Sep 26 23:35:38 2009
# user...... glduser
# host...... (null)
# target.... overhead_line 33965
# trigger... (none)
# interval.. 60
# limit..... 2880
# timestamp,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,power_out_A.real,power_out_A.imag,power_out_B.real,power_out_B.imag,power_out_C.real,power_out_C.imag
2000-07-10 22:01:00 MDT,+1.6484e+006,+875284,+1.63027e+006,+859873,+1.65268e+006,+851662,+7.68106e+006,+4.09767e+006,+7.67961e+006,+4.04789e+006,+7.7235e+006,+4.07084e+006
2000-07-10 22:02:00 MDT,+1.65789e+006,+882534,+1.65048e+006,+847377,+1.68463e+006,+858268,+7.74922e+006,+4.10994e+006,+7.76137e+006,+4.03233e+006,+7.82254e+006,+4.08069e+006
2000-07-10 22:03:00 MDT,+1.65621e+006,+887301,+1.63941e+006,+847875,+1.68197e+006,+852801,+7.70576e+006,+4.10829e+006,+7.71466e+006,+4.03367e+006,+7.77497e+006,+4.07788e+006
2000-07-10 22:04:00 MDT,+1.65361e+006,+877931,+1.64136e+006,+854495,+1.66778e+006,+855339,+7.64569e+006,+4.09077e+006,+7.6764e+006,+4.03598e+006,+7.7085e+006,+4.08904e+006
2000-07-10 22:05:00 MDT,+1.63628e+006,+877975,+1.61664e+006,+857791,+1.64394e+006,+850668,+7.59593e+006,+4.09433e+006,+7.59796e+006,+4.04564e+006,+7.63913e+006,+4.07107e+006
2000-07-10 22:06:00 MDT,+1.59724e+006,+875747,+1.58252e+006,+855421,+1.60743e+006,+852660,+7.48026e+006,+4.0907e+006,+7.49516e+006,+4.03657e+006,+7.53434e+006,+4.07603e+006
2000-07-10 22:07:00 MDT,+1.56917e+006,+716252,+1.55976e+006,+695103,+1.58269e+006,+697415,+7.39487e+006,+3.33961e+006,+7.41517e+006,+3.3065e+006,+7.43329e+006,+3.34035e+006
2000-07-10 22:08:00 MDT,+1.55175e+006,+710704,+1.54126e+006,+700137,+1.55557e+006,+696185,+7.35157e+006,+3.34796e+006,+7.36558e+006,+3.29948e+006,+7.40016e+006,+3.33544e+006
2000-07-10 22:09:00 MDT,+1.56241e+006,+709722,+1.54183e+006,+707096,+1.55432e+006,+690438,+7.36521e+006,+3.34566e+006,+7.37111e+006,+3.30679e+006,+7.40152e+006,+3.33092e+006
2000-07-10 22:10:00 MDT,+1.58263e+006,+711829,+1.54635e+006,+714573,+1.56208e+006,+681626,+7.39802e+006,+3.34666e+006,+7.38039e+006,+3.32023e+006,+7.41199e+006,+3.31774e+006
2000-07-10 22:11:00 MDT,+1.58424e+006,+701969,+1.55712e+006,+714447,+1.55985e+006,+684533,+7.38856e+006,+3.33299e+006,+7.37951e+006,+3.30568e+006,+7.40763e+006,+3.31092e+006
2000-07-10 22:12:00 MDT,+1.58398e+006,+711726,+1.55492e+006,+705857,+1.57449e+006,+683489,+7.39883e+006,+3.33238e+006,+7.39085e+006,+3.30589e+006,+7.41761e+006,+3.31187e+006
2000-07-10 22:13:00 MDT,+1.5779e+006,+708736,+1.55913e+006,+703077,+1.5733e+006,+689468,+7.39844e+006,+3.32882e+006,+7.41688e+006,+3.29545e+006,+7.43607e+006,+3.32752e+006
2000-07-10 22:14:00 MDT,+1.57569e+006,+712562,+1.5542e+006,+700782,+1.57502e+006,+687934,+7.4011e+006,+3.33046e+006,+7.41426e+006,+3.29677e+006,+7.43629e+006,+3.32468e+006
2000-07-10 22:15:00 MDT,+1.57079e+006,+710438,+1.54649e+006,+704069,+1.56413e+006,+686044,+7.39517e+006,+3.33831e+006,+7.3956e+006,+3.29578e+006,+7.43216e+006,+3.31692e+006
2000-07-10 22:16:00 MDT,+1.54971e+006,+695672,+1.53177e+006,+689700,+1.54584e+006,+676978,+7.28772e+006,+3.27533e+006,+7.29779e+006,+3.23216e+006,+7.32984e+006,+3.26193e+006
2000-07-10 22:17:00 MDT,+1.55866e+006,+692731,+1.5441e+006,+691291,+1.55259e+006,+679240,+7.33003e+006,+3.2784e+006,+7.31494e+006,+3.24519e+006,+7.35109e+006,+3.24826e+006
2000-07-10 22:18:00 MDT,+1.57391e+006,+685841,+1.55332e+006,+702066,+1.54958e+006,+675942,+7.38757e+006,+3.27687e+006,+7.36072e+006,+3.25662e+006,+7.39178e+006,+3.24296e+006
2000-07-10 22:19:00 MDT,+1.58924e+006,+691891,+1.55846e+006,+702402,+1.56479e+006,+670324,+7.43012e+006,+3.28837e+006,+7.39012e+006,+3.25486e+006,+7.43937e+006,+3.2365e+006
2000-07-10 22:20:00 MDT,+1.59141e+006,+696408,+1.56351e+006,+696734,+1.57717e+006,+672245,+7.43727e+006,+3.29019e+006,+7.42616e+006,+3.2384e+006,+7.47654e+006,+3.25421e+006
2000-07-10 22:21:00 MDT,+1.58989e+006,+699769,+1.56272e+006,+688104,+1.58638e+006,+670201,+7.44805e+006,+3.28324e+006,+7.4385e+006,+3.22209e+006,+7.49618e+006,+3.24371e+006
2000-07-10 22:22:00 MDT,+1.58167e+006,+698333,+1.56832e+006,+681516,+1.58951e+006,+678134,+7.43053e+006,+3.28099e+006,+7.4381e+006,+3.21368e+006,+7.49239e+006,+3.25309e+006
2000-07-10 22:23:00 MDT,+1.5787e+006,+691927,+1.58193e+006,+678389,+1.592e+006,+687764,+7.41947e+006,+3.27246e+006,+7.43866e+006,+3.21476e+006,+7.47887e+006,+3.2596e+006
2000-07-10 22:24:00 MDT,+1.5824e+006,+686073,+1.58284e+006,+685781,+1.58281e+006,+686106,+7.38714e+006,+3.26396e+006,+7.42965e+006,+3.20849e+006,+7.45615e+006,+3.27237e+006
2000-07-10 22:25:00 MDT,+1.58824e+006,+689820,+1.56837e+006,+693630,+1.57497e+006,+674319,+7.3975e+006,+3.26634e+006,+7.40351e+006,+3.22645e+006,+7.43489e+006,+3.25094e+006
2000-07-10 22:26:00 MDT,+1.57759e+006,+689393,+1.55825e+006,+693161,+1.56465e+006,+674371,+7.36006e+006,+3.27105e+006,+7.35025e+006,+3.22817e+006,+7.39226e+006,+3.24064e+006
2000-07-10 22:27:00 MDT,+1.5804e+006,+698910,+1.55211e+006,+689020,+1.57479e+006,+669312,+7.34861e+006,+3.2694e+006,+7.32821e+006,+3.23478e+006,+7.36829e+006,+3.23399e+006
2000-07-10 22:28:00 MDT,+1.56176e+006,+693234,+1.54473e+006,+687283,+1.55836e+006,+675399,+7.30541e+006,+3.24939e+006,+7.30299e+006,+3.24184e+006,+7.31058e+006,+3.24332e+006
2000-07-10 22:29:00 MDT,+1.54365e+006,+688078,+1.53425e+006,+687275,+1.53957e+006,+679406,+7.27295e+006,+3.25029e+006,+7.27822e+006,+3.23513e+006,+7.28835e+006,+3.24691e+006
2000-07-10 22:30:00 MDT,+1.54291e+006,+697128,+1.50878e+006,+691887,+1.53034e+006,+664816,+7.27164e+006,+3.27055e+006,+7.24577e+006,+3.23221e+006,+7.29176e+006,+3.22864e+006
2000-07-10 22:31:00 MDT,+1.50918e+006,+675003,+1.4973e+006,+670470,+1.5071e+006,+662249,+7.15402e+006,+3.19565e+006,+7.1677e+006,+3.14066e+006,+7.20819e+006,+3.17932e+006
2000-07-10 22:32:00 MDT,+1.51899e+006,+675837,+1.50737e+006,+670035,+1.51813e+006,+662703,+7.15361e+006,+3.18364e+006,+7.19369e+006,+3.13776e+006,+7.21304e+006,+3.19487e+006
2000-07-10 22:33:00 MDT,+1.52965e+006,+674672,+1.51714e+006,+672225,+1.52549e+006,+662435,+7.16419e+006,+3.19576e+006,+7.17759e+006,+3.14114e+006,+7.2181e+006,+3.17952e+006
2000-07-10 22:34:00 MDT,+1.53408e+006,+681540,+1.51003e+006,+671903,+1.53038e+006,+655724,+7.1866e+006,+3.19867e+006,+7.17354e+006,+3.15371e+006,+7.21897e+006,+3.16436e+006
2000-07-10 22:35:00 MDT,+1.53677e+006,+681263,+1.5128e+006,+672341,+1.53246e+006,+655880,+7.18823e+006,+3.19627e+006,+7.17687e+006,+3.15513e+006,+7.21797e+006,+3.16535e+006
2000-07-10 22:36:00 MDT,+1.53793e+006,+678422,+1.50589e+006,+679618,+1.52084e+006,+651136,+7.20451e+006,+3.19077e+006,+7.16939e+006,+3.17414e+006,+7.20124e+006,+3.1517e+006
2000-07-10 22:37:00 MDT,+1.5521e+006,+671673,+1.52328e+006,+685265,+1.52588e+006,+653406,+7.22472e+006,+3.17796e+006,+7.21119e+006,+3.17615e+006,+7.21938e+006,+3.16515e+006
2000-07-10 22:38:00 MDT,+1.54713e+006,+675065,+1.52514e+006,+677981,+1.53358e+006,+657370,+7.24266e+006,+3.18859e+006,+7.23296e+006,+3.16481e+006,+7.25825e+006,+3.16808e+006
2000-07-10 22:39:00 MDT,+1.54959e+006,+677997,+1.52658e+006,+675702,+1.54009e+006,+656770,+7.30472e+006,+3.19886e+006,+7.28265e+006,+3.1652e+006,+7.32293e+006,+3.1625e+006
2000-07-10 22:40:00 MDT,+1.55406e+006,+661632,+1.55546e+006,+678397,+1.54026e+006,+671089,+7.31764e+006,+3.19304e+006,+7.30168e+006,+3.16789e+006,+7.33151e+006,+3.16631e+006
2000-07-10 22:41:00 MDT,+1.558e+006,+666342,+1.54987e+006,+674337,+1.54694e+006,+663081,+7.29147e+006,+3.18271e+006,+7.31587e+006,+3.13145e+006,+7.34772e+006,+3.17747e+006
2000-07-10 22:42:00 MDT,+1.54752e+006,+676344,+1.54184e+006,+662762,+1.55634e+006,+664373,+7.28421e+006,+3.17999e+006,+7.32842e+006,+3.12316e+006,+7.35506e+006,+3.18892e+006
2000-07-10 22:43:00 MDT,+1.55329e+006,+687667,+1.53803e+006,+657197,+1.57202e+006,+659003,+7.31049e+006,+3.21044e+006,+7.30691e+006,+3.12097e+006,+7.38609e+006,+3.16181e+006
2000-07-10 22:44:00 MDT,+1.551e+006,+685207,+1.53358e+006,+660583,+1.56358e+006,+657627,+7.27978e+006,+3.20372e+006,+7.28475e+006,+3.12093e+006,+7.3538e+006,+3.16605e+006
2000-07-10 22:45:00 MDT,+1.55923e+006,+680161,+1.53425e+006,+670161,+1.55537e+006,+653343,+7.2851e+006,+3.19129e+006,+7.2837e+006,+3.13679e+006,+7.3315e+006,+3.16226e+006
2000-07-10 22:46:00 MDT,+1.55031e+006,+666056,+1.5241e+006,+660023,+1.54244e+006,+640220,+7.1786e+006,+3.12722e+006,+7.16093e+006,+3.08845e+006,+7.20345e+006,+3.09224e+006
2000-07-10 22:47:00 MDT,+1.5361e+006,+654923,+1.51353e+006,+668069,+1.51342e+006,+641867,+7.14083e+006,+3.11461e+006,+7.10876e+006,+3.106e+006,+7.1322e+006,+3.08243e+006
2000-07-10 22:48:00 MDT,+1.51719e+006,+655097,+1.49166e+006,+668723,+1.4926e+006,+639664,+7.09056e+006,+3.10759e+006,+7.07519e+006,+3.10133e+006,+7.08818e+006,+3.09079e+006
2000-07-10 22:49:00 MDT,+1.49623e+006,+661215,+1.47507e+006,+659276,+1.48728e+006,+641727,+7.04562e+006,+3.11635e+006,+7.05204e+006,+3.07885e+006,+7.08109e+006,+3.1025e+006
2000-07-10 22:50:00 MDT,+1.49431e+006,+665367,+1.47377e+006,+654814,+1.49314e+006,+642132,+7.02193e+006,+3.11956e+006,+7.03059e+006,+3.07311e+006,+7.06635e+006,+3.10325e+006
2000-07-10 22:51:00 MDT,+1.50101e+006,+658882,+1.48318e+006,+654764,+1.4956e+006,+641223,+7.04182e+006,+3.098e+006,+7.03559e+006,+3.07902e+006,+7.05491e+006,+3.08261e+006
2000-07-10 22:52:00 MDT,+1.50568e+006,+654628,+1.50662e+006,+648963,+1.511e+006,+652450,+7.06325e+006,+3.10155e+006,+7.08555e+006,+3.06114e+006,+7.10915e+006,+3.10017e+006
2000-07-10 22:53:00 MDT,+1.48868e+006,+659225,+1.49252e+006,+641937,+1.50552e+006,+653772,+7.05576e+006,+3.1066e+006,+7.0819e+006,+3.05369e+006,+7.1144e+006,+3.10238e+006
2000-07-10 22:54:00 MDT,+1.50402e+006,+653936,+1.49112e+006,+656977,+1.49494e+006,+644159,+7.07855e+006,+3.10825e+006,+7.07265e+006,+3.07054e+006,+7.1083e+006,+3.08399e+006
2000-07-10 22:55:00 MDT,+1.52807e+006,+659808,+1.48677e+006,+667961,+1.50032e+006,+627997,+7.09438e+006,+3.10949e+006,+7.05832e+006,+3.08648e+006,+7.09615e+006,+3.06647e+006
2000-07-10 22:56:00 MDT,+1.50186e+006,+661609,+1.47082e+006,+659273,+1.48832e+006,+633432,+7.07588e+006,+3.10808e+006,+7.05915e+006,+3.07667e+006,+7.09455e+006,+3.07753e+006
2000-07-10 22:57:00 MDT,+1.50256e+006,+662929,+1.47932e+006,+654035,+1.49856e+006,+638162,+7.08071e+006,+3.11288e+006,+7.08507e+006,+3.06127e+006,+7.12725e+006,+3.09019e+006
2000-07-10 22:58:00 MDT,+1.51939e+006,+653545,+1.50773e+006,+657627,+1.50999e+006,+645319,+7.12832e+006,+3.1016e+006,+7.13768e+006,+3.07184e+006,+7.15862e+006,+3.09431e+006
2000-07-10 22:59:00 MDT,+1.52628e+006,+657376,+1.51021e+006,+656606,+1.51891e+006,+642889,+7.15905e+006,+3.11468e+006,+7.14702e+006,+3.07263e+006,+7.18944e+006,+3.08264e+006
2000-07-10 23:00:00 MDT,+1.54887e+006,+654618,+1.51672e+006,+668967,+1.52036e+006,+633822,+7.20388e+006,+3.114e+006,+7.17351e+006,+3.08524e+006,+7.21359e+006,+3.07299e+006
2000-07-10 23:01:00 MDT,+1.51886e+006,+640730,+1.49969e+006,+644053,+1.50636e+006,+625572,+7.06898e+006,+3.03852e+006,+7.08599e+006,+2.98465e+006,+7.12398e+006,+3.02555e+006
