# file...... line_trans_node_5_to_trans_node_4_at_inter_power.csv
# date...... Sat Sep 26 23:35:38 2009
# user...... glduser
# host...... (null)
# target.... overhead_line 33954
# trigger... (none)
# interval.. 60
# limit..... 2880
# timestamp,power_in_A.real,power_in_A.imag,power_in_B.real,power_in_B.imag,power_in_C.real,power_in_C.imag,power_out_A.real,power_out_A.imag,power_out_B.real,power_out_B.imag,power_out_C.real,power_out_C.imag
2000-07-10 22:24:00 MDT,+5.80655e+006,+2.58529e+006,+5.84906e+006,+2.53037e+006,+5.87596e+006,+2.59381e+006,+5.80549e+006,+2.58183e+006,+5.84836e+006,+2.52667e+006,+5.8745e+006,+2.59006e+006
2000-07-10 22:25:00 MDT,+5.81108e+006,+2.58394e+006,+5.83737e+006,+2.54046e+006,+5.86253e+006,+2.58413e+006,+5.81001e+006,+2.58047e+006,+5.83668e+006,+2.53677e+006,+5.86108e+006,+2.58039e+006
2000-07-10 22:26:00 MDT,+5.78427e+006,+2.58902e+006,+5.7942e+006,+2.54256e+006,+5.83019e+006,+2.57369e+006,+5.78321e+006,+2.58558e+006,+5.79352e+006,+2.53891e+006,+5.82876e+006,+2.56999e+006
2000-07-10 22:27:00 MDT,+5.77e+006,+2.57782e+006,+5.7783e+006,+2.55328e+006,+5.79606e+006,+2.57203e+006,+5.76895e+006,+2.57439e+006,+5.77761e+006,+2.54965e+006,+5.79464e+006,+2.56837e+006
2000-07-10 22:28:00 MDT,+5.74541e+006,+2.56341e+006,+5.76046e+006,+2.56205e+006,+5.75474e+006,+2.57519e+006,+5.74437e+006,+2.56002e+006,+5.75977e+006,+2.55843e+006,+5.75334e+006,+2.57157e+006
2000-07-10 22:29:00 MDT,+5.73107e+006,+2.56944e+006,+5.74615e+006,+2.55531e+006,+5.75131e+006,+2.57476e+006,+5.73003e+006,+2.56606e+006,+5.74547e+006,+2.55171e+006,+5.7499e+006,+2.57115e+006
2000-07-10 22:30:00 MDT,+5.7305e+006,+2.58066e+006,+5.73917e+006,+2.54775e+006,+5.76395e+006,+2.5711e+006,+5.72946e+006,+2.57728e+006,+5.73849e+006,+2.54416e+006,+5.76254e+006,+2.56747e+006
2000-07-10 22:31:00 MDT,+5.64655e+006,+2.52766e+006,+5.67251e+006,+2.47741e+006,+5.70355e+006,+2.52418e+006,+5.64555e+006,+2.52438e+006,+5.67185e+006,+2.47392e+006,+5.70218e+006,+2.52064e+006
2000-07-10 22:32:00 MDT,+5.63632e+006,+2.51478e+006,+5.68844e+006,+2.47497e+006,+5.69738e+006,+2.53927e+006,+5.63532e+006,+2.51152e+006,+5.68778e+006,+2.47147e+006,+5.696e+006,+2.53573e+006
2000-07-10 22:33:00 MDT,+5.63625e+006,+2.52808e+006,+5.66257e+006,+2.47611e+006,+5.69507e+006,+2.52418e+006,+5.63524e+006,+2.52481e+006,+5.66191e+006,+2.47264e+006,+5.6937e+006,+2.52065e+006
