$state_name=Virginia
$city_name=Charlottesville
$lat_deg=38.090
$long_deg=-78.460
$elevation=148
$timezone_offset=-75.0
temperature,humidity,solar_direct,solar_diffuse,pressure,wind_speed
1:4:17:0:0,58.280,61.580,83.334,6.039,1003.000,1.118
1:4:18:0:0,59.360,62.566,79.339,6.410,1002.000,0.895
1:4:19:0:0,58.640,69.621,74.230,5.667,1002.000,0.895
1:4:20:0:0,55.040,86.483,25.270,8.454,1002.000,0.671
1:4:21:0:0,50.360,100.000,35.953,2.694,1002.000,0.447
1:4:22:0:0,49.100,100.000,0.000,0.000,1002.000,0.447
1:4:23:0:0,49.640,100.000,0.000,0.000,1003.000,0.671
1:5:0:0:0,50.360,100.000,0.000,0.000,1002.000,0.447
1:5:1:0:0,50.720,100.000,0.000,0.000,1002.000,0.447
1:5:2:0:0,51.080,100.000,0.000,0.000,1001.000,0.447
1:5:3:0:0,51.440,100.000,0.000,0.000,1000.000,0.671
1:5:4:0:0,51.620,100.000,0.000,0.000,1000.000,0.671
1:5:5:0:0,51.620,100.000,0.000,0.000,999.000,0.671
1:5:6:0:0,51.980,98.681,0.000,0.000,999.000,0.671
1:5:7:0:0,52.520,98.684,0.000,0.000,998.000,0.671
1:5:8:0:0,52.340,100.000,0.000,0.000,998.000,0.671
1:5:9:0:0,52.160,99.339,0.000,0.000,998.000,0.447
1:5:10:0:0,52.700,97.386,0.000,0.000,998.000,0.671
1:5:11:0:0,53.060,98.037,0.000,0.000,998.000,0.671
1:5:12:0:0,53.420,96.752,0.000,0.000,998.000,0.447
1:5:13:0:0,54.320,95.496,0.000,1.208,998.000,0.447
1:5:14:0:0,55.580,94.895,0.000,7.339,998.000,0.671
1:5:15:0:0,57.020,93.083,0.000,10.684,997.000,0.671
1:5:16:0:0,58.100,93.114,0.000,7.525,996.000,0.895
1:5:17:0:0,59.360,92.548,3.623,18.488,995.000,0.895
1:5:18:0:0,60.260,93.176,0.000,11.520,995.000,0.895
1:5:19:0:0,60.440,94.999,0.000,1.951,994.000,0.671
1:5:20:0:0,59.720,98.092,1.765,8.733,994.000,0.671
1:5:21:0:0,58.820,99.358,0.000,1.486,994.000,0.671
1:5:22:0:0,58.640,98.719,0.000,0.000,994.000,0.671
1:5:23:0:0,58.640,98.719,0.000,0.000,994.000,0.671
1:6:0:0:0,58.640,98.719,0.000,0.000,994.000,0.671
1:6:1:0:0,58.820,98.720,0.000,0.000,993.000,0.671
1:6:2:0:0,59.180,98.088,0.000,0.000,993.000,0.895
1:6:3:0:0,60.440,96.228,0.000,0.000,992.000,1.118
1:6:4:0:0,61.340,97.481,0.000,0.000,991.000,1.118
1:6:5:0:0,61.880,98.110,0.000,0.000,991.000,1.342
1:6:6:0:0,62.060,98.737,0.000,0.000,991.000,1.342
1:6:7:0:0,61.880,98.736,0.000,0.000,990.000,1.118
1:6:8:0:0,60.980,100.000,0.000,0.000,990.000,0.895
1:6:9:0:0,59.540,100.000,0.000,0.000,990.000,0.671
1:6:10:0:0,58.280,100.000,0.000,0.000,991.000,0.671
1:6:11:0:0,57.200,100.000,0.000,0.000,991.000,0.671
1:6:12:0:0,56.840,98.069,0.000,0.000,992.000,0.671
1:6:13:0:0,58.280,93.119,55.649,3.345,993.000,0.895
1:6:14:0:0,60.620,86.783,72.557,4.738,993.000,1.342
1:6:15:0:0,63.140,74.871,79.618,5.574,994.000,1.566
1:6:16:0:0,64.940,66.705,82.126,6.132,993.000,1.566
1:6:17:0:0,65.840,64.225,82.405,6.410,993.000,1.566
1:6:18:0:0,65.840,64.225,80.919,6.225,993.000,1.566
1:6:19:0:0,64.580,67.548,75.809,5.853,994.000,1.566
1:6:20:0:0,61.340,76.193,64.939,4.831,995.000,1.118
1:6:21:0:0,57.200,85.464,40.320,2.787,996.000,0.895
1:6:22:0:0,54.320,87.605,0.000,0.000,997.000,0.895
1:6:23:0:0,53.060,86.374,0.000,0.000,998.000,0.671
1:7:0:0:0,49.820,92.245,0.000,0.000,1000.000,0.671
1:7:1:0:0,48.200,94.732,0.000,0.000,1001.000,0.447
1:7:2:0:0,46.940,96.660,0.000,0.000,1001.000,0.447
1:7:3:0:0,46.040,97.309,0.000,0.000,1002.000,0.447
1:7:4:0:0,44.960,99.318,0.000,0.000,1002.000,0.447
1:7:5:0:0,44.060,100.000,0.000,0.000,1003.000,0.447
1:7:6:0:0,43.160,100.000,0.000,0.000,1004.000,0.447
1:7:7:0:0,42.440,100.000,0.000,0.000,1004.000,0.447
1:7:8:0:0,41.720,100.000,0.000,0.000,1005.000,0.447
1:7:9:0:0,41.180,99.306,0.000,0.000,1006.000,0.447
1:7:10:0:0,40.460,100.000,0.000,0.000,1007.000,0.447
1:7:11:0:0,39.740,99.302,0.000,0.000,1007.000,0.447
1:7:12:0:0,41.900,90.064,0.000,0.000,1008.000,0.447
1:7:13:0:0,45.680,82.441,6.503,5.388,1009.000,0.671
1:7:14:0:0,48.380,74.471,32.981,9.755,1009.000,0.895
1:7:15:0:0,50.180,68.672,4.831,15.701,1008.000,1.118
1:7:16:0:0,51.260,66.906,4.552,18.395,1006.000,1.118
1:7:17:0:0,51.620,68.360,3.066,18.302,1004.000,1.342
1:7:18:0:0,51.800,71.281,0.000,8.919,1002.000,1.342
1:7:19:0:0,51.440,76.850,2.601,13.657,1001.000,1.342
1:7:20:0:0,50.540,83.918,0.000,1.022,1000.000,1.342
1:7:21:0:0,49.100,90.978,0.000,1.022,1000.000,1.342
1:7:22:0:0,48.740,93.469,0.000,0.000,1000.000,1.342
1:7:23:0:0,48.740,94.105,0.000,0.000,999.000,1.342
1:8:0:0:0,49.280,94.118,0.000,0.000,998.000,1.342
1:8:1:0:0,49.820,94.769,0.000,0.000,996.000,1.118
1:8:2:0:0,50.000,96.704,0.000,0.000,994.000,0.895
1:8:3:0:0,50.720,94.789,0.000,0.000,991.000,0.671
1:8:4:0:0,52.880,92.344,0.000,0.000,990.000,1.118
1:8:5:0:0,55.580,93.656,0.000,0.000,988.000,1.342
1:8:6:0:0,57.740,94.942,0.000,0.000,987.000,1.566
1:8:7:0:0,58.820,96.826,0.000,0.000,987.000,1.118
1:8:8:0:0,58.460,99.357,0.000,0.000,986.000,1.118
1:8:9:0:0,57.020,100.000,0.000,0.000,986.000,1.118
1:8:10:0:0,53.960,100.000,0.000,0.000,987.000,1.342
1:8:11:0:0,49.280,100.000,0.000,0.000,989.000,1.342
1:8:12:0:0,45.680,92.743,0.000,0.000,990.000,1.342
1:8:13:0:0,44.780,87.716,0.000,1.486,991.000,1.566
1:8:14:0:0,45.860,80.746,0.000,1.394,991.000,1.790
1:8:15:0:0,48.020,70.874,0.000,6.968,991.000,2.013
1:8:16:0:0,49.640,60.860,85.099,6.596,990.000,2.013
1:8:17:0:0,50.000,52.418,86.400,6.503,990.000,2.237
1:8:18:0:0,48.740,49.274,85.006,6.225,991.000,2.237
1:8:19:0:0,46.400,49.999,80.919,5.574,992.000,2.013
1:8:20:0:0,43.160,53.311,72.371,4.552,993.000,1.790
1:8:21:0:0,39.380,58.567,49.332,2.694,995.000,1.566
1:8:22:0:0,36.680,62.719,0.000,0.000,996.000,1.118
1:8:23:0:0,35.600,64.000,0.000,0.000,997.000,1.118
1:9:0:0:0,33.080,70.763,0.000,0.000,998.000,0.671
1:9:1:0:0,31.280,77.811,0.000,0.000,998.000,0.671
1:9:2:0:0,29.840,82.490,0.000,0.000,998.000,0.671
1:9:3:0:0,28.580,86.194,0.000,0.000,998.000,0.447
1:9:4:0:0,28.040,86.812,0.000,0.000,998.000,0.447
1:9:5:0:0,28.040,85.518,0.000,0.000,998.000,0.447
1:9:6:0:0,28.400,84.900,0.000,0.000,997.000,0.671
1:9:7:0:0,27.500,88.095,0.000,0.000,997.000,0.671
