$state_name=Virginia
$city_name=Charlottesville
$lat_deg=38.090
$long_deg=-78.460
$elevation=148
$timezone_offset=-75.0
temperature,humidity,solar_direct,solar_diffuse,pressure,wind_speed
3:12:16:0:0,47.660,34.546,93.368,7.525,998.000,1.790
3:12:17:0:0,49.280,34.034,93.460,7.525,998.000,1.790
3:12:18:0:0,50.000,34.937,92.253,7.618,997.000,1.790
3:12:19:0:0,49.820,37.353,88.908,7.339,997.000,1.566
3:12:20:0:0,48.560,41.872,83.891,6.596,997.000,1.566
3:12:21:0:0,45.320,51.703,74.137,5.481,998.000,1.118
3:12:22:0:0,39.560,76.857,51.840,3.530,999.000,0.671
3:12:23:0:0,36.320,81.166,0.000,0.000,999.000,0.671
3:13:0:0:0,34.340,82.210,0.000,0.000,1000.000,0.671
3:13:1:0:0,33.080,81.513,0.000,0.000,1001.000,0.671
3:13:2:0:0,31.640,83.236,0.000,0.000,1002.000,0.671
3:13:3:0:0,30.020,86.279,0.000,0.000,1002.000,0.671
3:13:4:0:0,28.580,88.151,0.000,0.000,1003.000,0.895
3:13:5:0:0,27.500,87.436,0.000,0.000,1004.000,0.895
3:13:6:0:0,26.600,86.729,0.000,0.000,1004.000,0.895
3:13:7:0:0,25.700,86.022,0.000,0.000,1005.000,0.895
3:13:8:0:0,24.980,85.326,0.000,0.000,1005.000,0.671
3:13:9:0:0,24.260,85.935,0.000,0.000,1007.000,0.671
3:13:10:0:0,24.440,83.997,0.000,0.000,1008.000,0.671
3:13:11:0:0,27.500,75.138,0.000,0.000,1009.000,0.895
3:13:12:0:0,32.000,61.141,56.113,4.738,1010.000,1.118
3:13:13:0:0,35.600,50.564,75.066,6.875,1010.000,1.342
3:13:14:0:0,39.200,44.572,84.542,7.897,1011.000,1.342
3:13:15:0:0,42.620,40.264,90.395,8.083,1011.000,1.342
3:13:16:0:0,45.860,36.972,92.531,8.454,1010.000,1.118
3:13:17:0:0,48.560,34.961,93.089,8.640,1010.000,1.118
3:13:18:0:0,50.180,34.183,91.881,8.175,1010.000,0.895
3:13:19:0:0,50.720,34.794,89.373,7.711,1010.000,0.671
3:13:20:0:0,50.000,37.663,84.263,6.968,1010.000,0.671
3:13:21:0:0,46.040,49.575,74.137,5.853,1010.000,0.671
3:13:22:0:0,39.200,85.573,51.190,3.809,1011.000,0.895
3:13:23:0:0,35.780,78.786,0.000,0.000,1011.000,1.342
3:14:0:0:0,33.080,83.953,0.000,0.000,1012.000,0.895
3:14:1:0:0,31.820,84.491,0.000,0.000,1012.000,0.895
3:14:2:0:0,31.280,83.211,0.000,0.000,1012.000,0.895
3:14:3:0:0,31.280,83.831,0.000,0.000,1012.000,1.118
3:14:4:0:0,31.460,81.389,0.000,0.000,1012.000,1.566
3:14:5:0:0,31.640,80.200,0.000,0.000,1012.000,1.790
3:14:6:0:0,31.640,82.010,0.000,0.000,1012.000,1.566
3:14:7:0:0,31.280,85.716,0.000,0.000,1012.000,1.342
3:14:8:0:0,31.100,88.933,0.000,0.000,1012.000,1.118
3:14:9:0:0,31.100,90.254,0.000,0.000,1012.000,0.671
3:14:10:0:0,31.280,90.262,0.000,0.000,1012.000,0.671
3:14:11:0:0,32.900,86.447,0.000,0.000,1012.000,0.671
3:14:12:0:0,36.320,77.687,0.000,5.853,1012.000,1.118
3:14:13:0:0,41.360,65.698,0.000,10.777,1012.000,1.342
3:14:14:0:0,46.580,54.222,4.831,21.275,1011.000,1.790
3:14:15:0:0,50.900,47.847,1.672,22.297,1010.000,2.013
3:14:16:0:0,53.960,45.302,85.564,9.569,1009.000,2.013
3:14:17:0:0,56.120,44.677,86.679,9.383,1007.000,2.013
3:14:18:0:0,57.560,45.549,81.755,11.148,1006.000,2.013
3:14:19:0:0,57.920,48.258,78.039,10.684,1005.000,2.013
3:14:20:0:0,56.840,53.816,71.721,9.662,1004.000,1.790
3:14:21:0:0,54.320,63.655,34.746,11.055,1004.000,1.342
3:14:22:0:0,51.620,72.753,0.000,1.301,1004.000,1.342
3:14:23:0:0,50.540,75.198,0.000,0.000,1004.000,1.342
3:15:0:0:0,48.740,80.410,0.000,0.000,1004.000,1.342
3:15:1:0:0,48.200,83.190,0.000,0.000,1003.000,1.342
3:15:2:0:0,48.020,84.332,0.000,0.000,1003.000,1.118
3:15:3:0:0,48.380,84.937,0.000,0.000,1003.000,1.118
3:15:4:0:0,48.380,87.299,0.000,0.000,1003.000,0.895
3:15:5:0:0,48.380,89.718,0.000,0.000,1003.000,0.895
3:15:6:0:0,47.840,92.810,0.000,0.000,1003.000,0.895
3:15:7:0:0,46.220,95.991,0.000,0.000,1004.000,0.671
3:15:8:0:0,43.520,99.314,0.000,0.000,1004.000,0.671
3:15:9:0:0,40.820,100.000,0.000,0.000,1004.000,0.671
3:15:10:0:0,39.200,97.914,0.000,0.000,1005.000,0.671
3:15:11:0:0,41.180,85.691,0.000,0.000,1005.000,0.671
3:15:12:0:0,45.680,73.684,20.810,6.875,1006.000,0.895
3:15:13:0:0,49.280,57.438,9.104,15.329,1006.000,1.342
3:15:14:0:0,52.520,45.399,47.473,16.908,1006.000,1.342
3:15:15:0:0,55.940,38.926,85.378,10.034,1005.000,1.342
3:15:16:0:0,59.000,35.122,87.886,10.405,1005.000,1.118
3:15:17:0:0,61.160,33.001,88.908,10.312,1004.000,0.895
3:15:18:0:0,62.420,32.258,87.793,9.755,1003.000,0.895
3:15:19:0:0,62.600,32.995,85.935,8.826,1003.000,0.671
3:15:20:0:0,62.420,34.422,64.196,10.405,1003.000,0.447
3:15:21:0:0,60.260,42.247,46.637,9.290,1003.000,0.671
3:15:22:0:0,54.500,54.230,0.000,4.552,1003.000,1.342
3:15:23:0:0,51.080,56.076,0.000,0.000,1003.000,2.013
3:16:0:0:0,45.140,75.208,0.000,0.000,1003.000,1.118
3:16:1:0:0,44.240,82.918,0.000,0.000,1003.000,0.671
3:16:2:0:0,43.880,85.252,0.000,0.000,1003.000,0.671
3:16:3:0:0,43.520,88.265,0.000,0.000,1003.000,0.447
3:16:4:0:0,43.160,91.383,0.000,0.000,1002.000,0.671
3:16:5:0:0,42.980,92.659,0.000,0.000,1001.000,0.671
3:16:6:0:0,42.800,93.952,0.000,0.000,1000.000,0.671
3:16:7:0:0,42.080,97.262,0.000,0.000,1000.000,0.671
3:16:8:0:0,41.540,95.909,0.000,0.000,999.000,0.895
3:16:9:0:0,41.540,95.909,0.000,0.000,998.000,0.895
3:16:10:0:0,40.820,97.247,0.000,0.000,998.000,1.118
3:16:11:0:0,40.100,95.883,0.000,0.000,997.000,1.118
3:16:12:0:0,39.920,93.216,0.000,3.159,997.000,1.342
3:16:13:0:0,40.460,91.283,0.000,8.733,996.000,1.342
3:16:14:0:0,41.180,90.034,0.000,9.848,994.000,1.342
3:16:15:0:0,41.180,90.670,0.000,7.154,993.000,1.342
3:16:16:0:0,40.820,90.655,0.000,13.843,992.000,1.342
3:16:17:0:0,40.820,88.131,0.000,7.990,991.000,1.118
3:16:18:0:0,40.460,87.491,0.000,6.968,990.000,1.118
3:16:19:0:0,39.920,87.463,0.000,9.290,990.000,0.895
3:16:20:0:0,38.840,89.295,0.000,4.552,990.000,0.895
3:16:21:0:0,37.580,90.524,0.000,8.547,990.000,0.895
3:16:22:0:0,35.780,94.439,25.270,6.225,991.000,0.671
3:16:23:0:0,34.520,95.780,0.000,0.000,991.000,0.671
3:17:0:0:0,33.080,99.281,0.000,0.000,992.000,0.671
3:17:1:0:0,33.080,97.856,0.000,0.000,992.000,0.895
3:17:2:0:0,32.720,97.852,0.000,0.000,993.000,0.895
3:17:3:0:0,32.000,98.559,0.000,0.000,993.000,0.671
3:17:4:0:0,30.920,99.274,0.000,0.000,993.000,0.895
3:17:5:0:0,30.200,98.547,0.000,0.000,993.000,0.895
3:17:6:0:0,30.020,95.694,0.000,0.000,993.000,1.118
3:17:7:0:0,30.380,92.926,0.000,0.000,992.000,0.895
3:17:8:0:0,30.020,93.603,0.000,0.000,993.000,0.895
3:17:9:0:0,29.480,92.898,0.000,0.000,993.000,1.118
3:17:10:0:0,29.660,88.864,0.000,0.000,994.000,1.118
3:17:11:0:0,32.360,79.665,0.000,0.186,994.000,0.671
3:17:12:0:0,36.680,73.834,0.000,2.601,995.000,0.671
3:17:13:0:0,40.820,58.338,0.000,1.394,995.000,0.447
3:17:14:0:0,44.240,50.030,0.000,4.088,995.000,0.447
3:17:15:0:0,45.680,47.365,0.000,8.547,995.000,0.447
3:17:16:0:0,46.040,47.776,0.000,8.733,995.000,0.671
3:17:17:0:0,46.040,49.942,0.000,10.870,994.000,0.671
3:17:18:0:0,45.680,53.301,0.000,7.804,994.000,0.895
3:17:19:0:0,45.320,56.457,0.650,18.395,994.000,0.895
3:17:20:0:0,44.600,59.738,6.689,21.089,994.000,0.895
3:17:21:0:0,42.980,66.378,0.000,10.591,995.000,0.671
3:17:22:0:0,40.100,83.816,0.000,3.716,996.000,0.671
3:17:23:0:0,38.480,83.107,0.000,0.000,996.000,0.671
3:18:0:0:0,35.060,91.077,0.000,0.000,997.000,1.118
3:18:1:0:0,32.720,95.052,0.000,0.000,998.000,1.118
3:18:2:0:0,31.280,95.020,0.000,0.000,998.000,1.118
3:18:3:0:0,30.740,95.008,0.000,0.000,998.000,1.342
3:18:4:0:0,31.280,91.600,0.000,0.000,998.000,1.342
3:18:5:0:0,31.820,88.968,0.000,0.000,998.000,0.895
3:18:6:0:0,32.000,88.325,0.000,0.000,998.000,0.671
3:18:7:0:0,31.820,89.624,0.000,0.000,998.000,0.895
3:18:8:0:0,31.640,90.277,0.000,0.000,999.000,1.118
3:18:9:0:0,31.460,90.936,0.000,0.000,999.000,1.118
3:18:10:0:0,31.280,90.929,0.000,0.000,999.000,1.118
3:18:11:0:0,33.800,82.777,0.000,0.279,1000.000,0.671
3:18:12:0:0,39.200,76.824,0.000,4.459,1001.000,0.447
3:18:13:0:0,44.960,64.269,0.000,12.077,1001.000,0.671
3:18:14:0:0,49.640,54.285,2.880,20.717,1001.000,0.671
3:18:15:0:0,52.340,51.284,15.329,30.565,1000.000,0.895
3:18:16:0:0,53.600,51.844,13.378,34.653,1000.000,0.895
3:18:17:0:0,54.140,53.796,1.858,26.384,1000.000,0.895
3:18:18:0:0,53.960,57.692,1.022,21.554,999.000,0.671
3:18:19:0:0,52.880,63.472,4.645,26.199,999.000,0.671
3:18:20:0:0,50.720,74.184,57.414,15.515,999.000,0.447
3:18:21:0:0,48.380,87.898,0.000,4.088,999.000,0.447
3:18:22:0:0,46.220,95.337,0.000,2.508,1000.000,0.447
3:18:23:0:0,45.500,95.979,0.000,0.000,1000.000,0.447
3:19:0:0:0,43.520,100.000,0.000,0.000,1000.000,0.447
3:19:1:0:0,42.800,100.000,0.000,0.000,999.000,0.447
3:19:2:0:0,42.440,100.000,0.000,0.000,998.000,0.447
3:19:3:0:0,42.440,99.310,0.000,0.000,997.000,0.447
3:19:4:0:0,42.800,97.271,0.000,0.000,996.000,0.671
3:19:5:0:0,43.160,95.937,0.000,0.000,995.000,0.895
3:19:6:0:0,43.340,95.941,0.000,0.000,995.000,1.342
3:19:7:0:0,42.980,97.273,0.000,0.000,996.000,1.566
3:19:8:0:0,41.540,97.935,0.000,0.000,997.000,1.566
3:19:9:0:0,40.100,95.211,0.000,0.000,999.000,1.566
3:19:10:0:0,39.200,91.235,0.000,0.000,1001.000,1.566
3:19:11:0:0,39.740,83.792,9.569,1.486,1003.000,1.790
3:19:12:0:0,42.080,74.378,17.930,7.804,1005.000,2.013
3:19:13:0:0,44.780,64.246,66.426,9.569,1006.000,2.013
3:19:14:0:0,46.940,56.283,74.230,11.892,1007.000,1.790
3:19:15:0:0,48.740,51.849,82.591,11.520,1008.000,1.566
3:19:16:0:0,50.180,49.859,11.148,34.560,1008.000,1.342
3:19:17:0:0,51.440,47.932,47.381,26.942,1009.000,1.342
3:19:18:0:0,52.160,47.015,81.848,13.099,1009.000,1.118
3:19:19:0:0,52.160,47.015,78.782,12.263,1009.000,1.118
3:19:20:0:0,51.260,48.955,73.672,10.591,1010.000,1.118
3:19:21:0:0,48.200,56.874,64.289,8.361,1010.000,0.671
3:19:22:0:0,42.440,85.164,42.642,5.203,1011.000,0.447
3:19:23:0:0,38.840,88.031,0.000,0.000,1012.000,0.447
3:20:0:0:0,36.500,91.132,0.000,0.000,1013.000,0.447
3:20:1:0:0,35.240,91.744,0.000,0.000,1013.000,0.671
3:20:2:0:0,33.980,91.698,0.000,0.000,1013.000,0.895
3:20:3:0:0,32.720,95.052,0.000,0.000,1013.000,1.118
3:20:4:0:0,31.640,99.276,0.000,0.000,1013.000,1.342
3:20:5:0:0,30.740,100.000,0.000,0.000,1013.000,1.342
3:20:6:0:0,30.560,100.000,0.000,0.000,1013.000,1.118
3:20:7:0:0,31.460,100.000,0.000,0.000,1013.000,0.671
3:20:8:0:0,32.180,99.278,0.000,0.000,1012.000,0.447
3:20:9:0:0,32.000,99.277,0.000,0.000,1012.000,0.671
3:20:10:0:0,32.360,96.438,0.000,0.000,1012.000,0.895
3:20:11:0:0,33.980,90.376,8.547,1.579,1012.000,1.118
3:20:12:0:0,37.580,80.676,48.402,6.503,1012.000,1.342
3:20:13:0:0,42.800,69.795,67.912,8.547,1011.000,1.790
3:20:14:0:0,47.660,61.466,77.667,9.569,1010.000,2.013
3:20:15:0:0,51.980,56.606,83.334,9.848,1008.000,2.013
3:20:16:0:0,55.580,53.630,84.635,10.312,1006.000,2.013
3:20:17:0:0,58.460,52.572,84.356,10.777,1005.000,2.013
3:20:18:0:0,60.440,52.865,82.777,10.591,1003.000,2.013
3:20:19:0:0,61.340,55.222,78.039,10.498,1001.000,2.013
3:20:20:0:0,60.980,59.871,70.699,9.941,1000.000,1.790
3:20:21:0:0,59.360,67.852,30.472,12.542,998.000,1.790
3:20:22:0:0,57.200,75.819,36.604,5.295,997.000,1.566
3:20:23:0:0,56.120,79.896,0.000,0.000,996.000,1.566
3:21:0:0:0,55.940,83.148,0.000,0.000,994.000,1.790
3:21:1:0:0,55.940,86.532,0.000,0.000,993.000,2.013
3:21:2:0:0,56.300,88.286,0.000,0.000,992.000,2.013
3:21:3:0:0,57.200,88.912,0.000,0.000,991.000,1.566
3:21:4:0:0,57.200,91.278,0.000,0.000,990.000,1.342
3:21:5:0:0,56.300,94.911,0.000,0.000,990.000,1.118
3:21:6:0:0,54.500,96.767,0.000,0.000,991.000,1.118
3:21:7:0:0,52.160,94.190,0.000,0.000,991.000,1.342
3:21:8:0:0,49.460,88.553,0.000,0.000,992.000,1.342
3:21:9:0:0,46.580,84.240,0.000,0.000,993.000,1.566
3:21:10:0:0,44.240,79.494,0.000,0.000,994.000,1.342
3:21:11:0:0,43.880,71.946,0.000,1.394,995.000,1.566
3:21:12:0:0,45.140,63.831,60.944,5.110,995.000,1.790
3:21:13:0:0,46.760,53.076,37.161,13.843,996.000,2.013
3:21:14:0:0,48.020,48.091,84.820,8.083,996.000,2.237
3:21:15:0:0,48.920,45.151,58.064,19.417,996.000,2.237
3:21:16:0:0,49.280,43.896,48.031,26.384,996.000,2.237
3:21:17:0:0,49.100,43.223,18.302,36.511,996.000,2.237
3:21:18:0:0,48.380,43.426,15.608,34.560,996.000,2.237
3:21:19:0:0,47.300,43.573,38.183,25.363,996.000,2.237
3:21:20:0:0,45.500,45.606,1.486,18.023,997.000,2.013
3:21:21:0:0,42.800,49.432,30.008,12.728,998.000,1.790
3:21:22:0:0,39.560,55.608,51.190,4.552,999.000,1.342
3:21:23:0:0,37.940,60.135,0.000,0.000,999.000,1.118
3:22:0:0:0,35.060,67.375,0.000,0.000,1001.000,1.118
3:22:1:0:0,33.440,71.336,0.000,0.000,1002.000,0.895
3:22:2:0:0,32.360,72.839,0.000,0.000,1002.000,0.895
3:22:3:0:0,31.100,74.929,0.000,0.000,1002.000,0.671
3:22:4:0:0,30.020,75.959,0.000,0.000,1002.000,0.671
3:22:5:0:0,28.940,77.013,0.000,0.000,1002.000,0.671
3:22:6:0:0,28.040,76.929,0.000,0.000,1002.000,0.671
3:22:7:0:0,27.140,77.433,0.000,0.000,1002.000,0.895
3:22:8:0:0,26.240,78.544,0.000,0.000,1002.000,0.895
3:22:9:0:0,25.520,77.879,0.000,0.000,1003.000,0.895
3:22:10:0:0,25.340,76.085,0.000,0.000,1003.000,0.895
3:22:11:0:0,27.680,67.493,0.000,1.765,1004.000,1.118
3:22:12:0:0,30.920,56.014,48.867,5.481,1005.000,1.566
3:22:13:0:0,33.620,46.474,5.203,16.258,1005.000,1.566
3:22:14:0:0,36.140,40.423,61.223,13.564,1006.000,1.790
3:22:15:0:0,38.300,35.976,89.930,9.383,1006.000,1.790
3:22:16:0:0,39.740,33.743,91.509,10.034,1005.000,1.790
3:22:17:0:0,40.460,32.812,91.974,10.219,1005.000,1.790
3:22:18:0:0,40.460,33.335,90.302,9.755,1006.000,1.790
3:22:19:0:0,39.740,34.552,87.608,9.290,1006.000,1.566
3:22:20:0:0,38.300,37.129,82.219,8.454,1007.000,1.566
3:22:21:0:0,36.140,41.388,72.279,7.061,1007.000,1.342
3:22:22:0:0,31.820,53.180,51.654,4.645,1008.000,0.895
3:22:23:0:0,28.940,68.170,0.000,0.000,1009.000,0.447
3:23:0:0:0,25.700,77.896,0.000,0.000,1010.000,0.447
3:23:1:0:0,24.620,80.231,0.000,0.000,1011.000,0.447
3:23:2:0:0,23.900,81.417,0.000,0.000,1011.000,0.447
3:23:3:0:0,24.080,78.959,0.000,0.000,1011.000,0.895
3:23:4:0:0,24.980,74.307,0.000,0.000,1011.000,1.566
3:23:5:0:0,25.880,69.395,0.000,0.000,1011.000,1.790
3:23:6:0:0,26.240,67.313,0.000,0.000,1011.000,1.790
3:23:7:0:0,26.060,68.879,0.000,0.000,1011.000,1.790
3:23:8:0:0,25.700,71.008,0.000,0.000,1012.000,1.566
3:23:9:0:0,24.980,74.884,0.000,0.000,1012.000,1.342
3:23:10:0:0,25.160,75.483,0.000,0.000,1013.000,1.118
3:23:11:0:0,28.580,70.790,21.646,1.951,1013.000,0.671
3:23:12:0:0,33.980,51.091,63.731,5.481,1014.000,0.671
3:23:13:0:0,38.300,38.617,78.875,7.339,1014.000,0.671
3:23:14:0:0,41.720,33.286,85.471,8.547,1014.000,0.895
3:23:15:0:0,44.600,30.280,90.673,8.733,1013.000,0.895
3:23:16:0:0,46.940,29.044,92.903,9.012,1012.000,1.118
3:23:17:0:0,48.740,28.666,92.346,9.197,1011.000,1.118
3:23:18:0:0,50.000,29.095,91.138,9.197,1011.000,1.118
3:23:19:0:0,50.360,30.761,88.258,8.547,1010.000,1.118
3:23:20:0:0,49.460,35.646,83.613,7.618,1010.000,0.895
3:23:21:0:0,46.220,48.160,74.322,6.225,1010.000,0.671
3:23:22:0:0,39.920,75.243,54.906,4.274,1010.000,0.447
3:23:23:0:0,36.320,77.121,0.000,0.000,1010.000,0.671
3:24:0:0:0,34.700,79.859,0.000,0.000,1011.000,0.671
3:24:1:0:0,33.440,83.362,0.000,0.000,1012.000,0.671
3:24:2:0:0,32.360,86.416,0.000,0.000,1012.000,0.671
3:24:3:0:0,31.460,88.297,0.000,0.000,1012.000,0.671
3:24:4:0:0,30.920,88.925,0.000,0.000,1012.000,0.895
3:24:5:0:0,30.380,88.899,0.000,0.000,1012.000,1.118
3:24:6:0:0,30.020,88.881,0.000,0.000,1012.000,1.118
3:24:7:0:0,29.660,88.864,0.000,0.000,1012.000,1.118
3:24:8:0:0,29.480,88.197,0.000,0.000,1013.000,1.118
3:24:9:0:0,29.840,85.628,0.000,0.000,1013.000,1.118
3:24:10:0:0,30.920,80.742,0.000,0.000,1014.000,1.118
3:24:11:0:0,34.880,74.197,17.001,2.137,1014.000,0.671
3:24:12:0:0,40.280,69.508,55.370,6.132,1014.000,0.447
3:24:13:0:0,44.780,56.378,71.628,8.175,1015.000,0.447
3:24:14:0:0,50.180,48.432,80.175,9.104,1014.000,0.671
3:24:15:0:0,55.940,40.073,81.569,11.055,1014.000,0.895
3:24:16:0:0,59.900,35.525,55.742,24.062,1013.000,1.118
3:24:17:0:0,61.520,35.533,46.452,28.150,1013.000,1.342
3:24:18:0:0,62.060,37.448,14.028,34.932,1012.000,1.342
3:24:19:0:0,61.700,41.297,29.915,27.964,1011.000,1.342
3:24:20:0:0,60.440,46.980,34.932,19.974,1011.000,1.342
3:24:21:0:0,57.200,58.144,26.292,13.564,1011.000,0.895
3:24:22:0:0,52.520,74.360,0.000,0.465,1011.000,0.671
3:24:23:0:0,50.000,78.324,0.000,0.000,1011.000,0.671
3:25:0:0:0,47.300,84.286,0.000,0.000,1012.000,0.671
3:25:1:0:0,45.140,89.578,0.000,0.000,1013.000,0.671
3:25:2:0:0,43.700,93.326,0.000,0.000,1013.000,0.447
3:25:3:0:0,42.620,95.264,0.000,0.000,1013.000,0.447
3:25:4:0:0,41.720,96.583,0.000,0.000,1013.000,0.447
3:25:5:0:0,41.360,95.905,0.000,0.000,1013.000,0.447
3:25:6:0:0,41.000,96.572,0.000,0.000,1013.000,0.447
3:25:7:0:0,40.640,96.566,0.000,0.000,1013.000,0.447
3:25:8:0:0,40.280,96.561,0.000,0.000,1014.000,0.447
3:25:9:0:0,39.920,96.555,0.000,0.000,1014.000,0.447
3:25:10:0:0,40.100,95.211,0.000,0.000,1014.000,0.447
3:25:11:0:0,42.620,86.991,0.000,0.557,1015.000,0.447
3:25:12:0:0,47.480,75.431,19.881,8.919,1015.000,0.671
3:25:13:0:0,53.060,63.495,0.000,13.285,1015.000,0.671
3:25:14:0:0,58.820,54.106,73.579,10.963,1015.000,0.671
3:25:15:0:0,63.680,47.156,78.596,11.706,1015.000,0.671
3:25:16:0:0,66.920,43.305,81.569,11.892,1014.000,0.671
3:25:17:0:0,68.900,42.441,82.498,11.613,1013.000,0.895
3:25:18:0:0,69.620,43.728,80.268,11.984,1013.000,1.118
3:25:19:0:0,69.440,46.134,76.831,11.520,1012.000,1.118
3:25:20:0:0,68.180,50.836,69.770,10.870,1012.000,0.895
3:25:21:0:0,64.400,64.049,58.993,8.919,1012.000,0.671
3:25:22:0:0,58.460,88.969,11.055,6.596,1012.000,0.671
3:25:23:0:0,55.400,88.243,0.000,0.000,1013.000,0.671
3:26:0:0:0,54.500,88.199,0.000,0.000,1013.000,0.671
3:26:1:0:0,53.420,89.932,0.000,0.000,1013.000,0.671
3:26:2:0:0,52.340,91.099,0.000,0.000,1013.000,0.671
3:26:3:0:0,51.080,93.534,0.000,0.000,1013.000,0.671
3:26:4:0:0,50.000,96.056,0.000,0.000,1012.000,0.447
3:26:5:0:0,48.920,98.664,0.000,0.000,1012.000,0.447
3:26:6:0:0,47.660,100.000,0.000,0.000,1012.000,0.447
3:26:7:0:0,46.580,100.000,0.000,0.000,1012.000,0.447
3:26:8:0:0,46.220,100.000,0.000,0.000,1012.000,0.447
3:26:9:0:0,46.040,100.000,0.000,0.000,1012.000,0.447
3:26:10:0:0,46.760,97.318,0.000,0.000,1013.000,0.447
3:26:11:0:0,50.180,86.801,17.837,2.323,1013.000,0.671
3:26:12:0:0,55.580,76.182,19.510,9.104,1013.000,0.671
3:26:13:0:0,61.520,65.863,67.912,8.547,1013.000,0.671
3:26:14:0:0,67.100,57.548,40.413,21.275,1012.000,0.895
3:26:15:0:0,71.060,51.261,54.348,21.461,1012.000,0.895
3:26:16:0:0,73.040,48.580,48.402,27.035,1011.000,0.895
3:26:17:0:0,73.580,49.633,39.019,31.680,1010.000,0.895
3:26:18:0:0,72.680,53.217,14.121,35.396,1010.000,0.895
3:26:19:0:0,71.420,58.896,75.995,11.613,1009.000,0.895
3:26:20:0:0,69.800,67.699,33.073,20.717,1009.000,0.895
3:26:21:0:0,67.280,79.211,61.873,8.083,1009.000,0.671
3:26:22:0:0,62.780,95.047,42.364,5.295,1009.000,0.447
3:26:23:0:0,59.900,95.602,0.000,0.000,1009.000,0.447
3:27:0:0:0,58.100,98.716,0.000,0.000,1009.000,0.447
3:27:1:0:0,57.020,100.000,0.000,0.000,1008.000,0.447
3:27:2:0:0,55.760,100.000,0.000,0.000,1008.000,0.447
3:27:3:0:0,54.500,100.000,0.000,0.000,1008.000,0.447
3:27:4:0:0,53.600,100.000,0.000,0.000,1007.000,0.447
3:27:5:0:0,52.880,100.000,0.000,0.000,1007.000,0.447
3:27:6:0:0,52.520,100.000,0.000,0.000,1007.000,0.447
3:27:7:0:0,51.980,100.000,0.000,0.000,1006.000,0.447
3:27:8:0:0,51.440,100.000,0.000,0.000,1006.000,0.447
3:27:9:0:0,51.440,100.000,0.000,0.000,1006.000,0.447
3:27:10:0:0,51.980,97.378,0.000,0.000,1007.000,0.447
3:27:11:0:0,53.240,94.217,0.000,1.951,1007.000,0.447
3:27:12:0:0,55.040,91.199,0.000,0.557,1007.000,0.447
3:27:13:0:0,56.840,90.073,0.000,2.044,1007.000,0.447
3:27:14:0:0,58.640,88.397,0.000,12.821,1007.000,0.671
3:27:15:0:0,60.800,86.231,0.000,13.471,1006.000,0.671
3:27:16:0:0,63.140,82.546,3.809,31.587,1005.000,0.671
3:27:17:0:0,66.200,76.130,5.388,34.467,1005.000,0.895
3:27:18:0:0,68.720,71.157,24.898,34.560,1004.000,0.895
3:27:19:0:0,69.440,70.323,19.231,30.472,1003.000,0.671
3:27:20:0:0,68.720,74.904,65.404,12.170,1003.000,0.447
3:27:21:0:0,66.740,86.552,1.765,13.378,1004.000,0.671
3:27:22:0:0,63.680,95.066,0.000,1.115,1004.000,1.118
3:27:23:0:0,62.060,88.557,0.000,0.000,1004.000,1.566
3:28:0:0:0,58.100,97.446,0.000,0.000,1005.000,1.342
3:28:1:0:0,56.300,100.000,0.000,0.000,1005.000,0.671
3:28:2:0:0,55.400,100.000,0.000,0.000,1005.000,0.447
3:28:3:0:0,54.860,100.000,0.000,0.000,1005.000,0.447
3:28:4:0:0,54.320,100.000,0.000,0.000,1005.000,0.447
3:28:5:0:0,53.780,100.000,0.000,0.000,1006.000,0.447
3:28:6:0:0,52.880,100.000,0.000,0.000,1006.000,0.447
3:28:7:0:0,51.800,100.000,0.000,0.000,1006.000,0.447
3:28:8:0:0,50.180,100.000,0.000,0.000,1007.000,0.447
3:28:9:0:0,48.740,100.000,0.000,0.000,1007.000,0.447
3:28:10:0:0,48.380,98.660,0.000,0.000,1008.000,0.447
3:28:11:0:0,50.000,91.629,16.258,2.787,1009.000,0.671
3:28:12:0:0,52.700,85.199,12.449,9.941,1009.000,0.895
3:28:13:0:0,55.040,78.216,0.000,4.459,1009.000,0.895
3:28:14:0:0,57.200,71.366,0.000,13.285,1010.000,0.671
3:28:15:0:0,59.720,64.767,0.093,14.957,1009.000,0.671
3:28:16:0:0,62.780,57.727,8.547,35.768,1009.000,0.895
3:28:17:0:0,65.120,52.474,10.219,37.347,1008.000,0.895
3:28:18:0:0,66.200,49.861,85.471,11.055,1008.000,0.895
3:28:19:0:0,66.020,50.174,83.334,10.126,1007.000,0.895
3:28:20:0:0,64.580,53.110,78.317,9.012,1007.000,0.895
3:28:21:0:0,61.520,61.584,68.562,7.525,1007.000,0.671
3:28:22:0:0,55.940,84.263,48.310,5.203,1007.000,0.447
3:28:23:0:0,52.340,90.491,0.000,0.000,1008.000,0.447
3:29:0:0:0,50.180,92.881,0.000,0.000,1009.000,0.447
3:29:1:0:0,48.560,96.032,0.000,0.000,1010.000,0.447
3:29:2:0:0,46.400,99.322,0.000,0.000,1010.000,0.447
3:29:3:0:0,44.600,100.000,0.000,0.000,1011.000,0.447
3:29:4:0:0,43.340,100.000,0.000,0.000,1011.000,0.447
3:29:5:0:0,42.080,100.000,0.000,0.000,1011.000,0.447
3:29:6:0:0,41.180,99.306,0.000,0.000,1011.000,0.224
3:29:7:0:0,40.640,97.927,0.000,0.000,1011.000,0.224
