sim time,house1,house2,house3,house4,house5,house6,house7,house8,house9
2023-07-01 00:32:56,+70.0004 degF,+68.8181 degF,+68.6881 degF,+69.5123 degF,+67.8889 degF,+68.2338 degF,+68.0392 degF,+77.8158 degF,+69.556 degF
2023-07-01 00:48:06,+69.1473 degF,+68.6573 degF,+68.5734 degF,+69.4013 degF,+67.8434 degF,+68.1385 degF,+67.9455 degF,+76.8362 degF,+69.4732 degF
2023-07-01 01:04:44,+69.787 degF,+68.4902 degF,+68.4529 degF,+69.2795 degF,+67.7966 degF,+68.0243 degF,+67.8434 degF,+78.0112 degF,+69.3884 degF
