"rec_id","invensys_acct_id","invensys_device_type_id","instance_id","kfactor","rec_create_date","rec_last_update_date"
1,444,7,2,1,"2005-11-08 11:10:58","2005-11-08 11:10:58"
6,1316,5,2,1,"2006-02-15 09:35:26","2006-06-07 11:06:59"
7,1061,5,2,0,"2006-02-28 15:13:11","2006-02-28 15:13:11"
8,1062,5,2,1,"2006-02-28 15:13:11","2006-02-28 15:13:11"
9,1064,5,1,0,"2006-02-28 15:13:11","2006-02-28 15:13:11"
10,1065,5,1,0.75,"2006-02-28 15:13:11","2006-02-28 15:13:11"
11,1318,5,2,0,"2006-02-28 15:13:12","2006-02-28 15:13:12"
12,1320,5,2,0,"2006-02-28 15:13:13","2006-02-28 15:13:13"
13,1321,5,2,1,"2006-02-28 15:13:13","2006-04-18 08:25:10"
14,1322,5,2,0,"2006-02-28 15:13:13","2006-02-28 15:13:13"
15,1325,5,2,0,"2006-02-28 15:13:13","2006-02-28 15:13:13"
16,1326,5,2,0,"2006-02-28 15:13:13","2006-02-28 15:13:13"
17,1329,5,2,0,"2006-02-28 15:13:14","2006-02-28 15:13:14"
18,1330,5,2,0,"2006-02-28 15:13:14","2006-02-28 15:13:14"
19,1331,5,1,0,"2006-02-28 15:13:14","2006-02-28 15:13:14"
20,1332,5,2,0,"2006-02-28 15:13:14","2006-02-28 15:13:14"
21,1333,5,1,1,"2006-02-28 15:13:14","2006-04-18 08:37:17"
22,1334,5,2,0,"2006-02-28 15:13:14","2006-02-28 15:13:14"
23,1336,5,2,0,"2006-02-28 15:13:15","2006-06-13 19:35:00"
24,1337,5,2,1,"2006-02-28 15:13:15","2006-06-07 13:10:58"
25,1338,5,2,0,"2006-02-28 15:13:15","2006-02-28 15:13:15"
26,1339,5,2,1,"2006-02-28 15:13:15","2006-04-18 09:01:30"
27,1340,5,2,1,"2006-02-28 15:13:15","2006-06-07 13:03:02"
28,1341,5,2,0,"2006-02-28 15:13:15","2006-02-28 15:13:15"
29,1343,5,2,1,"2006-02-28 15:13:16","2006-06-07 13:11:00"
30,1344,5,2,0,"2006-02-28 15:13:16","2006-02-28 15:13:16"
31,1345,5,2,0,"2006-02-28 15:13:16","2006-02-28 15:13:16"
32,1360,5,2,0,"2006-02-28 15:13:16","2006-02-28 15:13:16"
33,1361,5,2,0,"2006-02-28 15:13:16","2006-02-28 15:13:16"
34,1362,5,2,0,"2006-02-28 15:13:16","2006-02-28 15:13:16"
35,1363,5,2,0,"2006-02-28 15:13:16","2006-02-28 15:13:16"
36,1364,5,2,0,"2006-02-28 15:13:17","2006-02-28 15:13:17"
37,1365,5,2,0,"2006-02-28 15:13:17","2006-02-28 15:13:17"
38,1366,5,2,0,"2006-02-28 15:13:17","2006-02-28 15:13:17"
39,1367,5,2,0,"2006-02-28 15:13:17","2006-02-28 15:13:17"
40,1368,5,2,0,"2006-02-28 15:13:17","2006-02-28 15:13:17"
41,1369,5,1,1,"2006-02-28 15:13:17","2006-06-07 13:03:04"
42,1370,5,2,0,"2006-02-28 15:13:17","2006-02-28 15:13:17"
43,1371,5,2,1,"2006-02-28 15:13:17","2006-06-07 13:03:06"
44,1372,5,2,0,"2006-02-28 15:13:18","2006-02-28 15:13:18"
45,1374,5,2,0,"2006-02-28 15:13:18","2006-02-28 15:13:18"
46,1376,5,1,0,"2006-02-28 15:13:18","2006-02-28 15:13:18"
47,1376,5,2,0,"2006-02-28 15:13:18","2006-02-28 15:13:18"
48,1377,5,1,0,"2006-02-28 15:13:18","2006-02-28 15:13:18"
49,1378,5,2,0,"2006-02-28 15:13:18","2006-02-28 15:13:18"
50,1379,5,1,0,"2006-02-28 15:13:18","2006-02-28 15:13:18"
51,1380,5,1,0,"2006-02-28 15:13:18","2006-02-28 15:13:18"
52,1381,5,1,0,"2006-02-28 15:13:18","2006-02-28 15:13:18"
53,1382,5,2,0,"2006-02-28 15:13:18","2006-02-28 15:13:18"
54,1383,5,1,0,"2006-02-28 15:13:18","2006-02-28 15:13:18"
55,1384,5,1,0,"2006-02-28 15:13:18","2006-02-28 15:13:18"
56,1385,5,1,0,"2006-02-28 15:13:19","2006-02-28 15:13:19"
57,1386,5,2,0,"2006-02-28 15:13:19","2006-02-28 15:13:19"
58,1387,5,1,0,"2006-02-28 15:13:19","2006-02-28 15:13:19"
59,1388,5,1,0,"2006-02-28 15:13:19","2006-02-28 15:13:19"
60,1389,5,1,0,"2006-02-28 15:13:19","2006-02-28 15:13:19"
61,1390,5,1,0,"2006-02-28 15:13:19","2006-02-28 15:13:19"
62,1391,5,2,0,"2006-02-28 15:13:19","2006-02-28 15:13:19"
63,1392,5,1,0,"2006-02-28 15:13:19","2006-02-28 15:13:19"
64,1393,5,1,0,"2006-02-28 15:13:19","2006-02-28 15:13:19"
65,1394,5,1,0,"2006-02-28 15:13:19","2006-02-28 15:13:19"
66,1395,5,1,0,"2006-02-28 15:13:19","2006-02-28 15:13:19"
67,1396,5,2,0,"2006-02-28 15:13:19","2006-02-28 15:13:19"
68,1397,5,2,0,"2006-02-28 15:13:19","2006-02-28 15:13:19"
69,1398,5,1,0,"2006-02-28 15:13:19","2006-02-28 15:13:19"
70,1399,5,1,0,"2006-02-28 15:13:19","2006-02-28 15:13:19"
71,1400,5,1,0,"2006-02-28 15:13:19","2006-02-28 15:13:19"
