"rec_id","invensys_acct_id","invensys_device_type_id","instance_id","kfactor","rec_create_date","rec_last_update_date",
18,1323,3,1,0,"2006-02-28 15:13:13","2006-02-28 15:13:13",
19,1325,3,1,0,"2006-02-28 15:13:13","2006-02-28 15:13:13",
36,1342,3,1,0,"2006-02-28 15:13:15","2006-02-28 15:13:15",
39,1345,3,1,0,"2006-02-28 15:13:16","2006-02-28 15:13:16",
40,1360,3,1,0,"2006-02-28 15:13:16","2006-02-28 15:13:16",
42,1362,3,1,0,"2006-02-28 15:13:16","2006-02-28 15:13:16",
43,1363,3,1,0,"2006-02-28 15:13:16","2006-02-28 15:13:16",
44,1364,3,1,0,"2006-02-28 15:13:17","2006-02-28 15:13:17",
45,1365,3,1,0,"2006-02-28 15:13:17","2006-02-28 15:13:17",
50,1370,3,1,0,"2006-02-28 15:13:17","2006-02-28 15:13:17",
52,1372,3,1,0,"2006-02-28 15:13:18","2006-02-28 15:13:18",
54,1374,3,1,0,"2006-02-28 15:13:18","2006-02-28 15:13:18",
83,1511,3,1,0,"2006-02-28 15:13:25","2006-02-28 15:13:25",
84,1512,3,1,0,"2006-02-28 15:13:25","2006-02-28 15:13:25",
90,1518,3,1,0,"2006-02-28 15:13:26","2006-02-28 15:13:26",
91,1519,3,1,0,"2006-02-28 15:13:26","2006-02-28 15:13:26",
96,1524,3,1,0,"2006-02-28 15:13:26","2006-02-28 15:13:26",
106,1534,3,1,0,"2006-02-28 15:13:28","2006-02-28 15:13:28",
118,1546,3,1,0,"2006-02-28 15:13:29","2006-02-28 15:13:29",
119,1547,3,1,0,"2006-02-28 15:13:29","2006-02-28 15:13:29",
121,1549,3,1,0,"2006-02-28 15:13:30","2006-02-28 15:13:30",
125,1553,3,1,0,"2006-02-28 15:13:30","2006-02-28 15:13:30",
126,1554,3,1,0,"2006-02-28 15:13:30","2006-02-28 15:13:30",
137,1574,3,1,0,"2006-03-22 11:17:34","2006-03-22 11:17:34",
149,1564,3,1,0,"2006-03-22 11:33:37","2006-03-22 11:33:37",
