PNNL ID	Invensys ID
235	1321
282	1327
292	1316
325	1371
360	1343
368	1333
419	1336
429	1337
449	1339
452	1537
455	1340
526	1514
562	1523
587	1516
588	1369
594	1509
596	1529
622	1527
635	1526
638	1572
653	1532
666	1542
671	1528
734	1569
738	1561
747	1567
756	1552
499	1475
533	1496
459	1436
