rec_id,invensys_acct_id,invensys_device_type_id,instance_id,kfactor,rec_create_date,rec_last_update_date,,,
12,1316,3,1,2,2/9/2006 13:53,4/19/2006 7:19,,average,0.725806452
16,1321,3,1,1,2/28/2006 15:13,4/18/2006 8:25,,,
21,1327,3,1,0,2/28/2006 15:13,2/22/2007 9:17,,,
27,1333,3,2,1,2/28/2006 15:13,4/18/2006 8:37,,,
29,1336,3,1,2,2/28/2006 15:13,5/30/2006 17:55,,,
30,1337,3,1,0,2/28/2006 15:13,1/8/2007 21:20,,,
31,1337,3,3,0,2/28/2006 15:13,1/8/2007 21:24,,,
33,1339,3,1,1,2/28/2006 15:13,4/18/2006 9:01,,,
34,1340,3,1,0,2/28/2006 15:13,5/18/2006 11:25,,,
37,1343,3,1,1,2/28/2006 15:13,4/18/2006 9:09,,,
49,1369,3,2,1.5,2/28/2006 15:13,4/24/2006 22:13,,,
51,1371,3,1,1,2/28/2006 15:13,4/18/2006 9:10,,,
82,1509,3,1,1,2/28/2006 15:13,4/18/2006 9:10,,,
86,1514,3,1,1,2/28/2006 15:13,4/18/2006 9:10,,,
88,1516,3,1,1,2/28/2006 15:13,8/2/2006 20:46,,,
95,1523,3,1,0,2/28/2006 15:13,2/28/2006 15:13,,,
98,1526,3,1,1,2/28/2006 15:13,4/18/2006 9:10,,,
99,1527,3,1,1,2/28/2006 15:13,4/18/2006 9:10,,,
100,1528,3,1,1,2/28/2006 15:13,4/18/2006 9:10,,,
101,1529,3,1,1,2/28/2006 15:13,12/13/2006 16:56,,,
104,1532,3,1,1,2/28/2006 15:13,4/18/2006 9:10,,,
109,1537,3,1,1,2/28/2006 15:13,4/18/2006 9:10,,,
114,1542,3,1,1,2/28/2006 15:13,4/18/2006 9:10,,,
124,1552,3,1,1,2/28/2006 15:13,4/18/2006 9:10,,,
140,1569,3,1,0,3/22/2006 11:25,3/22/2006 11:25,,,
143,1572,3,1,0,3/22/2006 11:25,3/22/2006 11:25,,,
145,1567,3,1,0,3/22/2006 11:29,3/22/2006 11:29,,,
152,1561,3,1,1,3/22/2006 11:37,4/18/2006 9:10,,,
160,1475,3,2,0,5/16/2006 6:53,5/16/2006 6:53,,,
161,1496,3,2,0,5/16/2006 6:57,2/21/2007 12:17,,,
163,1436,3,2,0,6/5/2006 13:07,6/5/2006 13:07,,,
