0, 139675.872+30d
1,   140320.608000+30d;
2,   140305.566000+30d;
3,   140415.276000+30d;
4,   140496.834000+30d;
5,   140589.846000+30d;
6,   140521.536000+30d;
7,   140411.826000+30d;
8,   140570.664000+30d;
9,   140704.524000+30d;
10,   140702.454000+30d;
11,   140609.718000+30d;
12,   140610.132000+30d;
13,   140528.988000+30d;
14,   140642.562000+30d;
15,   140675.820000+30d;
16,   140786.082000+30d;
17,   140804.022000+30d;
18,   140681.202000+30d;
19,   140540.856000+30d;
20,   140469.372000+30d;
21,   140459.160000+30d;
22,   140489.658000+30d;
23,   140469.372000+30d;
24,   140469.372000+30d;
25,   140383.260000+30d;
26,   140175.018000+30d;
27,   140079.522000+30d;
28,   140094.150000+30d;
29,   140036.466000+30d;
30,   139949.802000+30d;
31,   139966.776000+30d;
32,   140246.502000+30d;
33,   140410.998000+30d;
34,   140469.372000+30d;
35,   140392.920000+30d;
36,   140307.360000+30d;
37,   140417.898000+30d;
38,   140316.468000+30d;
39,   140270.652000+30d;
40,   140299.908000+30d;
41,   140208.414000+30d;
42,   140157.492000+30d;
43,   140122.992000+30d;
44,   140122.578000+30d;
45,   139956.012000+30d;
46,   139903.986000+30d;
47,   139831.812000+30d;
48,   139878.870000+30d;
49,   139935.726000+30d;
50,   139997.550000+30d;
51,   140087.940000+30d;
52,   140185.506000+30d;
53,   140296.182000+30d;
54,   140338.134000+30d;
55,   140400.924000+30d;
56,   140469.372000+30d;
57,   140484.138000+30d;
58,   140678.856000+30d;
59,   140807.472000+30d;
60,   140864.466000+30d;
61,   140989.080000+30d;
62,   140989.080000+30d;
63,   140915.526000+30d;
64,   140780.976000+30d;
65,   140658.984000+30d;
66,   140611.236000+30d;
67,   140137.482000+30d;
68,   139820.910000+30d;
69,   139462.938000+30d;
70,   138888.996000+30d;
71,   138484.518000+30d;
72,   138529.230000+30d;
73,   138613.962000+30d;
74,   138737.334000+30d;
75,   138737.334000+30d;
76,   138737.886000+30d;
77,   138905.142000+30d;
78,   138910.524000+30d;
79,   138814.476000+30d;
80,   138865.398000+30d;
81,   139044.108000+30d;
82,   139151.058000+30d;
83,   139273.188000+30d;
84,   139269.324000+30d;
85,   139428.438000+30d;
86,   139582.584000+30d;
87,   139967.466000+30d;
88,   140111.538000+30d;
89,   140296.182000+30d;
90,   140378.430000+30d;
91,   140500.836000+30d;
92,   140833.554000+30d;
93,   140822.376000+30d;
94,   140856.324000+30d;
95,   141005.778000+30d;
96,   141041.244000+30d;
97,   141289.644000+30d;
98,   141506.718000+30d;
99,   141599.316000+30d;
100,   141186.420000+30d;
101,   141284.538000+30d;
102,   141431.922000+30d;
103,   141418.950000+30d;
104,   141353.676000+30d;
105,   141515.964000+30d;
106,   141619.740000+30d;
107,   141681.840000+30d;
108,   141782.028000+30d;
109,   141855.030000+30d;
110,   141713.304000+30d;
111,   141695.502000+30d;
112,   141725.310000+30d;
113,   141699.504000+30d;
114,   141692.466000+30d;
115,   141562.332000+30d;
116,   141508.650000+30d;
117,   141327.042000+30d;
118,   141180.762000+30d;
119,   140974.038000+30d;
120,   140815.752000+30d;
121,   140622.828000+30d;
122,   140314.122000+30d;
123,   140121.612000+30d;
124,   139904.124000+30d;
125,   139623.294000+30d;
126,   139620.672000+30d;
127,   139740.180000+30d;
128,   140018.664000+30d;
129,   140263.338000+30d;
130,   140245.260000+30d;
131,   140122.992000+30d;
132,   140142.450000+30d;
133,   140224.560000+30d;
134,   140279.898000+30d;
135,   140122.992000+30d;
136,   139930.206000+30d;
137,   139765.572000+30d;
138,   139723.068000+30d;
139,   139631.712000+30d;
140,   139623.846000+30d;
141,   139528.074000+30d;
142,   139431.198000+30d;
143,   139409.256000+30d;
144,   139460.040000+30d;
145,   139678.494000+30d;
146,   139811.112000+30d;
147,   139675.872000+30d;
148,   139631.022000+30d;
149,   139787.100000+30d;
150,   139776.612000+30d;
151,   139776.612000+30d;
152,   139826.154000+30d;
153,   139749.840000+30d;
154,   139801.452000+30d;
155,   139816.632000+30d;
156,   139902.054000+30d;
