0, 141492.918-90d
1,   142052.646000-90d;
2,   142050.576000-90d;
3,   142163.874000-90d;
4,   142290.696000-90d;
5,   142374.600000-90d;
6,   142295.112000-90d;
7,   142226.250000-90d;
8,   142374.048000-90d;
9,   142487.070000-90d;
10,   142547.928000-90d;
11,   142413.102000-90d;
12,   142374.600000-90d;
13,   142352.796000-90d;
14,   142428.006000-90d;
15,   142483.758000-90d;
16,   142547.928000-90d;
17,   142536.060000-90d;
18,   142487.622000-90d;
19,   142272.894000-90d;
20,   142201.410000-90d;
21,   142201.410000-90d;
22,   142282.968000-90d;
23,   142262.958000-90d;
24,   142213.002000-90d;
25,   142194.372000-90d;
26,   141998.274000-90d;
27,   141856.686000-90d;
28,   141855.720000-90d;
29,   141895.050000-90d;
30,   141826.602000-90d;
31,   141872.142000-90d;
32,   142040.502000-90d;
33,   142227.768000-90d;
34,   142271.790000-90d;
35,   142201.272000-90d;
36,   142158.078000-90d;
37,   142201.410000-90d;
38,   142141.656000-90d;
39,   142168.704000-90d;
40,   142240.740000-90d;
41,   142074.726000-90d;
42,   142062.720000-90d;
43,   142081.764000-90d;
44,   142041.330000-90d;
45,   141875.868000-90d;
46,   141855.030000-90d;
47,   141855.030000-90d;
48,   141855.030000-90d;
49,   141840.954000-90d;
50,   141967.362000-90d;
51,   142081.764000-90d;
52,   142201.410000-90d;
53,   142286.142000-90d;
54,   142374.600000-90d;
55,   142357.764000-90d;
56,   142412.826000-90d;
57,   142458.780000-90d;
58,   142643.286000-90d;
59,   142731.330000-90d;
60,   142860.498000-90d;
61,   142958.892000-90d;
62,   142974.900000-90d;
63,   142894.308000-90d;
64,   142746.234000-90d;
65,   142706.352000-90d;
66,   142625.760000-90d;
67,   142168.014000-90d;
68,   141882.492000-90d;
69,   141541.494000-90d;
70,   140984.802000-90d;
71,   140707.422000-90d;
72,   140811.888000-90d;
73,   140888.616000-90d;
74,   140989.080000-90d;
75,   140944.782000-90d;
76,   140879.094000-90d;
77,   141087.612000-90d;
