# file...... ../data_powRecorderA.csv
# date...... Wed Apr 26 14:48:24 2017
# user...... gour967
# host...... (null)
# target.... meter 13
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,measured_power_A
2017-03-28 00:00:05.930000 PDT,+1151.35+25.8419d
2017-03-28 00:00:05.940000 PDT,+1154.11+25.8419d
2017-03-28 00:00:05.950000 PDT,+1156.86+25.8419d
2017-03-28 00:00:05.960000 PDT,+1159.62+25.8419d
2017-03-28 00:00:05.970000 PDT,+1162.38+25.8419d
2017-03-28 00:00:05.980000 PDT,+1165.14+25.8419d
2017-03-28 00:00:05.990000 PDT,+1167.9+25.8419d
2017-03-28 00:00:06.000000 PDT,+1170.66+25.8419d
2017-03-28 00:00:06.010000 PDT,+1173.42+25.8419d
2017-03-28 00:00:06.020000 PDT,+1176.18+25.8419d
2017-03-28 00:00:06.030000 PDT,+1178.94+25.8419d
2017-03-28 00:00:06.040000 PDT,+1181.7+25.8419d
2017-03-28 00:00:06.050000 PDT,+1184.46+25.8419d
2017-03-28 00:00:06.060000 PDT,+1187.23+25.8419d
2017-03-28 00:00:06.070000 PDT,+1189.99+25.8419d
2017-03-28 00:00:06.080000 PDT,+1192.75+25.8419d
2017-03-28 00:00:06.090000 PDT,+1195.51+25.8419d
2017-03-28 00:00:06.100000 PDT,+1198.28+25.8419d
2017-03-28 00:00:06.110000 PDT,+1201.04+25.8419d
2017-03-28 00:00:06.120000 PDT,+1203.81+25.8419d
2017-03-28 00:00:06.130000 PDT,+1206.57+25.8419d
2017-03-28 00:00:06.140000 PDT,+1209.34+25.8419d
2017-03-28 00:00:06.150000 PDT,+1212.1+25.8419d
2017-03-28 00:00:06.160000 PDT,+1214.86+25.8419d
2017-03-28 00:00:06.170000 PDT,+1217.63+25.8419d
2017-03-28 00:00:06.180000 PDT,+1220.39+25.8419d
2017-03-28 00:00:06.190000 PDT,+1223.16+25.8419d
2017-03-28 00:00:06.200000 PDT,+1225.93+25.8419d
2017-03-28 00:00:06.210000 PDT,+1228.69+25.8419d
2017-03-28 00:00:06.220000 PDT,+1231.46+25.8419d
2017-03-28 00:00:06.230000 PDT,+1234.22+25.8419d
2017-03-28 00:00:06.240000 PDT,+1236.99+25.8419d
2017-03-28 00:00:06.250000 PDT,+1239.75+25.8419d
2017-03-28 00:00:06.260000 PDT,+1242.52+25.8419d
2017-03-28 00:00:06.270000 PDT,+1245.28+25.8419d
2017-03-28 00:00:06.280000 PDT,+1248.05+25.8419d
2017-03-28 00:00:06.290000 PDT,+1250.81+25.8419d
2017-03-28 00:00:06.300000 PDT,+1253.58+25.8419d
2017-03-28 00:00:06.310000 PDT,+1256.34+25.8419d
2017-03-28 00:00:06.320000 PDT,+1259.11+25.8419d
