# timestamp,measured_power_A
2009-01-01 00:00:05.019800 PST,+2502.7792+130.71079j
2009-01-01 00:00:05.020000 PST,+2503.8091+128.3288j
2009-01-01 00:00:05.020200 PST,+2504.8072+125.98409j
2009-01-01 00:00:05.020400 PST,+2505.7726+123.67628j
2009-01-01 00:00:05.020600 PST,+2506.7041+121.40497j
2009-01-01 00:00:05.020800 PST,+2507.601+119.16973j
2009-01-01 00:00:05.021000 PST,+2508.4622+116.97013j
2009-01-01 00:00:05.021200 PST,+2509.2871+114.8057j
2009-01-01 00:00:05.021400 PST,+2510.0748+112.67597j
2009-01-01 00:00:05.021600 PST,+2510.8247+110.58044j
2009-01-01 00:00:05.021800 PST,+2511.5361+108.51862j
2009-01-01 00:00:05.022000 PST,+2512.2087+106.48997j
2009-01-01 00:00:05.022200 PST,+2512.8418+104.49397j
2009-01-01 00:00:05.022400 PST,+2513.4351+102.53006j
2009-01-01 00:00:05.022600 PST,+2513.9882+100.59769j
2009-01-01 00:00:05.022800 PST,+2514.5009+98.696272j
2009-01-01 00:00:05.023000 PST,+2514.9728+96.825237j
2009-01-01 00:00:05.023200 PST,+2515.404+94.983987j
2009-01-01 00:00:05.023400 PST,+2515.7942+93.171918j
2009-01-01 00:00:05.023600 PST,+2516.1435+91.38842j
2009-01-01 00:00:05.023800 PST,+2516.4519+89.632873j
2009-01-01 00:00:05.024000 PST,+2516.7194+87.904651j
2009-01-01 00:00:05.024200 PST,+2516.9461+86.203122j
2009-01-01 00:00:05.024400 PST,+2517.1324+84.527647j
2009-01-01 00:00:05.024600 PST,+2517.2784+82.877585j
2009-01-01 00:00:05.024800 PST,+2517.3844+81.252288j
2009-01-01 00:00:05.025000 PST,+2517.4508+79.651107j
2009-01-01 00:00:05.025200 PST,+2517.478+78.07339j
2009-01-01 00:00:05.025400 PST,+2517.4665+76.518482j
2009-01-01 00:00:05.025600 PST,+2517.4167+74.98573j
2009-01-01 00:00:05.025800 PST,+2517.3291+73.474477j
2009-01-01 00:00:05.026000 PST,+2517.2045+71.98407j
2009-01-01 00:00:05.026200 PST,+2517.0433+70.513855j
2009-01-01 00:00:05.026400 PST,+2516.8463+69.06318j
2009-01-01 00:00:05.026600 PST,+2516.6143+67.631396j
2009-01-01 00:00:05.026800 PST,+2516.3478+66.217858j
2009-01-01 00:00:05.027000 PST,+2516.0478+64.821923j
2009-01-01 00:00:05.027200 PST,+2515.715+63.442954j
2009-01-01 00:00:05.027400 PST,+2515.3504+62.080319j
2009-01-01 00:00:05.027600 PST,+2514.9546+60.73339j
2009-01-01 00:00:05.027800 PST,+2514.5288+59.401547j
2009-01-01 00:00:05.028000 PST,+2514.0738+58.084177j
2009-01-01 00:00:05.028200 PST,+2513.5906+56.780674j
2009-01-01 00:00:05.028400 PST,+2513.0802+55.490438j
2009-01-01 00:00:05.028600 PST,+2512.5435+54.21288j
2009-01-01 00:00:05.028800 PST,+2511.9817+52.94742j
2009-01-01 00:00:05.029000 PST,+2511.3957+51.693485j
2009-01-01 00:00:05.029200 PST,+2510.7867+50.450513j
2009-01-01 00:00:05.029400 PST,+2510.1556+49.217955j
2009-01-01 00:00:05.029600 PST,+2509.5036+47.995268j
2009-01-01 00:00:05.029800 PST,+2508.8318+46.781923j
2009-01-01 00:00:05.030000 PST,+2508.1414+45.577402j
2009-01-01 00:00:05.030200 PST,+2507.4333+44.381199j
2009-01-01 00:00:05.030400 PST,+2506.7088+43.19282j
2009-01-01 00:00:05.030600 PST,+2505.969+42.011782j
2009-01-01 00:00:05.030800 PST,+2505.215+40.837619j
2009-01-01 00:00:05.031000 PST,+2504.4479+39.669873j
2009-01-01 00:00:05.031200 PST,+2503.6689+38.508102j
2009-01-01 00:00:05.031400 PST,+2502.8792+37.351878j
2009-01-01 00:00:05.031600 PST,+2502.0798+36.200785j
2009-01-01 00:00:05.031800 PST,+2501.2719+35.054422j
2009-01-01 00:00:05.032000 PST,+2500.4565+33.912403j
2009-01-01 00:00:05.032200 PST,+2499.6349+32.774355j
2009-01-01 00:00:05.032400 PST,+2498.8081+31.639919j
2009-01-01 00:00:05.032600 PST,+2497.9772+30.508752j
2009-01-01 00:00:05.032800 PST,+2497.1432+29.380525j
2009-01-01 00:00:05.033000 PST,+2496.3074+28.254924j
2009-01-01 00:00:05.033200 PST,+2495.4706+27.131649j
2009-01-01 00:00:05.033400 PST,+2494.634+26.010415j
2009-01-01 00:00:05.033600 PST,+2493.7986+24.890953j
2009-01-01 00:00:05.033800 PST,+2492.9654+23.773008j
2009-01-01 00:00:05.034000 PST,+2492.1353+22.656339j
2009-01-01 00:00:05.034200 PST,+2491.3094+21.540721j
2009-01-01 00:00:05.034400 PST,+2490.4885+20.425943j
2009-01-01 00:00:05.034600 PST,+2489.6737+19.31181j
2009-01-01 00:00:05.034800 PST,+2488.8659+18.198139j
2009-01-01 00:00:05.035000 PST,+2488.0658+17.084765j
2009-01-01 00:00:05.035200 PST,+2487.2744+15.971535j
2009-01-01 00:00:05.035400 PST,+2486.4925+14.858309j
2009-01-01 00:00:05.035600 PST,+2485.7209+13.744965j
2009-01-01 00:00:05.035800 PST,+2484.9605+12.631391j
2009-01-01 00:00:05.036000 PST,+2484.2119+11.517492j
2009-01-01 00:00:05.036200 PST,+2483.4758+10.403185j
2009-01-01 00:00:05.036400 PST,+2482.7531+9.2883985j
2009-01-01 00:00:05.036600 PST,+2482.0444+8.1730778j
2009-01-01 00:00:05.036800 PST,+2481.3503+7.057179j
2009-01-01 00:00:05.037000 PST,+2480.6714+5.9406711j
2009-01-01 00:00:05.037200 PST,+2480.0084+4.8235359j
2009-01-01 00:00:05.037400 PST,+2479.3618+3.7057671j
2009-01-01 00:00:05.037600 PST,+2478.7321+2.5873703j
2009-01-01 00:00:05.037800 PST,+2478.1199+1.4683628j
2009-01-01 00:00:05.038000 PST,+2477.5256+0.34877331j
2009-01-01 00:00:05.038200 PST,+2476.9496-0.77135867j
2009-01-01 00:00:05.038400 PST,+2476.3924-1.8919828j
2009-01-01 00:00:05.038600 PST,+2475.8543-3.0130383j
2009-01-01 00:00:05.038800 PST,+2475.3358-4.1344547j
2009-01-01 00:00:05.039000 PST,+2474.8371-5.2561509j
2009-01-01 00:00:05.039200 PST,+2474.3586-6.3780372j
2009-01-01 00:00:05.039400 PST,+2473.9004-7.5000146j
2009-01-01 00:00:05.039600 PST,+2473.4629-8.6219754j
2009-01-01 00:00:05.039800 PST,+2473.0463-9.7438036j
2009-01-01 00:00:05.040000 PST,+2472.6506-10.865375j
2009-01-01 00:00:05.040200 PST,+2472.2761-11.986558j
2009-01-01 00:00:05.040400 PST,+2471.923-13.107214j
2009-01-01 00:00:05.040600 PST,+2471.5912-14.227196j
2009-01-01 00:00:05.040800 PST,+2471.2808-15.346353j
2009-01-01 00:00:05.041000 PST,+2470.992-16.464525j
2009-01-01 00:00:05.041200 PST,+2470.7247-17.581549j
2009-01-01 00:00:05.041400 PST,+2470.4788-18.697254j
2009-01-01 00:00:05.041600 PST,+2470.2544-19.811465j
2009-01-01 00:00:05.041800 PST,+2470.0514-20.924004j
2009-01-01 00:00:05.042000 PST,+2469.8697-22.034685j
2009-01-01 00:00:05.042200 PST,+2469.7091-23.143322j
2009-01-01 00:00:05.042400 PST,+2469.5696-24.249723j
2009-01-01 00:00:05.042600 PST,+2469.451-25.353694j
2009-01-01 00:00:05.042800 PST,+2469.353-26.455036j
2009-01-01 00:00:05.043000 PST,+2469.2755-27.55355j
2009-01-01 00:00:05.043200 PST,+2469.2183-28.649034j
2009-01-01 00:00:05.043400 PST,+2469.1811-29.741284j
2009-01-01 00:00:05.043600 PST,+2469.1636-30.830094j
2009-01-01 00:00:05.043800 PST,+2469.1656-31.91526j
2009-01-01 00:00:05.044000 PST,+2469.1867-32.996572j
2009-01-01 00:00:05.044200 PST,+2469.2266-34.073824j
2009-01-01 00:00:05.044400 PST,+2469.2849-35.146808j
2009-01-01 00:00:05.044600 PST,+2469.3614-36.215317j
2009-01-01 00:00:05.044800 PST,+2469.4556-37.279144j
2009-01-01 00:00:05.045000 PST,+2469.5672-38.338083j
2009-01-01 00:00:05.045200 PST,+2469.6957-39.391929j
2009-01-01 00:00:05.045400 PST,+2469.8407-40.440479j
2009-01-01 00:00:05.045600 PST,+2470.0018-41.483531j
2009-01-01 00:00:05.045800 PST,+2470.1785-42.520885j
2009-01-01 00:00:05.046000 PST,+2470.3705-43.552345j
2009-01-01 00:00:05.046200 PST,+2470.5772-44.577714j
2009-01-01 00:00:05.046400 PST,+2470.7981-45.596802j
2009-01-01 00:00:05.046600 PST,+2471.0328-46.609419j
2009-01-01 00:00:05.046800 PST,+2471.2808-47.615379j
2009-01-01 00:00:05.047000 PST,+2471.5415-48.614501j
2009-01-01 00:00:05.047200 PST,+2471.8145-49.606605j
2009-01-01 00:00:05.047400 PST,+2472.0993-50.591517j
2009-01-01 00:00:05.047600 PST,+2472.3954-51.569067j
2009-01-01 00:00:05.047800 PST,+2472.7022-52.539088j
2009-01-01 00:00:05.048000 PST,+2473.0191-53.501419j
2009-01-01 00:00:05.048200 PST,+2473.3458-54.455903j
