# file...... ../data_vfd_in_rec_curr_B.csv
# date...... Wed Apr 26 14:48:24 2017
# user...... gour967
# host...... (null)
# target.... vfd 20
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,current_in_B
2017-03-28 00:00:05.450000 PDT,-0.200987-0.136368j
2017-03-28 00:00:05.460000 PDT,-0.201521-0.136731j
2017-03-28 00:00:05.470000 PDT,-0.202055-0.137093j
2017-03-28 00:00:05.480000 PDT,-0.20259-0.137455j
2017-03-28 00:00:05.490000 PDT,-0.203124-0.137818j
2017-03-28 00:00:05.500000 PDT,-0.203659-0.138181j
2017-03-28 00:00:05.510000 PDT,-0.204194-0.138544j
2017-03-28 00:00:05.520000 PDT,-0.204729-0.138907j
2017-03-28 00:00:05.530000 PDT,-0.205265-0.13927j
2017-03-28 00:00:05.540000 PDT,-0.2058-0.139634j
2017-03-28 00:00:05.550000 PDT,-0.206336-0.139997j
2017-03-28 00:00:05.560000 PDT,-0.206872-0.140361j
2017-03-28 00:00:05.570000 PDT,-0.207409-0.140725j
2017-03-28 00:00:05.580000 PDT,-0.207945-0.141089j
2017-03-28 00:00:05.590000 PDT,-0.208482-0.141453j
2017-03-28 00:00:05.600000 PDT,-0.209019-0.141818j
2017-03-28 00:00:05.610000 PDT,-0.209556-0.142182j
2017-03-28 00:00:05.620000 PDT,-0.210094-0.142547j
2017-03-28 00:00:05.630000 PDT,-0.210632-0.142912j
2017-03-28 00:00:05.640000 PDT,-0.21117-0.143277j
2017-03-28 00:00:05.650000 PDT,-0.211708-0.143642j
2017-03-28 00:00:05.660000 PDT,-0.212246-0.144007j
2017-03-28 00:00:05.670000 PDT,-0.212785-0.144372j
2017-03-28 00:00:05.680000 PDT,-0.213323-0.144738j
2017-03-28 00:00:05.690000 PDT,-0.213862-0.145103j
2017-03-28 00:00:05.700000 PDT,-0.214402-0.145469j
2017-03-28 00:00:05.710000 PDT,-0.214941-0.145835j
2017-03-28 00:00:05.720000 PDT,-0.215481-0.146201j
2017-03-28 00:00:05.730000 PDT,-0.21602-0.146568j
2017-03-28 00:00:05.740000 PDT,-0.21656-0.146934j
2017-03-28 00:00:05.750000 PDT,-0.217101-0.1473j
2017-03-28 00:00:05.760000 PDT,-0.217641-0.147667j
2017-03-28 00:00:05.770000 PDT,-0.218182-0.148034j
2017-03-28 00:00:05.780000 PDT,-0.218722-0.148401j
2017-03-28 00:00:05.790000 PDT,-0.219263-0.148768j
2017-03-28 00:00:05.800000 PDT,-0.219804-0.149135j
2017-03-28 00:00:05.810000 PDT,-0.220346-0.149502j
2017-03-28 00:00:05.820000 PDT,-0.220887-0.149869j
2017-03-28 00:00:05.830000 PDT,-0.221429-0.150237j
2017-03-28 00:00:05.840000 PDT,-0.22197-0.150604j
2017-03-28 00:00:05.850000 PDT,-0.222512-0.150972j
2017-03-28 00:00:05.860000 PDT,-0.223054-0.15134j
2017-03-28 00:00:05.870000 PDT,-0.223597-0.151708j
2017-03-28 00:00:05.880000 PDT,-0.224139-0.152076j
2017-03-28 00:00:05.890000 PDT,-0.224681-0.152444j
2017-03-28 00:00:05.900000 PDT,-0.225224-0.152812j
2017-03-28 00:00:05.910000 PDT,-0.225767-0.15318j
2017-03-28 00:00:05.920000 PDT,-0.22631-0.153548j
2017-03-28 00:00:05.930000 PDT,-0.226853-0.153917j
2017-03-28 00:00:05.940000 PDT,-0.227396-0.154285j
2017-03-28 00:00:05.950000 PDT,-0.227939-0.154654j
2017-03-28 00:00:05.960000 PDT,-0.228483-0.155022j
2017-03-28 00:00:05.970000 PDT,-0.229026-0.155391j
2017-03-28 00:00:05.980000 PDT,-0.22957-0.15576j
2017-03-28 00:00:05.990000 PDT,-0.230113-0.156129j
2017-03-28 00:00:06.000000 PDT,-0.230657-0.156498j
2017-03-28 00:00:06.010000 PDT,-0.231201-0.156867j
2017-03-28 00:00:06.020000 PDT,-0.231745-0.157236j
2017-03-28 00:00:06.030000 PDT,-0.232289-0.157605j
2017-03-28 00:00:06.040000 PDT,-0.232833-0.157974j
2017-03-28 00:00:06.050000 PDT,-0.233378-0.158343j
2017-03-28 00:00:06.060000 PDT,-0.233922-0.158713j
2017-03-28 00:00:06.070000 PDT,-0.234466-0.159082j
2017-03-28 00:00:06.080000 PDT,-0.235011-0.159451j
2017-03-28 00:00:06.090000 PDT,-0.235555-0.159821j
2017-03-28 00:00:06.100000 PDT,-0.2361-0.16019j
2017-03-28 00:00:06.110000 PDT,-0.236644-0.16056j
2017-03-28 00:00:06.120000 PDT,-0.237189-0.160929j
2017-03-28 00:00:06.130000 PDT,-0.237734-0.161299j
2017-03-28 00:00:06.140000 PDT,-0.238279-0.161668j
2017-03-28 00:00:06.150000 PDT,-0.238823-0.162038j
2017-03-28 00:00:06.160000 PDT,-0.239368-0.162408j
2017-03-28 00:00:06.170000 PDT,-0.239913-0.162777j
2017-03-28 00:00:06.180000 PDT,-0.240458-0.163147j
2017-03-28 00:00:06.190000 PDT,-0.241003-0.163517j
2017-03-28 00:00:06.200000 PDT,-0.241548-0.163886j
2017-03-28 00:00:06.210000 PDT,-0.242093-0.164256j
2017-03-28 00:00:06.220000 PDT,-0.242637-0.164626j
2017-03-28 00:00:06.230000 PDT,-0.243182-0.164995j
2017-03-28 00:00:06.240000 PDT,-0.243727-0.165365j
2017-03-28 00:00:06.250000 PDT,-0.244272-0.165735j
2017-03-28 00:00:06.260000 PDT,-0.244817-0.166104j
2017-03-28 00:00:06.270000 PDT,-0.245362-0.166474j
2017-03-28 00:00:06.280000 PDT,-0.245907-0.166844j
2017-03-28 00:00:06.290000 PDT,-0.246452-0.167214j
2017-03-28 00:00:06.300000 PDT,-0.246997-0.167583j
2017-03-28 00:00:06.310000 PDT,-0.247542-0.167953j
2017-03-28 00:00:06.320000 PDT,-0.248086-0.168322j
2017-03-28 00:00:06.330000 PDT,-0.248631-0.168692j
2017-03-28 00:00:06.340000 PDT,-0.249176-0.169062j
2017-03-28 00:00:06.350000 PDT,-0.249721-0.169431j
2017-03-28 00:00:06.360000 PDT,-0.250265-0.169801j
2017-03-28 00:00:06.370000 PDT,-0.25081-0.17017j
2017-03-28 00:00:06.380000 PDT,-0.251355-0.17054j
2017-03-28 00:00:06.390000 PDT,-0.251899-0.170909j
2017-03-28 00:00:06.400000 PDT,-0.252444-0.171279j
2017-03-28 00:00:06.410000 PDT,-0.252988-0.171648j
2017-03-28 00:00:06.420000 PDT,-0.253533-0.172017j
2017-03-28 00:00:06.430000 PDT,-0.254077-0.172387j
2017-03-28 00:00:06.440000 PDT,-0.254621-0.172756j
2017-03-28 00:00:06.450000 PDT,-0.255166-0.173125j
2017-03-28 00:00:06.460000 PDT,-0.25571-0.173494j
2017-03-28 00:00:06.470000 PDT,-0.256254-0.173864j
2017-03-28 00:00:06.480000 PDT,-0.256798-0.174233j
2017-03-28 00:00:06.490000 PDT,-0.257342-0.174602j
2017-03-28 00:00:06.500000 PDT,-0.257886-0.174971j
2017-03-28 00:00:06.510000 PDT,-0.25843-0.17534j
2017-03-28 00:00:06.520000 PDT,-0.258974-0.175709j
2017-03-28 00:00:06.530000 PDT,-0.259518-0.176078j
2017-03-28 00:00:06.540000 PDT,-0.260061-0.176447j
2017-03-28 00:00:06.550000 PDT,-0.260605-0.176815j
2017-03-28 00:00:06.560000 PDT,-0.261149-0.177184j
2017-03-28 00:00:06.570000 PDT,-0.261692-0.177553j
2017-03-28 00:00:06.580000 PDT,-0.262236-0.177922j
2017-03-28 00:00:06.590000 PDT,-0.262779-0.17829j
2017-03-28 00:00:06.600000 PDT,-0.263322-0.178659j
2017-03-28 00:00:06.610000 PDT,-0.263866-0.179028j
2017-03-28 00:00:06.620000 PDT,-0.264409-0.179396j
2017-03-28 00:00:06.630000 PDT,-0.264952-0.179765j
2017-03-28 00:00:06.640000 PDT,-0.265495-0.180133j
2017-03-28 00:00:06.650000 PDT,-0.266038-0.180501j
2017-03-28 00:00:06.660000 PDT,-0.266581-0.18087j
2017-03-28 00:00:06.670000 PDT,-0.267124-0.181238j
2017-03-28 00:00:06.680000 PDT,-0.267667-0.181606j
2017-03-28 00:00:06.690000 PDT,-0.268209-0.181975j
2017-03-28 00:00:06.700000 PDT,-0.268752-0.182343j
2017-03-28 00:00:06.710000 PDT,-0.269295-0.182711j
2017-03-28 00:00:06.720000 PDT,-0.269838-0.183079j
2017-03-28 00:00:06.730000 PDT,-0.27038-0.183447j
2017-03-28 00:00:06.740000 PDT,-0.270923-0.183815j
2017-03-28 00:00:06.750000 PDT,-0.271465-0.184183j
2017-03-28 00:00:06.760000 PDT,-0.272008-0.184551j
2017-03-28 00:00:06.770000 PDT,-0.27255-0.184919j
2017-03-28 00:00:06.780000 PDT,-0.273093-0.185287j
2017-03-28 00:00:06.790000 PDT,-0.273635-0.185655j
2017-03-28 00:00:06.800000 PDT,-0.274177-0.186023j
2017-03-28 00:00:06.810000 PDT,-0.27472-0.186391j
2017-03-28 00:00:06.820000 PDT,-0.275262-0.186759j
2017-03-28 00:00:06.830000 PDT,-0.275804-0.187127j
2017-03-28 00:00:06.840000 PDT,-0.276347-0.187495j
2017-03-28 00:00:06.850000 PDT,-0.276889-0.187863j
2017-03-28 00:00:06.860000 PDT,-0.277431-0.188231j
2017-03-28 00:00:06.870000 PDT,-0.277974-0.188599j
2017-03-28 00:00:06.880000 PDT,-0.278516-0.188967j
2017-03-28 00:00:06.890000 PDT,-0.279058-0.189335j
2017-03-28 00:00:06.900000 PDT,-0.279601-0.189703j
2017-03-28 00:00:06.910000 PDT,-0.280143-0.190071j
2017-03-28 00:00:06.920000 PDT,-0.280685-0.190439j
2017-03-28 00:00:06.930000 PDT,-0.281228-0.190807j
2017-03-28 00:00:06.940000 PDT,-0.28177-0.191175j
2017-03-28 00:00:06.950000 PDT,-0.282313-0.191543j
2017-03-28 00:00:06.960000 PDT,-0.282855-0.191911j
2017-03-28 00:00:06.970000 PDT,-0.283398-0.192279j
2017-03-28 00:00:06.980000 PDT,-0.283941-0.192647j
2017-03-28 00:00:06.990000 PDT,-0.284483-0.193015j
2017-03-28 00:00:07.000000 PDT,-0.285026-0.193384j
2017-03-28 00:00:07.010000 PDT,-0.285569-0.193752j
2017-03-28 00:00:07.020000 PDT,-0.286112-0.19412j
2017-03-28 00:00:07.030000 PDT,-0.286655-0.194489j
2017-03-28 00:00:07.040000 PDT,-0.287198-0.194857j
2017-03-28 00:00:07.050000 PDT,-0.287742-0.195226j
2017-03-28 00:00:07.060000 PDT,-0.288285-0.195595j
2017-03-28 00:00:07.070000 PDT,-0.288829-0.195963j
2017-03-28 00:00:07.080000 PDT,-0.289372-0.196332j
2017-03-28 00:00:07.090000 PDT,-0.289916-0.196701j
2017-03-28 00:00:07.100000 PDT,-0.29046-0.19707j
2017-03-28 00:00:07.110000 PDT,-0.291004-0.197439j
2017-03-28 00:00:07.120000 PDT,-0.291549-0.197808j
2017-03-28 00:00:07.130000 PDT,-0.292093-0.198178j
2017-03-28 00:00:07.140000 PDT,-0.292638-0.198547j
2017-03-28 00:00:07.150000 PDT,-0.293182-0.198917j
2017-03-28 00:00:07.160000 PDT,-0.293727-0.199286j
2017-03-28 00:00:07.170000 PDT,-0.294272-0.199656j
2017-03-28 00:00:07.180000 PDT,-0.294818-0.200026j
2017-03-28 00:00:07.190000 PDT,-0.295363-0.200396j
2017-03-28 00:00:07.200000 PDT,-0.295909-0.200767j
2017-03-28 00:00:07.210000 PDT,-0.296455-0.201137j
2017-03-28 00:00:07.220000 PDT,-0.297001-0.201508j
2017-03-28 00:00:07.230000 PDT,-0.297547-0.201878j
2017-03-28 00:00:07.240000 PDT,-0.298094-0.202249j
2017-03-28 00:00:07.250000 PDT,-0.298641-0.20262j
2017-03-28 00:00:07.260000 PDT,-0.299188-0.202991j
2017-03-28 00:00:07.270000 PDT,-0.299736-0.203363j
2017-03-28 00:00:07.280000 PDT,-0.300283-0.203734j
2017-03-28 00:00:07.290000 PDT,-0.300831-0.204106j
2017-03-28 00:00:07.300000 PDT,-0.301379-0.204478j
2017-03-28 00:00:07.310000 PDT,-0.301928-0.20485j
2017-03-28 00:00:07.320000 PDT,-0.302477-0.205222j
2017-03-28 00:00:07.330000 PDT,-0.303026-0.205595j
2017-03-28 00:00:07.340000 PDT,-0.303575-0.205968j
2017-03-28 00:00:07.350000 PDT,-0.304125-0.20634j
2017-03-28 00:00:07.360000 PDT,-0.304675-0.206714j
2017-03-28 00:00:07.370000 PDT,-0.305225-0.207087j
2017-03-28 00:00:07.380000 PDT,-0.305776-0.20746j
2017-03-28 00:00:07.390000 PDT,-0.306327-0.207834j
2017-03-28 00:00:07.400000 PDT,-0.306878-0.208208j
2017-03-28 00:00:07.410000 PDT,-0.30743-0.208583j
2017-03-28 00:00:07.420000 PDT,-0.307982-0.208957j
2017-03-28 00:00:07.430000 PDT,-0.308534-0.209332j
2017-03-28 00:00:07.440000 PDT,-0.309087-0.209707j
2017-03-28 00:00:07.450000 PDT,-0.30964-0.210082j
2017-03-28 00:00:07.460000 PDT,-0.310193-0.210457j
2017-03-28 00:00:07.470000 PDT,-0.310747-0.210833j
2017-03-28 00:00:07.480000 PDT,-0.311301-0.211209j
2017-03-28 00:00:07.490000 PDT,-0.311855-0.211585j
2017-03-28 00:00:07.500000 PDT,-0.31241-0.211961j
2017-03-28 00:00:07.510000 PDT,-0.312965-0.212338j
2017-03-28 00:00:07.520000 PDT,-0.31352-0.212714j
2017-03-28 00:00:07.530000 PDT,-0.314076-0.213092j
2017-03-28 00:00:07.540000 PDT,-0.314632-0.213469j
2017-03-28 00:00:07.550000 PDT,-0.315189-0.213846j
2017-03-28 00:00:07.560000 PDT,-0.315746-0.214224j
2017-03-28 00:00:07.570000 PDT,-0.316303-0.214602j
2017-03-28 00:00:07.580000 PDT,-0.31686-0.21498j
2017-03-28 00:00:07.590000 PDT,-0.317418-0.215359j
2017-03-28 00:00:07.600000 PDT,-0.317976-0.215737j
2017-03-28 00:00:07.610000 PDT,-0.318535-0.216116j
2017-03-28 00:00:07.620000 PDT,-0.319094-0.216495j
2017-03-28 00:00:07.630000 PDT,-0.319653-0.216875j
2017-03-28 00:00:07.640000 PDT,-0.320212-0.217254j
2017-03-28 00:00:07.650000 PDT,-0.320772-0.217634j
2017-03-28 00:00:07.660000 PDT,-0.321332-0.218014j
2017-03-28 00:00:07.670000 PDT,-0.321892-0.218394j
2017-03-28 00:00:07.680000 PDT,-0.322453-0.218774j
2017-03-28 00:00:07.690000 PDT,-0.323014-0.219155j
2017-03-28 00:00:07.700000 PDT,-0.323575-0.219535j
2017-03-28 00:00:07.710000 PDT,-0.324136-0.219916j
2017-03-28 00:00:07.720000 PDT,-0.324697-0.220297j
2017-03-28 00:00:07.730000 PDT,-0.325259-0.220678j
2017-03-28 00:00:07.740000 PDT,-0.325821-0.221059j
2017-03-28 00:00:07.750000 PDT,-0.326383-0.221441j
2017-03-28 00:00:07.760000 PDT,-0.326945-0.221822j
2017-03-28 00:00:07.770000 PDT,-0.327507-0.222203j
2017-03-28 00:00:07.780000 PDT,-0.32807-0.222585j
2017-03-28 00:00:07.790000 PDT,-0.328632-0.222966j
2017-03-28 00:00:07.800000 PDT,-0.329195-0.223348j
2017-03-28 00:00:07.810000 PDT,-0.329757-0.22373j
2017-03-28 00:00:07.820000 PDT,-0.33032-0.224111j
2017-03-28 00:00:07.830000 PDT,-0.330882-0.224493j
2017-03-28 00:00:07.840000 PDT,-0.331445-0.224875j
2017-03-28 00:00:07.850000 PDT,-0.332007-0.225256j
2017-03-28 00:00:07.860000 PDT,-0.33257-0.225638j
2017-03-28 00:00:07.870000 PDT,-0.333132-0.226019j
2017-03-28 00:00:07.880000 PDT,-0.333694-0.2264j
2017-03-28 00:00:07.890000 PDT,-0.334255-0.226781j
2017-03-28 00:00:07.900000 PDT,-0.334817-0.227162j
2017-03-28 00:00:07.910000 PDT,-0.335378-0.227543j
2017-03-28 00:00:07.920000 PDT,-0.335939-0.227924j
2017-03-28 00:00:07.930000 PDT,-0.3365-0.228304j
2017-03-28 00:00:07.940000 PDT,-0.33706-0.228684j
2017-03-28 00:00:07.950000 PDT,-0.337619-0.229063j
2017-03-28 00:00:07.960000 PDT,-0.338179-0.229443j
2017-03-28 00:00:07.970000 PDT,-0.338737-0.229822j
2017-03-28 00:00:07.980000 PDT,-0.339295-0.2302j
2017-03-28 00:00:07.990000 PDT,-0.339852-0.230578j
2017-03-28 00:00:08.000000 PDT,-0.340409-0.230956j
2017-03-28 00:00:08.010000 PDT,-0.340965-0.231333j
2017-03-28 00:00:08.020000 PDT,-0.34152-0.23171j
2017-03-28 00:00:08.030000 PDT,-0.342074-0.232085j
2017-03-28 00:00:08.040000 PDT,-0.342627-0.232461j
2017-03-28 00:00:08.050000 PDT,-0.343179-0.232835j
2017-03-28 00:00:08.060000 PDT,-0.34373-0.233209j
2017-03-28 00:00:08.070000 PDT,-0.34428-0.233582j
2017-03-28 00:00:08.080000 PDT,-0.344829-0.233954j
2017-03-28 00:00:08.090000 PDT,-0.345376-0.234326j
2017-03-28 00:00:08.100000 PDT,-0.345922-0.234696j
2017-03-28 00:00:08.110000 PDT,-0.346467-0.235065j
2017-03-28 00:00:08.120000 PDT,-0.34701-0.235434j
2017-03-28 00:00:08.130000 PDT,-0.347551-0.235801j
2017-03-28 00:00:08.140000 PDT,-0.348091-0.236167j
2017-03-28 00:00:08.150000 PDT,-0.348628-0.236532j
2017-03-28 00:00:08.160000 PDT,-0.349164-0.236896j
2017-03-28 00:00:08.170000 PDT,-0.349698-0.237258j
2017-03-28 00:00:08.180000 PDT,-0.35023-0.237619j
2017-03-28 00:00:08.190000 PDT,-0.35076-0.237978j
2017-03-28 00:00:08.200000 PDT,-0.351287-0.238336j
2017-03-28 00:00:08.210000 PDT,-0.351837-0.238709j
2017-03-28 00:00:09 PDT,-0.351837-0.238709j
2017-03-28 00:00:10 PDT,-0.351837-0.238709j
2017-03-28 00:00:11 PDT,-0.351837-0.238709j
2017-03-28 00:00:12.000000 PDT,-0.351837-0.238709j
2017-03-28 00:00:12.010000 PDT,-0.351869-0.23873j
2017-03-28 00:00:12.020000 PDT,-0.351102-0.23821j
2017-03-28 00:00:12.030000 PDT,-0.35033-0.237686j
2017-03-28 00:00:12.040000 PDT,-0.349555-0.23716j
2017-03-28 00:00:12.050000 PDT,-0.348775-0.236632j
2017-03-28 00:00:12.060000 PDT,-0.347992-0.2361j
2017-03-28 00:00:12.070000 PDT,-0.347206-0.235567j
2017-03-28 00:00:12.080000 PDT,-0.346417-0.235032j
2017-03-28 00:00:12.090000 PDT,-0.345625-0.234494j
2017-03-28 00:00:12.100000 PDT,-0.34483-0.233955j
2017-03-28 00:00:12.110000 PDT,-0.344033-0.233414j
2017-03-28 00:00:12.120000 PDT,-0.343234-0.232872j
2017-03-28 00:00:12.130000 PDT,-0.342433-0.232329j
2017-03-28 00:00:12.140000 PDT,-0.34163-0.231784j
2017-03-28 00:00:12.150000 PDT,-0.340825-0.231238j
2017-03-28 00:00:12.160000 PDT,-0.34002-0.230692j
2017-03-28 00:00:12.170000 PDT,-0.339212-0.230144j
2017-03-28 00:00:12.180000 PDT,-0.338404-0.229596j
2017-03-28 00:00:12.190000 PDT,-0.337595-0.229047j
2017-03-28 00:00:12.200000 PDT,-0.336785-0.228497j
2017-03-28 00:00:12.210000 PDT,-0.335974-0.227947j
2017-03-28 00:00:12.220000 PDT,-0.335163-0.227397j
2017-03-28 00:00:12.230000 PDT,-0.334351-0.226846j
2017-03-28 00:00:12.240000 PDT,-0.333539-0.226295j
2017-03-28 00:00:12.250000 PDT,-0.332726-0.225744j
2017-03-28 00:00:12.260000 PDT,-0.331914-0.225193j
2017-03-28 00:00:12.270000 PDT,-0.331101-0.224641j
