# file...... ../data_vfd_in_rec_pow_A.csv
# date...... Wed Apr 26 14:48:24 2017
# user...... gour967
# host...... (null)
# target.... vfd 20
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,power_in_A
2017-03-28 00:00:05.480000 PDT,+925.39+448.187j
2017-03-28 00:00:05.490000 PDT,+927.832+449.369j
2017-03-28 00:00:05.500000 PDT,+930.274+450.552j
2017-03-28 00:00:05.510000 PDT,+932.718+451.736j
2017-03-28 00:00:05.520000 PDT,+935.163+452.92j
2017-03-28 00:00:05.530000 PDT,+937.608+454.104j
2017-03-28 00:00:05.540000 PDT,+940.055+455.29j
2017-03-28 00:00:05.550000 PDT,+942.503+456.475j
2017-03-28 00:00:05.560000 PDT,+944.952+457.661j
2017-03-28 00:00:05.570000 PDT,+947.402+458.848j
2017-03-28 00:00:05.580000 PDT,+949.853+460.035j
2017-03-28 00:00:05.590000 PDT,+952.305+461.222j
2017-03-28 00:00:05.600000 PDT,+954.758+462.41j
2017-03-28 00:00:05.610000 PDT,+957.212+463.599j
2017-03-28 00:00:05.620000 PDT,+959.667+464.788j
2017-03-28 00:00:05.630000 PDT,+962.123+465.977j
2017-03-28 00:00:05.640000 PDT,+964.58+467.168j
2017-03-28 00:00:05.650000 PDT,+967.038+468.358j
2017-03-28 00:00:05.660000 PDT,+969.497+469.549j
2017-03-28 00:00:05.670000 PDT,+971.957+470.74j
2017-03-28 00:00:05.680000 PDT,+974.418+471.932j
2017-03-28 00:00:05.690000 PDT,+976.88+473.125j
2017-03-28 00:00:05.700000 PDT,+979.343+474.317j
2017-03-28 00:00:05.710000 PDT,+981.807+475.511j
2017-03-28 00:00:05.720000 PDT,+984.271+476.704j
2017-03-28 00:00:05.730000 PDT,+986.737+477.899j
2017-03-28 00:00:05.740000 PDT,+989.203+479.093j
2017-03-28 00:00:05.750000 PDT,+991.671+480.288j
2017-03-28 00:00:05.760000 PDT,+994.139+481.483j
2017-03-28 00:00:05.770000 PDT,+996.608+482.679j
