# timestamp,rotor_speed
2009-01-01 00:00:00 PST,365.50555
2009-01-01 00:00:05.000400 PST,365.5056
2009-01-01 00:00:05.000600 PST,365.50576
2009-01-01 00:00:05.000800 PST,365.50609
2009-01-01 00:00:05.001000 PST,365.50663
2009-01-01 00:00:05.001200 PST,365.50743
2009-01-01 00:00:05.001400 PST,365.50793
2009-01-01 00:00:05.001600 PST,365.50747
2009-01-01 00:00:05.001800 PST,365.50581
2009-01-01 00:00:05.002000 PST,365.50297
2009-01-01 00:00:05.002200 PST,365.49898
2009-01-01 00:00:05.002400 PST,365.49386
2009-01-01 00:00:05.002600 PST,365.48764
2009-01-01 00:00:05.002800 PST,365.48034
2009-01-01 00:00:05.003000 PST,365.472
2009-01-01 00:00:05.003200 PST,365.46265
2009-01-01 00:00:05.003400 PST,365.45232
2009-01-01 00:00:05.003600 PST,365.44103
2009-01-01 00:00:05.003800 PST,365.42882
2009-01-01 00:00:05.004000 PST,365.41573
2009-01-01 00:00:05.004200 PST,365.40178
2009-01-01 00:00:05.004400 PST,365.38701
2009-01-01 00:00:05.004600 PST,365.37145
2009-01-01 00:00:05.004800 PST,365.35514
2009-01-01 00:00:05.005000 PST,365.33811
2009-01-01 00:00:05.005200 PST,365.32039
2009-01-01 00:00:05.005400 PST,365.30203
2009-01-01 00:00:05.005600 PST,365.28305
2009-01-01 00:00:05.005800 PST,365.26349
2009-01-01 00:00:05.006000 PST,365.24339
2009-01-01 00:00:05.006200 PST,365.22278
2009-01-01 00:00:05.006400 PST,365.2017
2009-01-01 00:00:05.006600 PST,365.18019
2009-01-01 00:00:05.006800 PST,365.15827
2009-01-01 00:00:05.007000 PST,365.13598
2009-01-01 00:00:05.007200 PST,365.11336
2009-01-01 00:00:05.007400 PST,365.09045
2009-01-01 00:00:05.007600 PST,365.06727
2009-01-01 00:00:05.007800 PST,365.04386
2009-01-01 00:00:05.008000 PST,365.02025
2009-01-01 00:00:05.008200 PST,364.99649
2009-01-01 00:00:05.008400 PST,364.97259
2009-01-01 00:00:05.008600 PST,364.94859
2009-01-01 00:00:05.008800 PST,364.92453
2009-01-01 00:00:05.009000 PST,364.90043
2009-01-01 00:00:05.009200 PST,364.87633
2009-01-01 00:00:05.009400 PST,364.85225
2009-01-01 00:00:05.009600 PST,364.82823
2009-01-01 00:00:05.009800 PST,364.80429
2009-01-01 00:00:05.010000 PST,364.78046
2009-01-01 00:00:05.010200 PST,364.75677
2009-01-01 00:00:05.010400 PST,364.73324
2009-01-01 00:00:05.010600 PST,364.7099
2009-01-01 00:00:05.010800 PST,364.68678
2009-01-01 00:00:05.011000 PST,364.66389
2009-01-01 00:00:05.011200 PST,364.64126
