# file...... ../data_vfd_in_rec_curr_A.csv
# date...... Wed Apr 26 14:48:24 2017
# user...... gour967
# host...... (null)
# target.... vfd 20
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,current_in_A
2017-03-28 00:00:05.440000 PDT,+0.218014-0.105595j
2017-03-28 00:00:05.450000 PDT,+0.218595-0.105876j
2017-03-28 00:00:05.460000 PDT,+0.219175-0.106158j
2017-03-28 00:00:05.470000 PDT,+0.219756-0.106439j
2017-03-28 00:00:05.480000 PDT,+0.220337-0.10672j
2017-03-28 00:00:05.490000 PDT,+0.220919-0.107002j
2017-03-28 00:00:05.500000 PDT,+0.2215-0.107284j
2017-03-28 00:00:05.510000 PDT,+0.222082-0.107566j
2017-03-28 00:00:05.520000 PDT,+0.222664-0.107848j
2017-03-28 00:00:05.530000 PDT,+0.223246-0.10813j
2017-03-28 00:00:05.540000 PDT,+0.223829-0.108412j
2017-03-28 00:00:05.550000 PDT,+0.224412-0.108694j
2017-03-28 00:00:05.560000 PDT,+0.224995-0.108977j
2017-03-28 00:00:05.570000 PDT,+0.225578-0.109259j
2017-03-28 00:00:05.580000 PDT,+0.226162-0.109542j
2017-03-28 00:00:05.590000 PDT,+0.226746-0.109825j
2017-03-28 00:00:05.600000 PDT,+0.22733-0.110108j
2017-03-28 00:00:05.610000 PDT,+0.227914-0.110391j
2017-03-28 00:00:05.620000 PDT,+0.228499-0.110674j
2017-03-28 00:00:05.630000 PDT,+0.229084-0.110957j
2017-03-28 00:00:05.640000 PDT,+0.229669-0.11124j
2017-03-28 00:00:05.650000 PDT,+0.230254-0.111524j
2017-03-28 00:00:05.660000 PDT,+0.230839-0.111808j
2017-03-28 00:00:05.670000 PDT,+0.231425-0.112091j
2017-03-28 00:00:05.680000 PDT,+0.232011-0.112375j
2017-03-28 00:00:05.690000 PDT,+0.232597-0.112659j
2017-03-28 00:00:05.700000 PDT,+0.233184-0.112943j
2017-03-28 00:00:05.710000 PDT,+0.23377-0.113227j
2017-03-28 00:00:05.720000 PDT,+0.234357-0.113512j
2017-03-28 00:00:05.730000 PDT,+0.234944-0.113796j
2017-03-28 00:00:05.740000 PDT,+0.235532-0.11408j
2017-03-28 00:00:05.750000 PDT,+0.236119-0.114365j
2017-03-28 00:00:05.760000 PDT,+0.236707-0.11465j
2017-03-28 00:00:05.770000 PDT,+0.237295-0.114934j
2017-03-28 00:00:05.780000 PDT,+0.237883-0.115219j
2017-03-28 00:00:05.790000 PDT,+0.238471-0.115504j
2017-03-28 00:00:05.800000 PDT,+0.23906-0.115789j
2017-03-28 00:00:05.810000 PDT,+0.239648-0.116074j
2017-03-28 00:00:05.820000 PDT,+0.240237-0.11636j
2017-03-28 00:00:05.830000 PDT,+0.240826-0.116645j
2017-03-28 00:00:05.840000 PDT,+0.241415-0.11693j
2017-03-28 00:00:05.850000 PDT,+0.242005-0.117216j
2017-03-28 00:00:05.860000 PDT,+0.242594-0.117501j
2017-03-28 00:00:05.870000 PDT,+0.243184-0.117787j
2017-03-28 00:00:05.880000 PDT,+0.243774-0.118073j
2017-03-28 00:00:05.890000 PDT,+0.244364-0.118359j
2017-03-28 00:00:05.900000 PDT,+0.244954-0.118644j
2017-03-28 00:00:05.910000 PDT,+0.245544-0.11893j
2017-03-28 00:00:05.920000 PDT,+0.246135-0.119216j
2017-03-28 00:00:05.930000 PDT,+0.246725-0.119502j
2017-03-28 00:00:05.940000 PDT,+0.247316-0.119789j
2017-03-28 00:00:05.950000 PDT,+0.247907-0.120075j
2017-03-28 00:00:05.960000 PDT,+0.248498-0.120361j
2017-03-28 00:00:05.970000 PDT,+0.249089-0.120647j
2017-03-28 00:00:05.980000 PDT,+0.24968-0.120934j
2017-03-28 00:00:05.990000 PDT,+0.250272-0.12122j
2017-03-28 00:00:06.000000 PDT,+0.250863-0.121507j
2017-03-28 00:00:06.010000 PDT,+0.251455-0.121793j
2017-03-28 00:00:06.020000 PDT,+0.252046-0.12208j
2017-03-28 00:00:06.030000 PDT,+0.252638-0.122366j
2017-03-28 00:00:06.040000 PDT,+0.25323-0.122653j
2017-03-28 00:00:06.050000 PDT,+0.253822-0.12294j
2017-03-28 00:00:06.060000 PDT,+0.254414-0.123226j
2017-03-28 00:00:06.070000 PDT,+0.255006-0.123513j
2017-03-28 00:00:06.080000 PDT,+0.255598-0.1238j
2017-03-28 00:00:06.090000 PDT,+0.25619-0.124087j
2017-03-28 00:00:06.100000 PDT,+0.256782-0.124374j
2017-03-28 00:00:06.110000 PDT,+0.257375-0.124661j
2017-03-28 00:00:06.120000 PDT,+0.257967-0.124948j
2017-03-28 00:00:06.130000 PDT,+0.258559-0.125235j
2017-03-28 00:00:06.140000 PDT,+0.259152-0.125522j
2017-03-28 00:00:06.150000 PDT,+0.259744-0.125809j
2017-03-28 00:00:06.160000 PDT,+0.260337-0.126096j
2017-03-28 00:00:06.170000 PDT,+0.260929-0.126383j
2017-03-28 00:00:06.180000 PDT,+0.261522-0.12667j
2017-03-28 00:00:06.190000 PDT,+0.262114-0.126957j
2017-03-28 00:00:06.200000 PDT,+0.262707-0.127244j
2017-03-28 00:00:06.210000 PDT,+0.2633-0.127531j
2017-03-28 00:00:06.220000 PDT,+0.263892-0.127818j
2017-03-28 00:00:06.230000 PDT,+0.264485-0.128105j
2017-03-28 00:00:06.240000 PDT,+0.265078-0.128392j
2017-03-28 00:00:06.250000 PDT,+0.26567-0.128679j
2017-03-28 00:00:06.260000 PDT,+0.266263-0.128966j
2017-03-28 00:00:06.270000 PDT,+0.266856-0.129253j
2017-03-28 00:00:06.280000 PDT,+0.267448-0.12954j
2017-03-28 00:00:06.290000 PDT,+0.268041-0.129827j
2017-03-28 00:00:06.300000 PDT,+0.268633-0.130114j
2017-03-28 00:00:06.310000 PDT,+0.269226-0.130401j
2017-03-28 00:00:06.320000 PDT,+0.269818-0.130688j
2017-03-28 00:00:06.330000 PDT,+0.270411-0.130975j
2017-03-28 00:00:06.340000 PDT,+0.271003-0.131262j
2017-03-28 00:00:06.350000 PDT,+0.271596-0.131549j
2017-03-28 00:00:06.360000 PDT,+0.272188-0.131836j
2017-03-28 00:00:06.370000 PDT,+0.272781-0.132123j
2017-03-28 00:00:06.380000 PDT,+0.273373-0.13241j
2017-03-28 00:00:06.390000 PDT,+0.273965-0.132697j
2017-03-28 00:00:06.400000 PDT,+0.274557-0.132984j
2017-03-28 00:00:06.410000 PDT,+0.27515-0.133271j
2017-03-28 00:00:06.420000 PDT,+0.275742-0.133558j
2017-03-28 00:00:06.430000 PDT,+0.276334-0.133844j
2017-03-28 00:00:06.440000 PDT,+0.276926-0.134131j
2017-03-28 00:00:06.450000 PDT,+0.277518-0.134418j
2017-03-28 00:00:06.460000 PDT,+0.27811-0.134705j
2017-03-28 00:00:06.470000 PDT,+0.278701-0.134991j
2017-03-28 00:00:06.480000 PDT,+0.279293-0.135278j
2017-03-28 00:00:06.490000 PDT,+0.279885-0.135564j
2017-03-28 00:00:06.500000 PDT,+0.280476-0.135851j
2017-03-28 00:00:06.510000 PDT,+0.281068-0.136138j
2017-03-28 00:00:06.520000 PDT,+0.281659-0.136424j
2017-03-28 00:00:06.530000 PDT,+0.282251-0.136711j
2017-03-28 00:00:06.540000 PDT,+0.282842-0.136997j
2017-03-28 00:00:06.550000 PDT,+0.283433-0.137283j
2017-03-28 00:00:06.560000 PDT,+0.284025-0.13757j
