# file...... ../data_vfd_out_rec_pow_B.csv
# date...... Wed Apr 26 14:48:24 2017
# user...... gour967
# host...... (null)
# target.... vfd 20
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,power_out_B
2017-03-28 00:00:05.980000 PDT,+1015.69+491.919j
2017-03-28 00:00:05.990000 PDT,+1018.12+493.099j
2017-03-28 00:00:06.000000 PDT,+1020.56+494.278j
2017-03-28 00:00:06.010000 PDT,+1022.99+495.458j
2017-03-28 00:00:06.020000 PDT,+1025.43+496.638j
2017-03-28 00:00:06.030000 PDT,+1027.86+497.817j
2017-03-28 00:00:06.040000 PDT,+1030.3+498.997j
2017-03-28 00:00:06.050000 PDT,+1032.74+500.177j
2017-03-28 00:00:06.060000 PDT,+1035.17+501.356j
2017-03-28 00:00:06.070000 PDT,+1037.61+502.536j
2017-03-28 00:00:06.080000 PDT,+1040.04+503.716j
2017-03-28 00:00:06.090000 PDT,+1042.48+504.895j
2017-03-28 00:00:06.100000 PDT,+1044.91+506.075j
2017-03-28 00:00:06.110000 PDT,+1047.35+507.255j
2017-03-28 00:00:06.120000 PDT,+1049.79+508.434j
2017-03-28 00:00:06.130000 PDT,+1052.22+509.614j
2017-03-28 00:00:06.140000 PDT,+1054.66+510.793j
2017-03-28 00:00:06.150000 PDT,+1057.09+511.973j
2017-03-28 00:00:06.160000 PDT,+1059.53+513.153j
2017-03-28 00:00:06.170000 PDT,+1061.96+514.332j
2017-03-28 00:00:06.180000 PDT,+1064.4+515.512j
2017-03-28 00:00:06.190000 PDT,+1066.84+516.692j
2017-03-28 00:00:06.200000 PDT,+1069.27+517.871j
2017-03-28 00:00:06.210000 PDT,+1071.71+519.051j
2017-03-28 00:00:06.220000 PDT,+1074.14+520.231j
2017-03-28 00:00:06.230000 PDT,+1076.58+521.41j
2017-03-28 00:00:06.240000 PDT,+1079.01+522.59j
2017-03-28 00:00:06.250000 PDT,+1081.45+523.77j
2017-03-28 00:00:06.260000 PDT,+1083.88+524.949j
2017-03-28 00:00:06.270000 PDT,+1086.32+526.129j
2017-03-28 00:00:06.280000 PDT,+1088.76+527.309j
2017-03-28 00:00:06.290000 PDT,+1091.19+528.488j
2017-03-28 00:00:06.300000 PDT,+1093.63+529.668j
2017-03-28 00:00:06.310000 PDT,+1096.06+530.848j
2017-03-28 00:00:06.320000 PDT,+1098.5+532.027j
2017-03-28 00:00:06.330000 PDT,+1100.93+533.207j
2017-03-28 00:00:06.340000 PDT,+1103.37+534.387j
2017-03-28 00:00:06.350000 PDT,+1105.81+535.566j
2017-03-28 00:00:06.360000 PDT,+1108.24+536.746j
2017-03-28 00:00:06.370000 PDT,+1110.68+537.926j
2017-03-28 00:00:06.380000 PDT,+1113.11+539.105j
2017-03-28 00:00:06.390000 PDT,+1115.55+540.285j
