# file...... ../data_vfd_in_rec_curr_C.csv
# date...... Wed Apr 26 14:48:24 2017
# user...... gour967
# host...... (null)
# target.... vfd 20
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,current_in_C
2017-03-28 00:00:05.770000 PDT,-0.0191094+0.262968j
2017-03-28 00:00:05.780000 PDT,-0.0191568+0.26362j
2017-03-28 00:00:05.790000 PDT,-0.0192041+0.264272j
2017-03-28 00:00:05.800000 PDT,-0.0192515+0.264924j
2017-03-28 00:00:05.810000 PDT,-0.0192989+0.265577j
2017-03-28 00:00:05.820000 PDT,-0.0193463+0.266229j
2017-03-28 00:00:05.830000 PDT,-0.0193937+0.266882j
2017-03-28 00:00:05.840000 PDT,-0.0194411+0.267535j
2017-03-28 00:00:05.850000 PDT,-0.0194886+0.268188j
2017-03-28 00:00:05.860000 PDT,-0.019536+0.268841j
2017-03-28 00:00:05.870000 PDT,-0.0195835+0.269495j
2017-03-28 00:00:05.880000 PDT,-0.019631+0.270149j
2017-03-28 00:00:05.890000 PDT,-0.0196785+0.270802j
2017-03-28 00:00:05.900000 PDT,-0.019726+0.271456j
2017-03-28 00:00:05.910000 PDT,-0.0197735+0.272111j
2017-03-28 00:00:05.920000 PDT,-0.019821+0.272765j
2017-03-28 00:00:05.930000 PDT,-0.0198685+0.273419j
2017-03-28 00:00:05.940000 PDT,-0.0199161+0.274074j
2017-03-28 00:00:05.950000 PDT,-0.0199637+0.274729j
2017-03-28 00:00:05.960000 PDT,-0.0200112+0.275384j
2017-03-28 00:00:05.970000 PDT,-0.0200588+0.276039j
2017-03-28 00:00:05.980000 PDT,-0.0201064+0.276694j
2017-03-28 00:00:05.990000 PDT,-0.020154+0.277349j
2017-03-28 00:00:06.000000 PDT,-0.0202016+0.278005j
2017-03-28 00:00:06.010000 PDT,-0.0202492+0.27866j
2017-03-28 00:00:06.020000 PDT,-0.0202968+0.279316j
2017-03-28 00:00:06.030000 PDT,-0.0203445+0.279972j
2017-03-28 00:00:06.040000 PDT,-0.0203921+0.280628j
2017-03-28 00:00:06.050000 PDT,-0.0204397+0.281284j
2017-03-28 00:00:06.060000 PDT,-0.0204874+0.28194j
2017-03-28 00:00:06.070000 PDT,-0.020535+0.282596j
2017-03-28 00:00:06.080000 PDT,-0.0205827+0.283252j
2017-03-28 00:00:06.090000 PDT,-0.0206304+0.283908j
2017-03-28 00:00:06.100000 PDT,-0.020678+0.284564j
2017-03-28 00:00:06.110000 PDT,-0.0207257+0.285221j
2017-03-28 00:00:06.120000 PDT,-0.0207734+0.285877j
2017-03-28 00:00:06.130000 PDT,-0.0208211+0.286534j
2017-03-28 00:00:06.140000 PDT,-0.0208688+0.28719j
2017-03-28 00:00:06.150000 PDT,-0.0209164+0.287847j
2017-03-28 00:00:06.160000 PDT,-0.0209641+0.288504j
2017-03-28 00:00:06.170000 PDT,-0.0210118+0.28916j
2017-03-28 00:00:06.180000 PDT,-0.0210595+0.289817j
2017-03-28 00:00:06.190000 PDT,-0.0211072+0.290474j
2017-03-28 00:00:06.200000 PDT,-0.0211549+0.29113j
2017-03-28 00:00:06.210000 PDT,-0.0212026+0.291787j
2017-03-28 00:00:06.220000 PDT,-0.0212503+0.292444j
2017-03-28 00:00:06.230000 PDT,-0.021298+0.293101j
2017-03-28 00:00:06.240000 PDT,-0.0213457+0.293758j
2017-03-28 00:00:06.250000 PDT,-0.0213934+0.294414j
2017-03-28 00:00:06.260000 PDT,-0.0214411+0.295071j
2017-03-28 00:00:06.270000 PDT,-0.0214888+0.295728j
2017-03-28 00:00:06.280000 PDT,-0.0215365+0.296385j
2017-03-28 00:00:06.290000 PDT,-0.0215842+0.297041j
2017-03-28 00:00:06.300000 PDT,-0.0216319+0.297698j
2017-03-28 00:00:06.310000 PDT,-0.0216796+0.298355j
2017-03-28 00:00:06.320000 PDT,-0.0217273+0.299011j
2017-03-28 00:00:06.330000 PDT,-0.021775+0.299668j
2017-03-28 00:00:06.340000 PDT,-0.0218227+0.300325j
2017-03-28 00:00:06.350000 PDT,-0.0218704+0.300981j
2017-03-28 00:00:06.360000 PDT,-0.021918+0.301638j
2017-03-28 00:00:06.370000 PDT,-0.0219657+0.302294j
2017-03-28 00:00:06.380000 PDT,-0.0220134+0.30295j
2017-03-28 00:00:06.390000 PDT,-0.0220611+0.303607j
2017-03-28 00:00:06.400000 PDT,-0.0221087+0.304263j
2017-03-28 00:00:06.410000 PDT,-0.0221564+0.304919j
2017-03-28 00:00:06.420000 PDT,-0.022204+0.305575j
2017-03-28 00:00:06.430000 PDT,-0.0222517+0.306232j
2017-03-28 00:00:06.440000 PDT,-0.0222993+0.306888j
2017-03-28 00:00:06.450000 PDT,-0.022347+0.307544j
2017-03-28 00:00:06.460000 PDT,-0.0223946+0.308199j
2017-03-28 00:00:06.470000 PDT,-0.0224422+0.308855j
2017-03-28 00:00:06.480000 PDT,-0.0224899+0.309511j
2017-03-28 00:00:06.490000 PDT,-0.0225375+0.310167j
2017-03-28 00:00:06.500000 PDT,-0.0225851+0.310822j
2017-03-28 00:00:06.510000 PDT,-0.0226327+0.311478j
2017-03-28 00:00:06.520000 PDT,-0.0226803+0.312133j
2017-03-28 00:00:06.530000 PDT,-0.0227279+0.312789j
2017-03-28 00:00:06.540000 PDT,-0.0227755+0.313444j
2017-03-28 00:00:06.550000 PDT,-0.0228231+0.314099j
2017-03-28 00:00:06.560000 PDT,-0.0228707+0.314754j
2017-03-28 00:00:06.570000 PDT,-0.0229182+0.31541j
2017-03-28 00:00:06.580000 PDT,-0.0229658+0.316065j
2017-03-28 00:00:06.590000 PDT,-0.0230134+0.31672j
2017-03-28 00:00:06.600000 PDT,-0.0230609+0.317374j
2017-03-28 00:00:06.610000 PDT,-0.0231085+0.318029j
2017-03-28 00:00:06.620000 PDT,-0.023156+0.318684j
2017-03-28 00:00:06.630000 PDT,-0.0232036+0.319338j
2017-03-28 00:00:06.640000 PDT,-0.0232511+0.319993j
2017-03-28 00:00:06.650000 PDT,-0.0232986+0.320647j
2017-03-28 00:00:06.660000 PDT,-0.0233462+0.321302j
2017-03-28 00:00:06.670000 PDT,-0.0233937+0.321956j
2017-03-28 00:00:06.680000 PDT,-0.0234412+0.32261j
2017-03-28 00:00:06.690000 PDT,-0.0234887+0.323265j
2017-03-28 00:00:06.700000 PDT,-0.0235362+0.323919j
2017-03-28 00:00:06.710000 PDT,-0.0235837+0.324573j
2017-03-28 00:00:06.720000 PDT,-0.0236312+0.325227j
2017-03-28 00:00:06.730000 PDT,-0.0236787+0.325881j
2017-03-28 00:00:06.740000 PDT,-0.0237262+0.326535j
2017-03-28 00:00:06.750000 PDT,-0.0237737+0.327189j
2017-03-28 00:00:06.760000 PDT,-0.0238212+0.327843j
2017-03-28 00:00:06.770000 PDT,-0.0238686+0.328496j
2017-03-28 00:00:06.780000 PDT,-0.0239161+0.32915j
2017-03-28 00:00:06.790000 PDT,-0.0239636+0.329804j
2017-03-28 00:00:06.800000 PDT,-0.024011+0.330457j
2017-03-28 00:00:06.810000 PDT,-0.0240585+0.331111j
2017-03-28 00:00:06.820000 PDT,-0.024106+0.331765j
2017-03-28 00:00:06.830000 PDT,-0.0241535+0.332418j
2017-03-28 00:00:06.840000 PDT,-0.0242009+0.333072j
2017-03-28 00:00:06.850000 PDT,-0.0242484+0.333726j
2017-03-28 00:00:06.860000 PDT,-0.0242958+0.334379j
2017-03-28 00:00:06.870000 PDT,-0.0243433+0.335033j
2017-03-28 00:00:06.880000 PDT,-0.0243908+0.335686j
2017-03-28 00:00:06.890000 PDT,-0.0244382+0.33634j
2017-03-28 00:00:06.900000 PDT,-0.0244857+0.336994j
2017-03-28 00:00:06.910000 PDT,-0.0245332+0.337647j
2017-03-28 00:00:06.920000 PDT,-0.0245807+0.338301j
2017-03-28 00:00:06.930000 PDT,-0.0246281+0.338955j
2017-03-28 00:00:06.940000 PDT,-0.0246756+0.339609j
2017-03-28 00:00:06.950000 PDT,-0.0247231+0.340263j
2017-03-28 00:00:06.960000 PDT,-0.0247706+0.340917j
2017-03-28 00:00:06.970000 PDT,-0.0248181+0.341571j
2017-03-28 00:00:06.980000 PDT,-0.0248656+0.342225j
2017-03-28 00:00:06.990000 PDT,-0.0249131+0.342879j
2017-03-28 00:00:07.000000 PDT,-0.0249606+0.343533j
2017-03-28 00:00:07.010000 PDT,-0.0250081+0.344187j
2017-03-28 00:00:07.020000 PDT,-0.0250556+0.344842j
2017-03-28 00:00:07.030000 PDT,-0.0251032+0.345496j
2017-03-28 00:00:07.040000 PDT,-0.0251507+0.346151j
2017-03-28 00:00:07.050000 PDT,-0.0251983+0.346806j
2017-03-28 00:00:07.060000 PDT,-0.0252458+0.347461j
2017-03-28 00:00:07.070000 PDT,-0.0252934+0.348116j
2017-03-28 00:00:07.080000 PDT,-0.025341+0.348771j
2017-03-28 00:00:07.090000 PDT,-0.0253886+0.349427j
2017-03-28 00:00:07.100000 PDT,-0.0254362+0.350082j
2017-03-28 00:00:07.110000 PDT,-0.0254838+0.350738j
2017-03-28 00:00:07.120000 PDT,-0.0255314+0.351394j
2017-03-28 00:00:07.130000 PDT,-0.0255791+0.35205j
2017-03-28 00:00:07.140000 PDT,-0.0256267+0.352706j
2017-03-28 00:00:07.150000 PDT,-0.0256744+0.353363j
2017-03-28 00:00:07.160000 PDT,-0.0257221+0.35402j
