# file...... ../data_vfd_out_rec_curr_B.csv
# date...... Wed Apr 26 14:48:24 2017
# user...... gour967
# host...... (null)
# target.... vfd 20
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,current_out_B
2017-03-28 00:00:07.450000 PDT,+0.238095+150.033d
2017-03-28 00:00:07.460000 PDT,+0.238095+124.72d
2017-03-28 00:00:07.470000 PDT,+0.238095+99.7455d
2017-03-28 00:00:07.480000 PDT,+0.238095+75.108d
2017-03-28 00:00:07.490000 PDT,+0.238095+50.808d
2017-03-28 00:00:07.500000 PDT,+0.238095+26.8455d
2017-03-28 00:00:07.510000 PDT,+0.238095+3.22057d
2017-03-28 00:00:07.520000 PDT,+0.238095-20.0669d
2017-03-28 00:00:07.530000 PDT,+0.238095-43.0169d
2017-03-28 00:00:07.540000 PDT,+0.238095-65.6294d
2017-03-28 00:00:07.550000 PDT,+0.238095-87.9043d
2017-03-28 00:00:07.560000 PDT,+0.238095-109.842d
2017-03-28 00:00:07.570000 PDT,+0.238095-131.442d
2017-03-28 00:00:07.580000 PDT,+0.238095-152.704d
2017-03-28 00:00:07.590000 PDT,+0.238095-173.629d
2017-03-28 00:00:07.600000 PDT,+0.238095+165.783d
2017-03-28 00:00:07.610000 PDT,+0.238095+145.533d
2017-03-28 00:00:07.620000 PDT,+0.238095+125.621d
2017-03-28 00:00:07.630000 PDT,+0.238095+106.046d
2017-03-28 00:00:07.640000 PDT,+0.238095+86.8079d
2017-03-28 00:00:07.650000 PDT,+0.238095+67.9079d
2017-03-28 00:00:07.660000 PDT,+0.238095+49.3454d
2017-03-28 00:00:07.670000 PDT,+0.238095+31.1204d
2017-03-28 00:00:07.680000 PDT,+0.238095+13.2329d
2017-03-28 00:00:07.690000 PDT,+0.238095-4.31704d
2017-03-28 00:00:07.700000 PDT,+0.238095-21.5295d
2017-03-28 00:00:07.710000 PDT,+0.238095-38.4045d
2017-03-28 00:00:07.720000 PDT,+0.238095-54.942d
2017-03-28 00:00:07.730000 PDT,+0.238095-71.142d
2017-03-28 00:00:07.740000 PDT,+0.238095-87.0045d
2017-03-28 00:00:07.750000 PDT,+0.238095-102.529d
2017-03-28 00:00:07.760000 PDT,+0.238095-117.717d
2017-03-28 00:00:07.770000 PDT,+0.238095-132.567d
2017-03-28 00:00:07.780000 PDT,+0.238095-147.079d
2017-03-28 00:00:07.790000 PDT,+0.238095-161.254d
2017-03-28 00:00:07.800000 PDT,+0.238095-175.092d
2017-03-28 00:00:07.810000 PDT,+0.238095+171.408d
2017-03-28 00:00:07.820000 PDT,+0.238095+158.246d
2017-03-28 00:00:07.830000 PDT,+0.238095+145.421d
2017-03-28 00:00:07.840000 PDT,+0.238095+132.933d
2017-03-28 00:00:07.850000 PDT,+0.238095+120.783d
2017-03-28 00:00:07.860000 PDT,+0.238095+108.971d
2017-03-28 00:00:07.870000 PDT,+0.238095+97.4957d
2017-03-28 00:00:07.880000 PDT,+0.238095+86.3582d
2017-03-28 00:00:07.890000 PDT,+0.238095+75.558d
2017-03-28 00:00:07.900000 PDT,+0.238095+65.0955d
2017-03-28 00:00:07.910000 PDT,+0.238095+54.9705d
2017-03-28 00:00:07.920000 PDT,+0.238095+45.183d
2017-03-28 00:00:07.930000 PDT,+0.238095+35.733d
2017-03-28 00:00:07.940000 PDT,+0.238095+26.6205d
2017-03-28 00:00:07.950000 PDT,+0.238095+17.8455d
2017-03-28 00:00:07.960000 PDT,+0.238095+9.40803d
2017-03-28 00:00:07.970000 PDT,+0.238095+1.30804d
2017-03-28 00:00:07.980000 PDT,+0.238095-6.45445d
2017-03-28 00:00:07.990000 PDT,+0.238095-13.8794d
