2.5,0
3,0
3.5,0
4,0.049903
4.5,0.093323
5,0.12564
5.5,0.13541
6,0.23191
6.5,0.26286
7,0.45807
7.5,0.47134
8,0.58717
8.5,0.64827
9,0.76071
9.5,0.82
10,0.87813
10.5,0.95368
11,1.0013
11.5,1.0331
12,1.01
25,1.01
