# timestamp, VA_Out
2001-08-01 13:00:00.000000 PDT,+200000+100000j
2001-08-01 13:00:00.010000 PDT,+199999.948505+99909.1693126i
2001-08-01 13:00:00.020000 PDT,+199992.129876+99878.6633799i
2001-08-01 13:00:00.030000 PDT,+199982.402975+99876.8371598i
2001-08-01 13:00:00.040000 PDT,+199973.02822+99888.0293304i
2001-08-01 13:00:00.050000 PDT,+199964.786312+99904.5984903i
2001-08-01 13:00:00.060000 PDT,+199957.864028+99922.8934663i
2001-08-01 13:00:00.070000 PDT,+199952.219319+99941.2203764i
2001-08-01 13:00:00.080000 PDT,+199947.730089+99958.8294057i
2001-08-01 13:00:00.090000 PDT,+199944.254157+99975.41874i
2001-08-01 13:00:00.100000 PDT,+199941.652965+99990.8962954i
2001-08-01 13:00:00.110000 PDT,+199939.800367+100005.267113i
2001-08-01 13:00:00.120000 PDT,+199938.585118+100018.580451i
2001-08-01 13:00:00.130000 PDT,+199937.910595+100030.904554i
2001-08-01 13:00:00.140000 PDT,+199937.693396+100042.314153i
2001-08-01 13:00:00.150000 PDT,+199937.861589+100052.883988i
2001-08-01 13:00:00.160000 PDT,+199938.353011+100062.685411i
2001-08-01 13:00:00.170000 PDT,+199939.113806+100071.784722i
2001-08-01 13:00:00.180000 PDT,+199940.097224+100080.242562i
2001-08-01 13:00:00.190000 PDT,+199941.262646+100088.113909i
2001-08-01 13:00:00.200000 PDT,+199942.574814+100095.448429i
2001-08-01 13:00:00.210000 PDT,+199944.003166+100102.290936i
2001-08-01 13:00:00.220000 PDT,+199945.521275+100108.681899i
2001-08-01 13:00:00.230000 PDT,+199947.106368+100114.657912i
2001-08-01 13:00:00.240000 PDT,+199948.73887+100120.25211i
2001-08-01 13:00:00.250000 PDT,+199950.397309+100125.504376i
2001-08-01 13:00:00.260000 PDT,+199952.071608+100130.435498i
2001-08-01 13:00:00.270000 PDT,+199953.75088+100135.067333i
2001-08-01 13:00:00.280000 PDT,+199955.42532+100139.421099i
2001-08-01 13:00:00.290000 PDT,+199957.086425+100143.516792i
2001-08-01 13:00:00.300000 PDT,+199958.726987+100147.372958i
2001-08-01 13:00:00.310000 PDT,+199960.340989+100151.00665i
2001-08-01 13:00:00.320000 PDT,+199961.923493+100154.433505i
2001-08-01 13:00:00.330000 PDT,+199963.4705+100157.667838i
2001-08-01 13:00:00.340000 PDT,+199964.978846+100160.72276i
2001-08-01 13:00:00.350000 PDT,+199966.446084+100163.61029i
2001-08-01 13:00:00.360000 PDT,+199967.870392+100166.341455i
2001-08-01 13:00:00.370000 PDT,+199969.250481+100168.926392i
2001-08-01 13:00:00.380000 PDT,+199970.585523+100171.374426i
2001-08-01 13:00:00.390000 PDT,+199971.87508+100173.694145i
2001-08-01 13:00:00.400000 PDT,+199973.119048+100175.893468i
2001-08-01 13:00:00.410000 PDT,+199974.317601+100177.97972i
2001-08-01 13:00:00.420000 PDT,+199975.471147+100179.959671i
2001-08-01 13:00:00.430000 PDT,+199976.580289+100181.839583i
2001-08-01 13:00:00.440000 PDT,+199977.64579+100183.625268i
2001-08-01 13:00:00.450000 PDT,+199978.668547+100185.322125i
2001-08-01 13:00:00.460000 PDT,+199979.649556+100186.935172i
2001-08-01 13:00:00.470000 PDT,+199980.589895+100188.469082i
2001-08-01 13:00:00.480000 PDT,+199981.490707+100189.928207i
2001-08-01 13:00:00.490000 PDT,+199982.353184+100191.316616i
2001-08-01 13:00:00.500000 PDT,+199983.178547+100192.63811i
2001-08-01 13:00:00.510000 PDT,+199983.968035+100193.896241i
2001-08-01 13:00:00.520000 PDT,+199984.722898+100195.094341i
2001-08-01 13:00:00.530000 PDT,+199985.444385+100196.235531i
2001-08-01 13:00:00.540000 PDT,+199986.125204+100197.30878i
2001-08-01 13:00:00.550000 PDT,+199986.771631+100198.325722i
2001-08-01 13:00:00.560000 PDT,+199987.38717+100199.292533i
