2.5,100
3,200
3.5,400
4,750
4.5,1200
5,2000
5.5,2900
6,3900
6.5,5000
7,6000
7.5,7200
8,8500
8.5,9800
9,11100
9.5,12200
10,13800
10.5,14500
11,15700
11.5,16200
12,17000
12.5,17500
13,18100
13.5,19000
14,19050
14.5,19600
15,20200
15.5,20100
16,20600
16.5,19800
17,20000
17.5,21400
18,20600
18.5,20500
19,20000
19.5,20000
20,20000
