10,0.00014509038250166452
110,2.0716364454350908e-05
210,1.517806696098632e-05
310,1.2820033440803137e-05
410,1.1679468445758627e-05
510,1.0656116665000646e-05
610,1.0155590238085736e-05
710,9.030031294646963e-06
810,8.69742384590113e-06
910,8.800425509251856e-06
1010,9.758002906771912e-06
1110,7.282626874974412e-06
1210,9.520678804571699e-06
1310,7.844191159069105e-06
1410,7.88120862433629e-06
1510,7.259607281768271e-06
1610,6.363561956036801e-06
1710,7.004968816141223e-06
1810,7.526789503976438e-06
1910,7.247565567152778e-06
4,0.00034239307130620646
7,0.0002008446766121153
10,0.0001416576103042283
13,0.0001127681337285048
16,9.318168450066223e-05
19,8.707238971890538e-05
22,8.212748087300025e-05
25,6.685883349702982e-05
28,6.487066922454206e-05
31,5.736106338953163e-05
34,5.328209616073336e-05
37,5.2806619103831564e-05
40,4.55984835830037e-05
43,4.598321351853662e-05
46,4.267674144841448e-05
49,3.949150640047654e-05
52,3.867282236276195e-05
55,3.7063147592586076e-05
58,3.553575724535698e-05
57,3.4633845671316196e-05
62,3.19285925727628e-05
67,3.030450778111579e-05
72,2.8466656370703335e-05
77,2.7550336433551535e-05
82,2.6954275099222038e-05
87,2.5228979702395913e-05
92,2.4150988842607556e-05
97,2.3492372166021604e-05
102,2.325519808533336e-05
107,2.4578044356834047e-05
112,2.3247370902806453e-05
117,2.243123785882788e-05
122,2.0492481054909015e-05
127,2.0403448149827745e-05
132,1.9461359794972633e-05
137,2.0060610955701718e-05
142,1.9249812886931177e-05
147,1.7797528468941103e-05
152,1.757535894347514e-05
